county,state,fips,total_cases,total_deaths,cfr,cfr_percent,mean_daily_cfr,median_daily_cfr,std_daily_cfr,min_daily_cfr,max_daily_cfr
Sabine,Texas,48403,986,77,0.07809330628803246,7.809330628803246,0.0702699758261022,0.07810915314401623,0.028900721979395354,0.0,0.16216216216216217
Harding,New Mexico,35021,58,4,0.06896551724137931,6.896551724137931,0.03135312706008893,0.0,0.04529795279719613,0.0,0.15384615384615385
McMullen,Texas,48311,119,8,0.06722689075630252,6.722689075630252,0.04533956417049449,0.056127270818019534,0.02203315292484639,0.0,0.06956521739130435
Hancock,Georgia,13141,1264,83,0.06566455696202532,6.5664556962025316,0.08110422429303558,0.07234062784411209,0.029891878388225584,0.0,0.15763546798029557
Knox,Texas,48275,390,22,0.05641025641025641,5.641025641025641,0.055725272138071935,0.06439393939393939,0.031022562038404453,0.0,0.125
Jerauld,South Dakota,46073,337,19,0.05637982195845697,5.637982195845697,0.0534613791313827,0.05693950177935943,0.028826108335020015,0.0,0.16666666666666666
Grant,Nebraska,31075,90,5,0.05555555555555555,5.555555555555555,0.08688532673535566,0.10256410256410256,0.04318376163284054,0.0,0.18181818181818182
Candler,Georgia,13043,1623,90,0.05545286506469501,5.545286506469501,0.044365877542314365,0.05224963715529753,0.023793128591677336,0.0,0.06960081883316274
Newton,Texas,48351,987,54,0.0547112462006079,5.47112462006079,0.04527853903744293,0.053475935828877004,0.023319865763901267,0.0,0.08333333333333333
Haskell,Texas,48207,686,37,0.05393586005830904,5.393586005830904,0.04149883145598582,0.04972433526414963,0.020942053990555636,0.0,0.06178489702517163
Dickens,Texas,48125,280,15,0.05357142857142857,5.357142857142857,0.04903020471081973,0.05078125,0.041807100656815505,0.0,0.25
Foard,Texas,48155,189,10,0.05291005291005291,5.291005291005291,0.054191158327072345,0.058823529411764705,0.029744060952994048,0.0,0.11428571428571428
Twiggs,Georgia,13289,1181,62,0.05249788314987299,5.249788314987299,0.045726345958416,0.05375139977603583,0.018760592745509137,0.0,0.06976744186046512
Emporia city,Virginia,51595,887,46,0.05186020293122886,5.186020293122886,0.06673449594669661,0.06278026905829596,0.019471429385754812,0.0,0.125
Jenkins,Georgia,13165,1215,63,0.05185185185185185,5.185185185185185,0.05995068558664766,0.051341890315052506,0.02082011527562027,0.0,0.14893617021276595
Sherman,Texas,48421,318,16,0.050314465408805034,5.031446540880504,0.03605291172331799,0.04878048780487805,0.027450792169442625,0.0,0.09649122807017543
Motley,Texas,48345,181,9,0.049723756906077346,4.972375690607735,0.042522718536441406,0.05454545454545454,0.0339433181919872,0.0,0.09411764705882353
Throckmorton,Texas,48447,143,7,0.04895104895104895,4.895104895104895,0.09958574855963949,0.0684931506849315,0.11257405718205835,0.0,0.5
Glascock,Georgia,13125,439,21,0.04783599088838269,4.783599088838269,0.044064382206250634,0.049868766404199474,0.023929753683836,0.0,0.07169811320754717
Coleman,Texas,48083,1244,59,0.04742765273311897,4.742765273311897,0.03553661077520585,0.04330175913396482,0.01727224374548264,0.0,0.05714285714285714
Towns,Georgia,13281,1874,88,0.04695837780149413,4.695837780149413,0.03794533982650492,0.04452054794520548,0.013016358733056971,0.0,0.054365733113673806
Wheatland,Montana,30107,277,13,0.04693140794223827,4.693140794223827,0.03216549928565652,0.04,0.01931189973967817,0.0,0.0625
Wilcox,Georgia,13315,1359,62,0.04562178072111847,4.5621780721118474,0.0679924722426034,0.057180851063829786,0.027501281626760625,0.0,0.13333333333333333
Marion,Texas,48315,1227,55,0.04482477587612062,4.4824775876120615,0.05401201955538439,0.05348460291734198,0.021245951504177473,0.0,0.09333333333333334
Wibaux,Montana,30109,179,8,0.0446927374301676,4.4692737430167595,0.03450390437491435,0.04424778761061947,0.019808195065859263,0.0,0.05128205128205128
Lane,Kansas,20101,224,10,0.044642857142857144,4.464285714285714,0.03138751444190094,0.037383177570093455,0.019207536730487418,0.0,0.058823529411764705
Montgomery,Arkansas,05097,1194,53,0.04438860971524288,4.438860971524288,0.032598116389043676,0.039180765805877114,0.015055634897631546,0.0,0.04918032786885246
Terrell,Georgia,13273,1327,58,0.04370761115297664,4.370761115297664,0.07460712658212452,0.05911949685534591,0.042371234835047566,0.0,0.6666666666666666
Oscoda,Michigan,26135,1172,51,0.043515358361774746,4.351535836177475,0.04768225607228681,0.042608695652173914,0.036316630890820344,0.0,0.25
