"GEOID","state","R","density_log","private","hincome","R_death","sensitivitydensity"
1003,"AL",1.816278198,3.79021024,9.185298622,5.5962,NA,FALSE
1005,"AL",1.621761066,2.483275333,9.516280159,3.4186,NA,TRUE
1013,"AL",1.612081411,2.34287767,9.631870254,3.9109,NA,TRUE
1015,"AL",1.491388013,4.324960812,9.454472183,4.5197,NA,TRUE
1017,"AL",1.808766619,3.097634226,9.667268686,3.9872,1.206808912,FALSE
1021,"AL",1.017555131,3.191325618,9.605974313,4.5182,NA,FALSE
1023,"AL",1.64616566,1.767753202,9.510658915,3.4884,NA,TRUE
1031,"AL",1.357679636,3.346504922,9.524108826,5.3155,NA,TRUE
1041,"AL",1.538627073,2.176867113,9.262722532,3.9812,NA,TRUE
1043,"AL",1.508828704,3.743537233,9.684706747,4.2558,NA,FALSE
1049,"AL",1.41408948,3.564755509,9.611873762,3.9233,NA,FALSE
1055,"AL",1.651302979,4.322370024,9.437546891,4.4023,NA,TRUE
1059,"AL",2.135490048,2.960778965,9.617101245,4.0459,NA,TRUE
1061,"AL",1.405480341,2.890790373,9.516552281,3.8142,NA,TRUE
1069,"AL",1.521562335,4.213898828,9.589768229,4.5496,NA,TRUE
1073,"AL",1.693158028,5.432750496,9.369482637,5.1979,1.010946723,TRUE
1081,"AL",1.533703046,4.490095898,9.271206856,4.8056,1.273058007,FALSE
1083,"AL",1.461012572,4.044489636,9.569722738,5.646,NA,FALSE
1085,"AL",1.405480341,1.80726108,9.616071429,3.0833,NA,TRUE
1087,"AL",1.15361619,2.610290393,9.137737962,3.2074,NA,TRUE
1089,"AL",1.364275901,5.083067098,9.416008466,6.3417,NA,TRUE
1095,"AL",2.234507793,4.150591764,9.505564347,4.249,NA,FALSE
1097,"AL",2.10829108,4.865219893,9.325957605,4.6166,1.536559587,TRUE
1101,"AL",2.033478241,4.726683691,9.369653941,4.799,NA,TRUE
1103,"AL",0.776234174,4.377450082,9.622548537,4.9751,NA,FALSE
1111,"AL",1.922326728,2.723831163,9.545561296,4.1449,NA,TRUE
1113,"AL",1.59651732,3.462145099,9.530529954,4.0978,NA,FALSE
1115,"AL",1.780664902,3.933327016,9.583038127,5.4887,NA,FALSE
1117,"AL",1.462828434,4.563942354,9.36004905,7.5761,NA,FALSE
1119,"AL",1.210409218,1.771381113,9.458590853,2.3132,NA,TRUE
1121,"AL",1.323619914,3.764080648,9.422138713,4.1012,NA,FALSE
1123,"AL",1.721473798,3.110179585,9.587276022,4.3361,1.361288693,TRUE
1125,"AL",1.723674251,4.040620446,9.446974132,5.2221,NA,FALSE
1127,"AL",1.32386409,3.48759739,9.591491119,4.1748,NA,FALSE
1131,"AL",1.808766619,1.623590671,9.535614525,2.7237,NA,TRUE
2020,"AK",1.379450669,4.19112522,8.80862864,8.328,NA,TRUE
2090,"AK",1.411212729,1.635934692,9.018338519,7.7095,NA,TRUE
4001,"AZ",1.354664264,0.90260355,8.563405099,3.2963,NA,TRUE
4003,"AZ",1.505744192,2.107181719,8.993909708,4.8649,NA,TRUE
4005,"AZ",1.696458616,1.025147028,8.132709878,5.7616,1.019519081,TRUE
4013,"AZ",2.843501654,5.076378425,8.781686745,6.1606,1.395084268,TRUE
4015,"AZ",1.499216894,1.758996647,9.297324439,4.3266,NA,TRUE
4017,"AZ",2.004393335,1.427748134,8.422003737,4.0054,1.133058517,TRUE
4019,"AZ",2.1956373,3.718374345,8.750561715,5.1037,1.421602322,FALSE
4023,"AZ",1.178605491,2.694769359,9.246888941,4.0467,NA,TRUE
4025,"AZ",1.804283262,2.305600302,8.770196288,5.018,NA,FALSE
5007,"AR",0.904015559,4.613675385,9.402443635,6.4141,NA,TRUE
5019,"AR",0.817378696,2.327408186,9.049817273,3.9752,NA,TRUE
5023,"AR",0.936942341,2.896435351,9.205358042,4.3391,NA,TRUE
5031,"AR",1.49801218,3.963731644,9.418969849,4.5868,NA,TRUE
5035,"AR",1.861981246,3.472938449,9.334130781,3.9002,NA,FALSE
5037,"AR",1.609183119,2.415360688,9.450623074,4.3838,NA,FALSE
5045,"AR",1.108005657,4.2118728,9.356718967,5.193,NA,FALSE
5051,"AR",1.465413094,4.001875844,9.197615424,4.3146,NA,FALSE
5063,"AR",1.106589553,2.918927429,9.515364127,4.3523,NA,TRUE
5069,"AR",0.953760144,3.536191057,9.338324644,3.8289,NA,FALSE
5075,"AR",1.267101897,2.437363743,9.450702052,3.8528,NA,TRUE
5079,"AR",3.603689653,2.274044026,9.601506119,4.5166,NA,TRUE
5085,"AR",0.983211854,3.533495495,9.514801621,5.7509,NA,FALSE
5091,"AR",0.719136778,3.28931287,9.535504848,4.1903,NA,TRUE
5115,"AR",1.053332608,3.379085348,9.385313531,4.1914,NA,TRUE
5119,"AR",1.30774457,5.270472125,9.319858141,5.0093,1.186599613,TRUE
5123,"AR",1.480260157,2.84421475,9.080852065,3.5356,NA,FALSE
5125,"AR",1.405480342,4.045789378,9.568289839,6.2152,NA,FALSE
5143,"AR",1.272440508,4.421658483,9.216758244,4.9629,NA,TRUE
5145,"AR",0.747048645,3.35866452,9.234605853,4.3822,NA,FALSE
5149,"AR",1.848073116,2.220351119,8.996480872,4.2361,NA,TRUE
6001,"CA",2.128082481,6.670825,7.188267309,9.2574,1.387149429,TRUE
6013,"CA",1.550766349,6.33812598,7.963301788,9.3712,NA,TRUE
6015,"CA",2.265129581,2.395750339,8.850601841,4.5258,NA,TRUE
6017,"CA",1.093275574,3.711909558,8.565425728,8.0582,NA,FALSE
6019,"CA",2.461000431,4.099281675,9.076923077,5.1261,NA,TRUE
6023,"CA",1.626342621,2.67882334,8.228743029,4.5528,NA,TRUE
6025,"CA",1.373032174,2.780933627,9.044164891,4.5834,NA,FALSE
6029,"CA",2.386803758,3.68551269,9.245851734,5.2479,NA,FALSE
6031,"CA",1.925122245,3.749780303,9.119434654,5.3865,NA,TRUE
6037,"CA",3.053716988,6.839719552,8.390073655,6.4251,2.881310837,TRUE
6039,"CA",1.674711948,3.305296905,9.141348648,5.2884,NA,TRUE
6041,"CA",1.809079304,5.2327363,7.343424611,11.0217,0.882567506,TRUE
6047,"CA",1.928626197,3.932622329,8.979391162,5.0129,NA,FALSE
6053,"CA",1.417159622,3.888737685,8.174674822,6.6676,NA,FALSE
6057,"CA",1.315988922,3.684225851,8.175246285,6.324,NA,FALSE
6059,"CA",3.038847009,7.293123061,8.875502709,8.5398,2.85968726,TRUE
6065,"CA",3.27890041,4.764859022,9.077177083,6.3948,1.956020341,FALSE
6067,"CA",2.070374147,6.341901466,8.791401362,6.3902,1.279043361,TRUE
6071,"CA",3.06825778,3.6681259,9.114271259,6.0164,1.63405654,FALSE
6073,"CA",2.257445629,5.649329269,8.558571762,7.4855,2.168792031,TRUE
6075,"CA",2.472516178,8.799798865,4.238259332,10.4552,NA,TRUE
6077,"CA",2.039002676,5.247958194,9.204316921,6.1145,1.013484798,TRUE
6079,"CA",1.268964542,3.451935293,8.509728142,7.0699,NA,FALSE
6081,"CA",1.928626202,6.427495591,7.902620976,11.3776,NA,TRUE
6083,"CA",2.220654786,4.091669929,8.227685905,7.1657,NA,FALSE
6085,"CA",2.331349518,6.278917727,8.609452158,11.6178,1.703992113,TRUE
6087,"CA",1.236832241,5.427446342,7.844847931,7.8041,NA,TRUE
6089,"CA",0.841916907,2.897248605,8.999138284,5.0905,NA,TRUE
6095,"CA",2.488068951,5.268927883,9.044376766,7.7609,NA,TRUE
6097,"CA",2.09420581,4.775385358,8.636964136,7.6753,NA,FALSE
6099,"CA",1.944527053,4.889440762,9.177849003,5.7387,NA,FALSE
6107,"CA",1.980452086,3.566413571,9.252264238,4.7518,1.563569416,TRUE
6111,"CA",2.423591622,5.150222531,9.017462603,8.4017,1.255276009,TRUE
6113,"CA",1.626779177,4.33631795,7.853710737,6.5923,NA,FALSE
8001,"CO",3.004858265,4.983762144,8.922265481,6.7575,1.491731025,TRUE
8005,"CO",2.772073351,5.623012067,8.622575492,7.3925,1.954760968,TRUE
8013,"CO",1.411817774,5.053660168,7.304557004,7.8642,2.119440329,TRUE
8014,"CO",1.439597356,6.481933751,8.371176633,8.9624,NA,TRUE
8025,"CO",0.706206865,1.049154407,8.761643836,3.7586,NA,TRUE
8029,"CO",1.158276419,2.347959149,8.607344633,4.4512,NA,TRUE
8031,"CO",2.474550379,7.322855999,7.788579198,6.3793,2.916577247,TRUE
8035,"CO",2.543396151,4.876524325,8.41672394,11.5314,3.371336767,FALSE
8037,"CO",1.766869375,2.481885303,8.057737211,8.4685,NA,TRUE
8041,"CO",2.345647739,4.727090483,8.800245247,6.5334,1.133058526,FALSE
8045,"CO",1.486421777,1.999642016,8.318644287,7.2898,NA,TRUE
8051,"CO",2.13259326,0.60247161,6.839724257,5.4979,NA,TRUE
8059,"CO",2.386124964,5.598673986,8.557007164,7.8943,1.933146983,TRUE
8067,"CO",1.115691843,2.460742509,8.235924748,6.4372,NA,TRUE
8069,"CO",1.761564673,3.796922649,8.390621508,6.7664,NA,FALSE
8077,"CO",1.30882613,2.834229053,8.737114912,5.3683,NA,TRUE
8085,"CO",1.412362581,1.961841879,9.045963465,4.8739,NA,TRUE
8087,"CO",2.244378988,2.139015822,9.130401055,5.1626,1.837577046,FALSE
8097,"CO",1.532229941,1.919968954,5.534977618,7.1244,NA,TRUE
8101,"CO",1.538335521,3.247985168,9.358895568,4.4634,NA,TRUE
8107,"CO",1.328022725,1.346210316,7.836760386,7.4273,NA,TRUE
8121,"CO",2.244655049,-0.303602183,8.520318021,4.9375,NA,FALSE
8123,"CO",2.325966547,3.197945529,9.048900572,7.0908,1.35930589,FALSE
9001,"CT",3.115885031,6.339448099,8.063236275,9.2969,2.093345214,TRUE
9003,"CT",2.40074506,6.151821268,8.96557613,7.2321,2.409417822,TRUE
9005,"CT",3.015563994,4.3777598,9.011134176,7.8314,1.993584997,FALSE
9007,"CT",1.860076827,5.154522956,8.868368723,8.4761,1.460809451,TRUE
9009,"CT",2.851857709,6.311499044,8.660988448,6.7128,2.139686836,TRUE
9011,"CT",2.056984673,5.06982734,8.915367208,7.1368,1.04430199,TRUE
9013,"CT",1.384679769,4.96784023,8.66723435,8.4916,1.147120017,FALSE
9015,"CT",1.72281199,4.490307063,9.155602388,6.4774,NA,FALSE
10001,"DE",2.122409886,4.671985223,9.219715873,5.8775,1.753238763,FALSE
10003,"DE",1.984381298,6.189740801,8.812250867,7.0996,1.380467315,TRUE
10005,"DE",1.579265984,4.398341869,9.044410317,6.0853,1.941051665,FALSE
11001,"DC",2.647884352,8.244231893,4.060458587,8.2604,1.588150823,TRUE
12001,"FL",1.690184847,4.692602939,8.539706064,4.9078,NA,TRUE
12005,"FL",1.319483462,4.453835422,9.241560772,5.1829,NA,TRUE
12007,"FL",1.450581928,3.623258762,9.358974359,4.6197,NA,FALSE
12009,"FL",1.982502347,5.330605572,9.007553868,5.4359,NA,TRUE
12011,"FL",2.744247757,6.324169261,8.928079816,5.7333,2.347366266,TRUE
12013,"FL",1.415126845,2.297885537,9.503239741,3.8609,NA,TRUE
12015,"FL",1.936334387,4.508635825,8.746038703,4.9225,1.227349195,FALSE
12017,"FL",1.817400434,4.540585917,9.119468629,4.1424,NA,FALSE
12019,"FL",2.317214155,4.803497786,9.096887001,6.2653,NA,FALSE
12021,"FL",2.195312662,4.129097483,8.675308986,6.5675,NA,FALSE
12023,"FL",1.674711952,3.487113897,9.387402255,4.4491,NA,TRUE
12029,"FL",1.528177523,2.196450882,8.736635392,3.8237,NA,TRUE
12031,"FL",2.249741973,6.081780594,8.985525154,5.3473,1.127824335,TRUE
12033,"FL",2.146552482,5.165052628,8.66643122,4.9286,NA,TRUE
12035,"FL",1.152822222,4.332179939,9.148792729,5.3872,NA,FALSE
12039,"FL",1.524945843,3.546414941,9.337895321,4.0922,NA,FALSE
12047,"FL",1.142346876,2.408846169,9.040446304,3.4583,NA,TRUE
12049,"FL",1.148374796,2.820655313,8.998474835,3.7594,NA,FALSE
12051,"FL",1.733633525,2.573341134,8.12906362,4.0728,NA,FALSE
12053,"FL",1.483058436,4.949990277,9.06271611,4.603,NA,FALSE
12055,"FL",1.532229946,3.624824376,8.93129771,3.7314,NA,TRUE
12057,"FL",2.625727492,6.142474677,8.890223873,5.6137,2.027481249,TRUE
12061,"FL",1.479853698,4.663223461,8.97789611,5.2336,NA,FALSE
12065,"FL",0.890045073,2.254340896,9.575425553,4.8173,NA,FALSE
12069,"FL",1.869856495,4.805852993,9.196435944,5.1884,NA,FALSE
12071,"FL",3.35210085,5.718746675,9.013339325,5.4691,0.963080629,TRUE
12073,"FL",1.855831287,5.072074305,9.003188396,5.1201,NA,TRUE
12077,"FL",1.442831771,1.352053903,9.217096911,3.7363,NA,FALSE
12081,"FL",1.962746678,5.122634097,8.890545973,5.6036,2.433382443,TRUE
12083,"FL",1.568251317,4.391066964,9.079297057,4.3361,NA,FALSE
12085,"FL",2.281078492,4.643920803,8.751317503,5.7959,NA,FALSE
12086,"FL",3.253533993,6.230314819,8.625184357,4.8982,1.89493532,TRUE
12087,"FL",1.194809219,3.3568974,7.965736134,6.7023,NA,FALSE
12089,"FL",1.115691844,3.775977034,9.176421637,6.6297,NA,FALSE
