collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AK,02020,31.0,13.7,35.9,0.0,32.0,31.0
2020-08-09,AK,02020,35.4,18.7,43.1,0.0,36.0,35.4
2020-08-16,AK,02020,23.700000000000003,15.9,44.8,0.0,25.0,23.700000000000003
2020-08-23,AK,02020,25.1,14.1,42.1,0.0,26.0,25.1
2020-08-30,AK,02020,19.5,11.0,38.9,0.0,19.5,19.5
2020-09-06,AK,02020,20.4,9.0,41.4,0.0,20.700000000000003,20.4
2020-09-13,AK,02020,29.2,14.9,46.1,0.0,30.3,29.2
2020-09-20,AK,02020,32.3,14.7,49.8,0.0,33.0,32.3
2020-09-27,AK,02020,28.1,13.7,49.0,0.0,28.1,28.1
2020-10-04,AK,02020,27.1,11.1,44.0,0.0,27.1,27.1
2020-10-11,AK,02020,30.6,18.1,44.6,0.0,31.7,30.6
2020-10-18,AK,02020,38.3,21.4,44.5,0.0,39.5,38.3
2020-10-25,AK,02020,44.7,33.8,41.0,0.0,45.7,44.7
2020-11-01,AK,02020,45.400000000000006,37.9,40.099999999999994,0.0,45.8,45.400000000000006
2020-11-08,AK,02020,52.7,45.8,39.6,0.0,54.0,52.7
2020-11-15,AK,02020,59.9,51.9,39.3,0.0,63.0,59.9
2020-11-22,AK,02020,62.0,55.6,40.9,0.0,63.0,62.0
2020-11-29,AK,02020,71.8,64.4,44.400000000000006,0.0,73.6,71.8
2020-12-06,AK,02020,66.0,61.699999999999996,46.3,0.0,66.8,66.0
2020-12-13,AK,02020,61.3,59.400000000000006,44.7,0.0,62.1,61.3
2020-12-20,AK,02020,47.4,45.8,39.7,0.0,48.4,47.4
2020-12-27,AK,02020,39.599999999999994,35.8,38.3,0.0,39.8,39.599999999999994
2021-01-03,AK,02020,38.6,34.8,35.3,0.0,39.7,38.6
2021-01-10,AK,02020,26.3,22.9,33.7,0.0,26.4,26.3
2021-01-17,AK,02020,19.3,17.2,34.3,0.0,20.200000000000003,19.3
2021-01-24,AK,02020,21.700000000000003,20.0,37.0,0.0,21.8,21.700000000000003
2021-01-31,AK,02020,27.0,24.700000000000003,34.0,0.0,27.3,27.0
2021-02-07,AK,02020,23.5,22.0,36.5,0.0,23.5,23.5
2021-02-14,AK,02020,21.4,18.7,39.4,0.0,23.7,21.4
2021-02-21,AK,02020,19.4,17.0,42.3,0.0,19.4,19.4
2021-02-28,AK,02020,13.100000000000001,10.5,44.1,0.0,13.4,13.100000000000001
2021-03-07,AK,02020,16.5,15.0,45.7,0.0,19.0,16.5
2021-03-14,AK,02020,21.5,18.9,47.099999999999994,0.0,22.6,21.5
2021-03-21,AK,02020,15.100000000000001,14.2,41.6,0.0,16.0,15.100000000000001
2021-03-28,AK,02020,17.1,16.4,41.4,0.0,17.2,17.1
2021-04-04,AK,02020,19.0,18.4,45.3,0.0,19.700000000000003,19.0
2021-04-11,AK,02020,16.3,15.2,42.199999999999996,0.0,18.6,16.3
2021-04-18,AK,02020,13.100000000000001,12.600000000000001,43.7,0.0,13.600000000000001,13.100000000000001
2021-04-25,AK,02020,18.3,17.7,47.0,0.0,20.6,18.3
2021-05-02,AK,02020,13.9,13.9,44.099999999999994,0.0,13.9,13.9
2021-05-09,AK,02020,13.3,12.7,46.099999999999994,0.0,13.3,13.3
2021-05-16,AK,02020,9.7,8.6,49.599999999999994,0.0,9.7,9.7
2021-05-23,AK,02020,5.3,4.7,46.8,0.0,5.3,5.3
2021-05-30,AK,02020,11.6,11.3,49.099999999999994,0.0,11.6,11.6
2021-06-06,AK,02020,7.0,6.9,45.900000000000006,0.0,7.0,7.0
2021-06-13,AK,02020,7.0,7.0,43.6,0.0,7.0,7.0
2021-06-20,AK,02020,5.0,4.7,44.900000000000006,0.0,5.0,5.0
2021-06-27,AK,02020,10.7,10.7,46.099999999999994,0.0,10.7,10.7
2021-07-04,AK,02020,16.0,15.6,41.1,0.0,16.1,16.0
2021-07-11,AK,02020,30.799999999999997,30.299999999999997,44.5,0.0,31.299999999999997,30.799999999999997
2021-07-18,AK,02020,41.8,41.3,43.4,0.0,42.2,41.8
2021-07-25,AK,02020,45.4,45.2,40.4,0.0,45.7,45.4
2021-08-01,AK,02020,41.0,40.400000000000006,47.1,0.0,41.3,41.0
2021-08-08,AK,02020,46.2,45.8,47.2,0.0,46.400000000000006,46.2
2021-08-15,AK,02020,48.3,47.9,45.5,0.0,50.1,48.3
2021-08-22,AK,02020,51.0,49.5,45.2,0.0,52.0,51.0
2021-08-29,AK,02020,67.0,65.3,45.8,0.0,67.0,67.0
2021-09-05,AK,02020,77.19999999999999,76.0,45.7,0.0,77.6,77.19999999999999
2021-09-12,AK,02020,80.3,78.0,51.599999999999994,0.0,80.3,80.3
2021-09-19,AK,02020,83.4,81.3,54.3,0.0,84.0,83.4
2021-09-26,AK,02020,72.69999999999999,71.4,51.3,0.0,73.8,72.69999999999999
2021-10-03,AK,02020,67.7,66.0,55.0,0.0,69.0,67.7
2021-10-10,AK,02020,76.0,74.2,55.8,0.0,77.2,76.0
2021-10-17,AK,02020,75.19999999999999,74.0,52.7,0.0,75.9,75.19999999999999
2021-10-24,AK,02020,73.1,72.3,52.3,0.0,74.1,73.1
2021-10-31,AK,02020,56.300000000000004,53.3,50.5,0.0,56.8,56.300000000000004
2021-11-07,AK,02020,48.400000000000006,47.3,48.3,0.0,49.1,48.400000000000006
2021-11-14,AK,02020,53.400000000000006,52.7,53.099999999999994,0.0,53.8,53.400000000000006
2021-11-21,AK,02020,37.7,37.6,53.7,0.0,38.3,37.7
2021-11-28,AK,02020,22.1,21.3,48.3,0.0,23.0,22.1
2021-12-05,AK,02020,24.700000000000003,24.3,51.7,0.0,25.200000000000003,24.700000000000003
2021-12-12,AK,02020,21.4,19.5,54.3,0.0,21.7,21.4
2021-12-19,AK,02020,23.0,22.099999999999998,52.8,0.0,23.0,23.0
2021-12-26,AK,02020,25.299999999999997,24.299999999999997,50.0,0.0,26.299999999999997,25.299999999999997
