collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AK,02150,0,0.0,0.0,0.0,0,0.0
2020-08-09,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-08-23,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-08-30,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-09-06,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-09-13,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-10-04,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-10-18,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-11-01,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2020-11-08,AK,02150,0,0,0,0.0,0,0.0
2020-11-15,AK,02150,0,0,0,0.0,0,0.0
2020-11-22,AK,02150,0,0,0,0.0,0,0.0
2020-11-29,AK,02150,0,0,0,0.0,0,0.0
2020-12-06,AK,02150,0,0,0,0.0,0,0.0
2020-12-13,AK,02150,4.1,4.1,0,0.0,4.1,4.1
2020-12-20,AK,02150,0,0,0,0.0,0,0.0
2020-12-27,AK,02150,0,0,0,0.0,0,0.0
2021-01-03,AK,02150,0,0,0.0,0.0,0,0.0
2021-01-10,AK,02150,0,0,0,0.0,0,0.0
2021-01-17,AK,02150,0,0,0,0.0,0,0.0
2021-01-24,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-02-21,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-03-07,AK,02150,0,0,0,0.0,0,0.0
2021-03-14,AK,02150,0,0,0,0.0,0,0.0
2021-03-21,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-03-28,AK,02150,0,0,0,0.0,0,0.0
2021-04-04,AK,02150,0,0,0,0.0,0,0.0
2021-04-11,AK,02150,0,0,0,0.0,0,0.0
2021-04-18,AK,02150,0,0,0,0.0,0,0.0
2021-04-25,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-05-09,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-05-16,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-05-23,AK,02150,0,0,0,0.0,0,0.0
2021-05-30,AK,02150,0,0,0,0.0,0,0.0
2021-06-06,AK,02150,0,0,0.0,0.0,0,0.0
2021-06-13,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-06-20,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-07-04,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-07-11,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-07-18,AK,02150,0,0,0,0.0,0,0.0
2021-07-25,AK,02150,0,0,0,0.0,0,0.0
2021-08-01,AK,02150,0,0,0,0.0,0,0.0
2021-08-08,AK,02150,0,0,0,0.0,0,0.0
2021-08-15,AK,02150,0,0,0,0.0,0,0.0
2021-08-22,AK,02150,0,0,0,0.0,0,0.0
2021-08-29,AK,02150,0,0,0,0.0,0,0.0
2021-09-05,AK,02150,0,0.0,0,0.0,0,0.0
2021-09-12,AK,02150,0,0,0,0.0,0,0.0
2021-09-19,AK,02150,0,0,0.0,0.0,0,0.0
2021-09-26,AK,02150,0,0,0,0.0,0,0.0
2021-10-03,AK,02150,0,0,0,0.0,0,0.0
2021-10-10,AK,02150,0,0,0.0,0.0,0,0.0
2021-10-17,AK,02150,0,0,0,0.0,0,0.0
2021-10-24,AK,02150,0,0,0,0.0,0,0.0
2021-10-31,AK,02150,0,0,0.0,0.0,0,0.0
2021-11-07,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-11-14,AK,02150,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-21,AK,02150,0,0,0,0.0,0,0.0
2021-11-28,AK,02150,0,0,0,0.0,0,0.0
2021-12-05,AK,02150,0,0,0,0.0,0,0.0
2021-12-12,AK,02150,0,0,0,0.0,0,0.0
2021-12-19,AK,02150,0.0,0.0,0,0.0,0.0,0.0
2021-12-26,AK,02150,0.0,0.0,0,0.0,0.0,0.0
