collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01039,7.3,7.3,11.3,0.0,7.3,7.3
2020-08-09,AL,01039,6.0,6.0,12.100000000000001,0.0,6.0,6.0
2020-08-16,AL,01039,4.0,4.0,9.8,0.0,4.0,4.0
2020-08-23,AL,01039,0,0,11.600000000000001,0.0,0,0.0
2020-08-30,AL,01039,0,0,5.7,0.0,0,0.0
2020-09-06,AL,01039,0,0,5.4,0.0,0,0.0
2020-09-13,AL,01039,0,0,4.9,0.0,0,0.0
2020-09-20,AL,01039,0,0,10.1,0.0,0,0.0
2020-09-27,AL,01039,0,0,9.4,0.0,0,0.0
2020-10-04,AL,01039,4.4,4.1,11.5,0.0,4.4,4.4
2020-10-11,AL,01039,8.2,4.2,7.7,0.0,8.2,8.2
2020-10-18,AL,01039,5.8,5.7,11.1,0.0,5.8,5.8
2020-10-25,AL,01039,0,0,5.3,0.0,0,0.0
2020-11-01,AL,01039,4.3,4.3,5.7,0.0,4.3,4.3
2020-11-08,AL,01039,4.6,4.6,7.6,0.0,4.6,4.6
2020-11-15,AL,01039,5.9,5.9,11.6,0.0,5.9,5.9
2020-11-22,AL,01039,4.0,4.0,10.399999999999999,0.0,4.0,4.0
2020-11-29,AL,01039,0,0,9.399999999999999,0.0,0,0.0
2020-12-06,AL,01039,5.0,5.0,10.3,0.0,5.0,5.0
2020-12-13,AL,01039,9.5,9.5,12.3,0.0,9.5,9.5
2020-12-20,AL,01039,11.899999999999999,11.899999999999999,7.6,0.0,11.899999999999999,11.899999999999999
2020-12-27,AL,01039,13.5,13.2,7.9,0.0,13.5,13.5
2021-01-03,AL,01039,18.5,18.5,11.7,0.0,18.5,18.5
2021-01-10,AL,01039,17.6,17.6,7.7,0.0,17.6,17.6
2021-01-17,AL,01039,11.1,11.1,7.7,0.0,11.1,11.1
2021-01-24,AL,01039,10.7,10.7,6.3,0.0,10.7,10.7
2021-01-31,AL,01039,16.3,16.3,12.100000000000001,0.0,16.3,16.3
2021-02-07,AL,01039,13.7,13.6,12.399999999999999,0.0,13.7,13.7
2021-02-14,AL,01039,6.1,6.1,10.8,0.0,6.1,6.1
2021-02-21,AL,01039,7.1,7.1,11.5,0.0,7.1,7.1
2021-02-28,AL,01039,10.0,10.0,6.0,0.0,10.0,10.0
2021-03-07,AL,01039,0,0,7.0,0.0,0,0.0
2021-03-14,AL,01039,0,0,6.6,0.0,0,0.0
2021-03-21,AL,01039,0,0,5.7,0.0,0,0.0
2021-03-28,AL,01039,0.0,0.0,0,0.0,0.0,0.0
2021-04-04,AL,01039,0.0,0.0,7.4,0.0,0.0,0.0
2021-04-11,AL,01039,0.0,0.0,6.9,0.0,0.0,0.0
2021-04-18,AL,01039,0.0,0.0,7.7,0.0,0.0,0.0
2021-04-25,AL,01039,0.0,0.0,6.9,0.0,0.0,0.0
2021-05-02,AL,01039,0,0,5.6,0.0,0,0.0
2021-05-09,AL,01039,0,0,5.7,0.0,0,0.0
2021-05-16,AL,01039,0,0,7.6,0.0,0,0.0
2021-05-23,AL,01039,0,0,6.9,0.0,0,0.0
2021-05-30,AL,01039,0,0,6.3,0.0,0,0.0
2021-06-06,AL,01039,4.0,0,11.6,0.0,4.0,4.0
2021-06-13,AL,01039,4.7,4.7,11.4,0.0,4.7,4.7
2021-06-20,AL,01039,0,0,5.4,0.0,0,0.0
2021-06-27,AL,01039,0,0,6.3,0.0,0,0.0
2021-07-04,AL,01039,0,0,5.9,0.0,0,0.0
2021-07-11,AL,01039,0,0,5.1,0.0,0,0.0
