collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01049,10.0,4.7,8.9,0.0,10.0,10.0
2020-08-09,AL,01049,6.9,0,6.9,0.0,6.9,6.9
2020-08-16,AL,01049,8.1,0,6.6,0,8.3,8.1
2020-08-23,AL,01049,5.7,0,7.4,0.0,5.7,5.7
2020-08-30,AL,01049,5.9,0,6.9,0.0,5.9,5.9
2020-09-06,AL,01049,4.6,0,7.3,0.0,4.6,4.6
2020-09-13,AL,01049,5.6,0,4.6,0.0,5.6,5.6
2020-09-20,AL,01049,6.4,0,6.3,0,6.6,6.4
2020-09-27,AL,01049,5.6,0,4.0,0.0,5.6,5.6
2020-10-04,AL,01049,10.3,4.9,7.0,0.0,10.3,10.3
2020-10-11,AL,01049,10.0,7.4,7.0,0.0,10.0,10.0
2020-10-18,AL,01049,10.7,6.7,7.1,0.0,10.7,10.7
2020-10-25,AL,01049,11.7,7.1,8.0,0.0,11.7,11.7
2020-11-01,AL,01049,11.3,7.9,6.3,0.0,11.3,11.3
2020-11-08,AL,01049,13.0,8.0,8.7,0.0,13.0,13.0
2020-11-15,AL,01049,13.4,7.7,9.4,0,13.7,13.4
2020-11-22,AL,01049,12.9,9.9,9.3,0.0,12.9,12.9
2020-11-29,AL,01049,14.1,8.7,10.3,0,14.3,14.1
2020-12-06,AL,01049,13.9,11.7,10.0,0.0,13.9,13.9
2020-12-13,AL,01049,17.6,12.9,9.6,0.0,17.6,17.6
2020-12-20,AL,01049,15.4,12.7,8.7,0.0,15.4,15.4
2020-12-27,AL,01049,23.4,17.9,11.6,0.0,23.4,23.4
2021-01-03,AL,01049,18.9,16.1,12.0,0.0,18.9,18.9
2021-01-10,AL,01049,16.7,13.6,11.4,0.0,16.7,16.7
2021-01-17,AL,01049,15.6,12.6,9.7,0.0,15.6,15.6
2021-01-24,AL,01049,12.0,9.0,8.1,0.0,12.0,12.0
2021-01-31,AL,01049,10.0,9.1,8.6,0.0,10.0,10.0
2021-02-07,AL,01049,5.1,5.1,8.6,0,5.3,5.1
2021-02-14,AL,01049,0,0,6.6,0,0,0.0
2021-02-21,AL,01049,0.0,0.0,6.3,0.0,0.0,0.0
2021-02-28,AL,01049,0,0,8.6,0.0,0,0.0
2021-03-07,AL,01049,0,0,7.3,0.0,0,0.0
2021-03-14,AL,01049,0,0,8.6,0.0,0,0.0
2021-03-21,AL,01049,0,0,7.9,0.0,0,0.0
2021-03-28,AL,01049,0,0,5.9,0.0,0,0.0
2021-04-04,AL,01049,0,0,5.7,0.0,0,0.0
2021-04-11,AL,01049,0,0,8.7,0.0,0,0.0
2021-04-18,AL,01049,0,0,7.6,0.0,0,0.0
2021-04-25,AL,01049,0,0,8.6,0.0,0,0.0
2021-05-02,AL,01049,0.0,0.0,8.0,0.0,0.0,0.0
2021-05-09,AL,01049,0,0,6.7,0.0,0,0.0
2021-05-16,AL,01049,0,0,7.3,0.0,0,0.0
2021-05-23,AL,01049,0,0,5.0,0.0,0,0.0
2021-05-30,AL,01049,0,0,7.6,0.0,0,0.0
2021-06-06,AL,01049,0,0,9.4,0.0,0,0.0
2021-06-13,AL,01049,0.0,0.0,8.9,0.0,0.0,0.0
2021-06-20,AL,01049,0,0,7.6,0,0,0.0
2021-06-27,AL,01049,0,0,7.4,0.0,0,0.0
2021-07-04,AL,01049,0,0,8.7,0.0,0,0.0
2021-07-11,AL,01049,0,0,7.9,0.0,0,0.0
2021-07-18,AL,01049,0,0,7.7,0.0,0,0.0
2021-07-25,AL,01049,7.9,7.9,6.4,0.0,7.9,7.9
2021-08-01,AL,01049,11.6,11.6,6.4,0.0,11.6,11.6
2021-08-08,AL,01049,9.7,9.7,6.9,0.0,9.7,9.7
2021-08-15,AL,01049,11.0,11.0,5.9,0.0,11.0,11.0
2021-08-22,AL,01049,9.3,9.3,7.1,0.0,9.3,9.3
2021-08-29,AL,01049,10.6,10.6,6.1,0,10.7,10.6
2021-09-05,AL,01049,10.6,10.6,6.7,0,10.7,10.6
2021-09-12,AL,01049,17.3,18.7,9.0,0,17.4,17.3
2021-09-19,AL,01049,16.9,16.9,9.4,0.0,16.9,16.9
2021-09-26,AL,01049,12.0,12.0,9.6,0.0,12.0,12.0
2021-10-03,AL,01049,6.6,6.6,9.3,0,6.7,6.6
2021-10-10,AL,01049,0,0,8.0,0.0,0,0.0
2021-10-17,AL,01049,0,0,6.7,0.0,0,0.0
2021-10-24,AL,01049,0,0,8.4,0.0,0,0.0
2021-10-31,AL,01049,0,0,7.7,0.0,0,0.0
2021-11-07,AL,01049,0,0,10.1,0.0,0,0.0
2021-11-14,AL,01049,0,0,9.4,0,0,0.0
2021-11-21,AL,01049,0,0,9.1,0,0,0.0
2021-11-28,AL,01049,4.0,4.0,10.7,0.0,4.0,4.0
2021-12-05,AL,01049,5.3,5.3,7.3,0,5.7,5.3
2021-12-12,AL,01049,5.9,5.9,5.4,0,6.0,5.9
2021-12-19,AL,01049,0,0,7.0,0.0,0,0.0
2021-12-26,AL,01049,0,0,7.0,0,0,0.0
