collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01055,65.8,64.9,53.6,0.0,65.8,65.8
2020-08-09,AL,01055,62.2,59.1,52.7,0.0,65.8,62.2
2020-08-16,AL,01055,54.8,47.3,55.8,0.0,54.8,54.8
2020-08-23,AL,01055,48.400000000000006,44.7,54.5,0.0,48.400000000000006,48.400000000000006
2020-08-30,AL,01055,51.2,46.2,53.9,0.0,51.2,51.2
2020-09-06,AL,01055,39.3,37.0,51.7,0.0,39.3,39.3
2020-09-13,AL,01055,32.7,30.6,53.9,0.0,32.7,32.7
2020-09-20,AL,01055,29.4,31.200000000000003,50.0,0.0,29.4,29.4
2020-09-27,AL,01055,32.400000000000006,29.8,49.3,0.0,32.400000000000006,32.400000000000006
2020-10-04,AL,01055,25.1,20.0,48.699999999999996,0.0,25.1,25.1
2020-10-11,AL,01055,24.5,22.6,48.599999999999994,0.0,24.5,24.5
2020-10-18,AL,01055,29.8,28.1,46.1,0.0,29.8,29.8
2020-10-25,AL,01055,42.400000000000006,40.7,52.1,0.0,42.400000000000006,42.400000000000006
2020-11-01,AL,01055,41.4,38.8,48.0,0.0,41.4,41.4
2020-11-08,AL,01055,51.3,49.8,50.599999999999994,0.0,51.3,51.3
2020-11-15,AL,01055,58.5,58.3,51.7,0.0,58.5,58.5
2020-11-22,AL,01055,79.5,77.4,51.0,0.0,79.5,79.5
2020-11-29,AL,01055,95.5,93.9,57.4,0.0,95.5,95.5
2020-12-06,AL,01055,105.30000000000001,103.6,59.900000000000006,0.0,105.30000000000001,105.30000000000001
2020-12-13,AL,01055,110.6,109.4,61.0,0.0,110.6,110.6
2020-12-20,AL,01055,127.0,125.10000000000001,63.8,0.0,127.0,127.0
2020-12-27,AL,01055,141.10000000000002,137.8,60.400000000000006,0.0,141.10000000000002,141.10000000000002
2021-01-03,AL,01055,134.1,131.2,62.0,0.0,134.1,134.1
2021-01-10,AL,01055,109.9,108.6,62.599999999999994,0.0,109.9,109.9
2021-01-17,AL,01055,100.6,98.6,60.8,0.0,100.6,100.6
2021-01-24,AL,01055,67.1,65.7,57.8,0.0,67.1,67.1
2021-01-31,AL,01055,61.900000000000006,59.7,55.7,0.0,61.900000000000006,61.900000000000006
2021-02-07,AL,01055,53.3,50.7,57.2,0.0,53.3,53.3
2021-02-14,AL,01055,44.0,42.0,55.400000000000006,0.0,44.0,44.0
2021-02-21,AL,01055,29.700000000000003,28.5,56.6,0.0,29.700000000000003,29.700000000000003
2021-02-28,AL,01055,15.399999999999999,14.3,53.5,0.0,15.399999999999999,15.399999999999999
2021-03-07,AL,01055,12.899999999999999,11.2,54.6,0.0,12.899999999999999,12.899999999999999
2021-03-14,AL,01055,14.1,13.7,53.2,0.0,14.1,14.1
2021-03-21,AL,01055,12.3,12.0,54.1,0.0,12.3,12.3
2021-03-28,AL,01055,11.600000000000001,11.600000000000001,47.0,0.0,11.600000000000001,11.600000000000001
2021-04-04,AL,01055,5.1,4.7,52.6,0.0,5.7,5.1
