collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01073,350.59999999999997,293.3,326.5,7.5,360.4,358.09999999999997
2020-08-09,AL,01073,331.5,277.3,332.6,8.1,342.09999999999997,339.6
2020-08-16,AL,01073,309.2,252.00000000000003,327.8,6.1,317.79999999999995,315.3
2020-08-23,AL,01073,266.59999999999997,208.89999999999998,350.7,7.6,276.5,274.2
2020-08-30,AL,01073,240.20000000000002,184.6,348.0,7.3,249.1,247.50000000000003
2020-09-06,AL,01073,223.99999999999997,179.6,347.20000000000005,8.4,233.79999999999998,232.39999999999998
2020-09-13,AL,01073,204.29999999999998,162.9,365.0,9.6,215.6,213.89999999999998
2020-09-20,AL,01073,205.20000000000002,157.9,359.6,7.5,214.3,212.70000000000002
2020-09-27,AL,01073,185.70000000000002,143.2,373.0,8.1,194.9,193.8
2020-10-04,AL,01073,188.2,145.1,389.2,7.4,196.50000000000003,195.6
2020-10-11,AL,01073,211.39999999999998,170.6,378.6,5.6,218.0,216.99999999999997
2020-10-18,AL,01073,230.59999999999997,188.6,373.1,5.1,237.29999999999995,235.69999999999996
2020-10-25,AL,01073,241.8,201.9,378.4,8.9,253.6,250.70000000000002
2020-11-01,AL,01073,271.7,225.40000000000003,370.09999999999997,7.3,280.6,279.0
2020-11-08,AL,01073,305.6,256.09999999999997,376.90000000000003,6.0,314.2,311.6
2020-11-15,AL,01073,306.0,264.9,371.90000000000003,5.1,313.79999999999995,311.1
2020-11-22,AL,01073,327.5,288.9,363.8,7.7,336.70000000000005,335.2
2020-11-29,AL,01073,421.3,388.2,349.5,14.4,436.6,435.7
2020-12-06,AL,01073,496.9,461.20000000000005,324.59999999999997,17.3,516.3,514.1999999999999
2020-12-13,AL,01073,563.1,523.3,310.4,12.6,577.8,575.7
2020-12-20,AL,01073,602.9,564.7,304.50000000000006,13.0,618.3,615.9
2020-12-27,AL,01073,643.0,611.1,308.6,12.3,657.1,655.3
2021-01-03,AL,01073,668.8000000000001,633.5,486.9,15.0,686.0,683.8000000000001
2021-01-10,AL,01073,655.7,619.2,511.09999999999997,14.7,671.8,670.4000000000001
2021-01-17,AL,01073,585.3,549.0999999999999,504.70000000000005,14.1,601.6000000000001,599.4
2021-01-24,AL,01073,480.4,445.5,493.9,11.9,494.1,492.29999999999995
2021-01-31,AL,01073,375.5,343.3,476.0,12.7,390.0,388.2
2021-02-07,AL,01073,297.6,260.59999999999997,469.9,9.3,308.7,306.90000000000003
2021-02-14,AL,01073,242.1,202.6,464.9,9.3,252.79999999999998,251.4
2021-02-21,AL,01073,206.5,172.5,466.59999999999997,8.3,215.29999999999998,214.8
2021-02-28,AL,01073,173.8,136.5,471.9,9.6,184.7,183.4
2021-03-07,AL,01073,144.2,111.60000000000001,456.9,6.6,151.3,150.79999999999998
2021-03-14,AL,01073,139.0,104.40000000000002,454.20000000000005,6.6,146.5,145.6
2021-03-21,AL,01073,144.70000000000002,109.19999999999999,453.09999999999997,6.1,151.39999999999998,150.8
2021-03-28,AL,01073,147.09999999999997,111.0,469.5,4.6,152.3,151.69999999999996
2021-04-04,AL,01073,126.2,93.2,467.4,5.6,132.0,131.8
2021-04-11,AL,01073,113.2,77.0,474.7,6.7,121.8,119.9
2021-04-18,AL,01073,117.9,77.8,472.3,6.3,125.8,124.2
2021-04-25,AL,01073,106.89999999999999,70.9,469.6,8.9,116.8,115.8
2021-05-02,AL,01073,118.50000000000001,84.4,482.2,8.1,127.0,126.60000000000001
2021-05-09,AL,01073,127.59999999999998,90.89999999999999,483.3,10.4,139.79999999999998,137.99999999999997
2021-05-16,AL,01073,118.00000000000001,85.1,488.3,8.9,128.4,126.90000000000002
2021-05-23,AL,01073,107.8,79.30000000000001,488.1,7.0,115.49999999999999,114.8
2021-05-30,AL,01073,98.89999999999999,60.10000000000001,467.2,8.1,109.49999999999999,106.99999999999999
2021-06-06,AL,01073,83.3,46.3,477.8,7.6,92.30000000000001,90.89999999999999
2021-06-13,AL,01073,91.89999999999999,43.199999999999996,472.6,6.9,99.79999999999998,98.8
2021-06-20,AL,01073,62.7,25.6,475.29999999999995,4.4,68.2,67.10000000000001
2021-06-27,AL,01073,105.99999999999999,71.0,476.8,5.3,112.6,111.29999999999998
2021-07-04,AL,01073,101.4,60.800000000000004,466.1,4.3,106.60000000000001,105.7
2021-07-11,AL,01073,114.5,73.4,489.6,4.1,119.19999999999999,118.6
2021-07-18,AL,01073,178.00000000000003,130.9,496.4,4.4,183.70000000000002,182.40000000000003
2021-07-25,AL,01073,262.4,211.29999999999998,493.1,7.0,270.2,269.4
2021-08-01,AL,01073,353.70000000000005,315.59999999999997,495.7,13.1,369.20000000000005,366.80000000000007
2021-08-08,AL,01073,431.40000000000003,390.1000000000001,489.5,18.0,453.6,449.40000000000003
2021-08-15,AL,01073,508.6,473.79999999999995,492.5,18.1,529.6,526.7
2021-08-22,AL,01073,541.5999999999999,504.7,499.29999999999995,15.1,560.5999999999999,556.6999999999999
2021-08-29,AL,01073,548.0,512.0,505.3,30.0,579.5999999999999,578.0
2021-09-05,AL,01073,541.6999999999999,498.40000000000003,499.8,25.7,573.1,567.4
2021-09-12,AL,01073,470.0,416.2,495.2,26.3,502.59999999999997,496.3
2021-09-19,AL,01073,382.2000000000001,333.20000000000005,484.8,19.3,406.4,401.5000000000001
2021-09-26,AL,01073,304.4,255.39999999999995,481.5,15.0,321.6,319.4
2021-10-03,AL,01073,241.59999999999997,200.9,471.1,11.3,255.19999999999996,252.89999999999998
2021-10-10,AL,01073,193.9,150.4,463.5,7.4,204.70000000000002,201.3
2021-10-17,AL,01073,160.1,114.1,463.7,7.4,170.7,167.5
2021-10-24,AL,01073,134.6,88.8,457.9,4.4,139.70000000000002,139.0
2021-10-31,AL,01073,116.69999999999999,65.60000000000001,465.3,0.0,118.99999999999999,116.69999999999999
2021-11-07,AL,01073,108.69999999999999,59.9,470.0,0.0,110.3,108.69999999999999
2021-11-14,AL,01073,97.30000000000001,55.7,479.1,4.6,103.70000000000002,101.9
2021-11-21,AL,01073,106.5,56.800000000000004,467.0,0.0,106.8,106.5
2021-11-28,AL,01073,98.60000000000001,52.7,483.2,0.0,98.60000000000001,98.60000000000001
2021-12-05,AL,01073,101.30000000000001,53.599999999999994,479.6,5.9,107.50000000000001,107.20000000000002
2021-12-12,AL,01073,117.0,65.5,473.9,6.4,123.4,123.4
2021-12-19,AL,01073,139.5,91.7,473.0,5.6,145.4,145.1
2021-12-26,AL,01073,221.5,168.00000000000003,463.8,11.1,235.60000000000002,232.6
