collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01081,44.0,44.0,27.1,0.0,44.0,44.0
2020-08-09,AL,01081,45.1,45.0,26.7,0.0,45.1,45.1
2020-08-16,AL,01081,45.3,45.1,25.6,0.0,45.3,45.3
2020-08-23,AL,01081,35.9,35.7,27.3,0.0,35.9,35.9
2020-08-30,AL,01081,20.6,20.6,21.7,0.0,20.6,20.6
2020-09-06,AL,01081,25.1,24.9,27.4,0.0,25.1,25.1
2020-09-13,AL,01081,28.9,28.9,26.6,0.0,28.9,28.9
2020-09-20,AL,01081,32.4,32.1,24.4,0.0,32.4,32.4
2020-09-27,AL,01081,34.4,34.1,25.0,0.0,34.4,34.4
2020-10-04,AL,01081,37.7,37.7,28.6,0.0,37.7,37.7
2020-10-11,AL,01081,33.7,33.7,22.7,0.0,33.7,33.7
2020-10-18,AL,01081,24.4,24.4,25.1,0.0,24.4,24.4
2020-10-25,AL,01081,22.7,22.6,23.1,0.0,22.7,22.7
2020-11-01,AL,01081,22.9,22.9,25.9,0.0,22.9,22.9
2020-11-08,AL,01081,30.6,30.6,26.7,0.0,30.6,30.6
2020-11-15,AL,01081,33.3,33.1,26.7,0.0,33.3,33.3
2020-11-22,AL,01081,33.9,33.9,25.3,0.0,33.9,33.9
2020-11-29,AL,01081,44.1,44.0,23.0,0,44.4,44.1
2020-12-06,AL,01081,50.6,50.3,26.6,0.0,50.6,50.6
2020-12-13,AL,01081,53.4,53.3,30.0,0,53.6,53.4
2020-12-20,AL,01081,54.0,54.0,30.0,0.0,54.0,54.0
2020-12-27,AL,01081,67.3,67.3,30.0,0.0,67.3,67.3
2021-01-03,AL,01081,77.3,77.3,30.0,0.0,77.3,77.3
2021-01-10,AL,01081,80.6,80.6,30.0,0.0,80.6,80.6
2021-01-17,AL,01081,67.6,67.6,30.0,0,67.7,67.6
2021-01-24,AL,01081,69.9,69.9,30.0,0,70.0,69.9
2021-01-31,AL,01081,62.7,62.7,30.0,0.0,62.7,62.7
2021-02-07,AL,01081,44.6,44.9,30.0,0,44.7,44.6
2021-02-14,AL,01081,34.7,34.7,30.0,0,34.9,34.7
2021-02-21,AL,01081,20.7,20.7,29.0,0.0,20.7,20.7
2021-02-28,AL,01081,10.9,10.9,27.3,0.0,10.9,10.9
2021-03-07,AL,01081,10.9,10.9,23.0,0,11.0,10.9
2021-03-14,AL,01081,8.6,8.6,19.3,0.0,8.6,8.6
2021-03-21,AL,01081,9.4,9.3,22.1,0.0,9.4,9.4
2021-03-28,AL,01081,10.7,10.7,18.0,0.0,10.7,10.7
2021-04-04,AL,01081,11.1,11.1,22.1,0,11.3,11.1
2021-04-11,AL,01081,12.0,12.0,21.9,0,13.0,12.0
2021-04-18,AL,01081,16.6,16.6,20.9,0.0,16.6,16.6
2021-04-25,AL,01081,10.1,10.1,23.9,0.0,10.1,10.1
2021-05-02,AL,01081,8.4,8.4,23.7,0.0,8.4,8.4
2021-05-09,AL,01081,6.9,6.9,22.7,0.0,6.9,6.9
2021-05-16,AL,01081,7.7,7.7,24.0,0.0,7.7,7.7
2021-05-23,AL,01081,6.0,5.9,20.9,0,6.1,6.0
2021-05-30,AL,01081,4.7,4.7,21.4,0.0,4.7,4.7
2021-06-06,AL,01081,4.6,4.6,20.0,0.0,4.6,4.6
2021-06-13,AL,01081,6.3,6.3,20.1,0.0,6.3,6.3
2021-06-20,AL,01081,8.0,8.0,19.0,0.0,8.0,8.0
2021-06-27,AL,01081,11.3,11.3,16.3,0,11.6,11.3
2021-07-04,AL,01081,10.0,10.0,20.3,0.0,10.0,10.0
2021-07-11,AL,01081,11.6,11.6,22.0,0,11.9,11.6
2021-07-18,AL,01081,19.7,19.6,24.4,0,20.0,19.7
2021-07-25,AL,01081,28.7,28.7,21.9,0.0,28.7,28.7
2021-08-01,AL,01081,31.1,31.1,22.0,0,31.7,31.1
2021-08-08,AL,01081,45.6,45.4,22.0,0.0,45.6,45.6
2021-08-15,AL,01081,62.1,61.9,24.9,0,62.4,62.1
2021-08-22,AL,01081,72.0,71.9,32.4,0,72.9,72.0
2021-08-29,AL,01081,77.6,77.6,37.4,0,77.7,77.6
2021-09-05,AL,01081,80.4,80.4,39.0,0.0,80.4,80.4
2021-09-12,AL,01081,65.0,65.0,37.0,0,65.4,65.0
2021-09-19,AL,01081,47.0,47.0,32.9,0,47.3,47.0
2021-09-26,AL,01081,37.9,37.9,29.4,0.0,37.9,37.9
2021-10-03,AL,01081,32.4,32.4,24.7,0,32.6,32.4
2021-10-10,AL,01081,19.0,19.0,25.1,0,19.1,19.0
2021-10-17,AL,01081,13.4,13.4,25.6,0,13.6,13.4
2021-10-24,AL,01081,12.1,12.1,23.6,0.0,12.1,12.1
2021-10-31,AL,01081,10.7,10.7,18.9,0.0,10.7,10.7
2021-11-07,AL,01081,9.9,9.9,20.4,0.0,9.9,9.9
2021-11-14,AL,01081,7.1,7.1,17.6,0.0,7.1,7.1
2021-11-21,AL,01081,5.9,5.9,19.1,0.0,5.9,5.9
2021-11-28,AL,01081,6.4,6.4,24.0,0.0,6.4,6.4
2021-12-05,AL,01081,8.4,8.3,27.1,0.0,8.4,8.4
2021-12-12,AL,01081,9.4,9.4,21.1,0.0,9.4,9.4
2021-12-19,AL,01081,9.6,9.4,21.1,0,9.9,9.6
2021-12-26,AL,01081,22.9,22.7,25.0,0,23.1,22.9
