collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01089,253.79999999999998,216.79999999999998,195.0,8.3,262.1,262.09999999999997
2020-08-09,AL,01089,218.6,185.6,180.8,5.8,222.8,224.4
2020-08-16,AL,01089,184.4,155.29999999999998,172.0,5.2,187.9,189.6
2020-08-23,AL,01089,176.0,136.9,171.9,0.0,178.3,176.0
2020-08-30,AL,01089,94.19999999999999,76.8,97.0,0.0,95.1,94.19999999999999
2020-09-06,AL,01089,78.1,60.1,83.60000000000001,0.0,78.8,78.1
2020-09-13,AL,01089,73.80000000000001,57.6,96.9,0.0,75.60000000000001,73.80000000000001
2020-09-20,AL,01089,77.7,59.0,90.6,0.0,79.0,77.7
2020-09-27,AL,01089,79.1,60.0,90.60000000000001,0.0,80.9,79.1
2020-10-04,AL,01089,67.4,47.7,84.6,0.0,70.0,67.4
2020-10-11,AL,01089,81.6,65.0,98.10000000000001,0.0,85.5,81.6
2020-10-18,AL,01089,86.5,65.7,102.60000000000001,0.0,90.0,86.5
2020-10-25,AL,01089,103.1,84.39999999999999,109.2,0.0,106.39999999999999,103.1
2020-11-01,AL,01089,106.5,87.8,108.80000000000001,0.0,108.39999999999999,106.5
2020-11-08,AL,01089,121.60000000000001,103.10000000000001,108.60000000000001,0.0,124.2,121.60000000000001
2020-11-15,AL,01089,150.29999999999998,127.8,111.5,0.0,153.79999999999998,150.29999999999998
2020-11-22,AL,01089,166.0,142.5,107.80000000000001,0.0,168.29999999999998,166.0
2020-11-29,AL,01089,195.70000000000002,173.0,110.19999999999999,5.3,201.0,201.00000000000003
2020-12-06,AL,01089,254.0,226.3,113.7,0.0,256.5,254.0
2020-12-13,AL,01089,267.9,242.5,114.0,5.7,273.59999999999997,273.59999999999997
2020-12-20,AL,01089,287.1,268.0,105.39999999999999,6.1,293.20000000000005,293.20000000000005
2020-12-27,AL,01089,309.3,266.6,112.69999999999999,4.6,313.8,313.90000000000003
2021-01-03,AL,01089,355.0,295.9,120.5,5.4,360.5,360.4
2021-01-10,AL,01089,307.5,263.3,117.7,6.6,314.09999999999997,314.1
2021-01-17,AL,01089,256.3,217.0,118.3,5.9,262.2,262.2
2021-01-24,AL,01089,248.0,207.6,116.3,8.7,256.7,256.7
2021-01-31,AL,01089,217.8,178.4,115.5,7.6,225.4,225.4
2021-02-07,AL,01089,158.70000000000002,123.7,94.0,5.9,164.60000000000002,164.60000000000002
2021-02-14,AL,01089,135.0,95.80000000000001,105.60000000000001,4.4,139.4,139.4
2021-02-21,AL,01089,122.4,75.4,108.89999999999999,4.3,126.7,126.7
2021-02-28,AL,01089,101.3,64.2,107.19999999999999,0.0,102.7,101.3
2021-03-07,AL,01089,80.6,49.599999999999994,103.6,0.0,82.2,80.6
2021-03-14,AL,01089,73.0,41.7,110.30000000000001,0.0,75.1,73.0
2021-03-21,AL,01089,60.9,31.6,112.8,0.0,64.3,60.9
2021-03-28,AL,01089,56.5,28.9,108.7,0.0,58.5,56.5
2021-04-04,AL,01089,52.4,30.700000000000003,108.5,4.0,56.4,56.4
2021-04-11,AL,01089,70.5,42.5,108.7,0.0,74.19999999999999,70.5
2021-04-18,AL,01089,73.7,45.6,101.80000000000001,4.3,78.0,78.0
2021-04-25,AL,01089,67.4,38.8,105.19999999999999,0.0,70.7,67.4
2021-05-02,AL,01089,73.4,44.1,114.1,0.0,76.3,73.4
2021-05-09,AL,01089,66.89999999999999,44.7,107.89999999999999,0.0,70.6,66.89999999999999
2021-05-16,AL,01089,53.199999999999996,31.5,109.2,4.3,57.5,57.49999999999999
2021-05-23,AL,01089,40.6,15.0,93.19999999999999,0.0,44.3,40.6
2021-05-30,AL,01089,21.7,9.4,100.69999999999999,0.0,24.7,21.7
2021-06-06,AL,01089,22.1,9.3,100.0,0.0,24.7,22.1
2021-06-13,AL,01089,24.7,13.0,102.69999999999999,0.0,28.4,24.7
2021-06-20,AL,01089,31.900000000000002,20.6,107.3,0.0,33.0,31.900000000000002
2021-06-27,AL,01089,50.4,35.8,106.2,5.1,55.5,55.5
2021-07-04,AL,01089,35.0,24.5,103.5,4.4,39.4,39.4
2021-07-11,AL,01089,40.8,30.299999999999997,100.4,7.3,48.1,48.099999999999994
2021-07-18,AL,01089,58.2,46.7,111.7,5.1,63.300000000000004,63.300000000000004
2021-07-25,AL,01089,96.6,76.9,110.10000000000001,7.4,104.0,104.0
2021-08-01,AL,01089,136.70000000000002,120.3,117.0,11.0,147.70000000000002,147.70000000000002
2021-08-08,AL,01089,181.1,162.3,113.9,12.4,193.5,193.5
2021-08-15,AL,01089,198.7,174.20000000000002,117.5,14.1,212.79999999999998,212.79999999999998
2021-08-22,AL,01089,217.3,194.0,117.4,12.4,229.8,229.70000000000002
2021-08-29,AL,01089,252.60000000000002,232.39999999999998,117.1,19.7,272.3,272.3
2021-09-05,AL,01089,281.7,243.7,117.19999999999999,16.0,298.3,297.7
2021-09-12,AL,01089,251.60000000000002,219.89999999999998,116.9,14.1,266.7,265.70000000000005
2021-09-19,AL,01089,216.0,185.8,116.0,16.4,233.4,232.4
2021-09-26,AL,01089,204.4,172.0,119.19999999999999,15.6,220.20000000000002,220.0
2021-10-03,AL,01089,166.4,134.79999999999998,114.8,8.6,175.0,175.0
2021-10-10,AL,01089,130.2,104.0,114.19999999999999,14.0,144.2,144.2
2021-10-17,AL,01089,106.7,74.6,111.8,8.7,115.4,115.4
2021-10-24,AL,01089,82.9,56.6,112.89999999999999,7.0,89.9,89.9
2021-10-31,AL,01089,66.10000000000001,40.3,110.8,8.7,74.80000000000001,74.80000000000001
2021-11-07,AL,01089,58.7,34.3,112.0,7.9,66.6,66.60000000000001
2021-11-14,AL,01089,58.800000000000004,37.0,116.7,7.3,66.1,66.10000000000001
2021-11-21,AL,01089,69.10000000000001,41.1,107.7,7.3,76.4,76.4
2021-11-28,AL,01089,69.1,43.3,113.10000000000001,5.9,75.0,75.0
2021-12-05,AL,01089,75.5,47.6,106.69999999999999,8.9,84.3,84.4
2021-12-12,AL,01089,68.5,41.6,111.7,10.9,79.30000000000001,79.4
2021-12-19,AL,01089,81.6,50.199999999999996,108.30000000000001,13.9,95.39999999999999,95.5
2021-12-26,AL,01089,114.89999999999999,78.39999999999999,110.4,7.7,122.6,122.6
