collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01101,157.2,121.9,97.8,0.0,160.3,157.2
2020-08-09,AL,01101,137.1,107.69999999999999,97.1,0.0,138.7,137.1
2020-08-16,AL,01101,113.9,85.69999999999999,97.9,0.0,115.0,113.9
2020-08-23,AL,01101,94.7,68.0,99.3,0.0,95.6,94.7
2020-08-30,AL,01101,84.6,62.2,94.5,0.0,85.2,84.6
2020-09-06,AL,01101,67.0,50.5,96.1,0.0,67.4,67.0
2020-09-13,AL,01101,55.0,44.2,97.4,0.0,55.8,55.0
2020-09-20,AL,01101,58.4,44.3,95.6,0.0,58.8,58.4
2020-09-27,AL,01101,56.2,41.0,96.1,0.0,56.300000000000004,56.2
2020-10-04,AL,01101,60.199999999999996,47.0,96.80000000000001,0.0,60.5,60.199999999999996
2020-10-11,AL,01101,65.89999999999999,58.5,96.9,0.0,66.9,65.89999999999999
2020-10-18,AL,01101,70.3,65.3,96.1,0.0,70.7,70.3
2020-10-25,AL,01101,75.1,69.6,99.2,0.0,76.3,75.1
2020-11-01,AL,01101,86.9,81.9,98.6,0.0,87.3,86.9
2020-11-08,AL,01101,90.30000000000001,84.9,98.6,0.0,91.5,90.30000000000001
2020-11-15,AL,01101,97.6,90.5,98.3,0.0,97.7,97.6
2020-11-22,AL,01101,102.6,94.0,98.1,0.0,102.80000000000001,102.6
2020-11-29,AL,01101,123.9,115.10000000000001,99.0,0.0,124.4,123.9
2020-12-06,AL,01101,134.1,124.9,99.0,0.0,134.7,134.1
2020-12-13,AL,01101,169.6,161.3,99.3,0.0,169.7,169.6
2020-12-20,AL,01101,171.4,164.4,99.0,0.0,172.10000000000002,171.4
2020-12-27,AL,01101,200.9,192.2,99.8,0.0,201.0,200.9
2021-01-03,AL,01101,228.60000000000002,222.5,102.7,0.0,229.0,228.60000000000002
2021-01-10,AL,01101,230.4,222.10000000000002,100.9,0.0,230.9,230.4
2021-01-17,AL,01101,203.10000000000002,197.39999999999998,101.6,0.0,203.8,203.10000000000002
2021-01-24,AL,01101,181.3,176.1,101.6,0.0,182.10000000000002,181.3
2021-01-31,AL,01101,149.9,144.5,101.1,0.0,151.1,149.9
2021-02-07,AL,01101,120.6,114.10000000000001,100.7,0.0,121.4,120.6
2021-02-14,AL,01101,83.8,79.80000000000001,101.3,0.0,84.1,83.8
2021-02-21,AL,01101,69.89999999999999,64.8,98.9,0.0,70.3,69.89999999999999
2021-02-28,AL,01101,57.300000000000004,52.7,101.0,0.0,57.8,57.300000000000004
2021-03-07,AL,01101,45.8,40.0,99.1,0.0,46.0,45.8
2021-03-14,AL,01101,43.4,38.9,96.4,0.0,43.599999999999994,43.4
2021-03-21,AL,01101,46.4,42.4,96.0,0.0,47.0,46.4
2021-03-28,AL,01101,47.0,43.599999999999994,99.3,0.0,47.3,47.0
2021-04-04,AL,01101,52.60000000000001,46.1,98.9,0.0,53.00000000000001,52.60000000000001
2021-04-11,AL,01101,52.3,46.4,101.8,0.0,52.99999999999999,52.3
2021-04-18,AL,01101,48.0,42.5,101.9,0.0,48.4,48.0
2021-04-25,AL,01101,35.6,31.6,99.7,0.0,36.0,35.6
2021-05-02,AL,01101,34.800000000000004,29.799999999999997,100.0,0.0,35.400000000000006,34.800000000000004
2021-05-09,AL,01101,38.5,30.9,100.4,0.0,39.0,38.5
2021-05-16,AL,01101,35.300000000000004,30.9,100.8,0.0,36.6,35.300000000000004
2021-05-23,AL,01101,27.3,23.200000000000003,99.9,0.0,27.5,27.3
2021-05-30,AL,01101,24.1,16.5,98.7,0.0,24.3,24.1
2021-06-06,AL,01101,6.0,4.6,95.9,0.0,6.0,6.0
2021-06-13,AL,01101,13.100000000000001,0,93.0,0.0,13.100000000000001,13.100000000000001
2021-06-20,AL,01101,0,0,98.3,0.0,0,0.0
2021-06-27,AL,01101,15.7,5.9,99.0,0.0,16.0,15.7
2021-07-04,AL,01101,6.3,0,93.3,0.0,6.4,6.3
2021-07-11,AL,01101,18.2,14.8,99.1,0.0,19.1,18.2
2021-07-18,AL,01101,37.300000000000004,30.199999999999996,99.3,0.0,38.4,37.300000000000004
2021-07-25,AL,01101,55.50000000000001,50.0,99.1,0.0,57.4,55.50000000000001
2021-08-01,AL,01101,84.0,75.8,101.3,0.0,84.30000000000001,84.0
2021-08-08,AL,01101,118.9,105.19999999999999,104.3,0.0,121.5,118.9
2021-08-15,AL,01101,152.9,147.8,105.3,0.0,155.2,152.9
2021-08-22,AL,01101,179.8,174.0,106.7,0.0,181.0,179.8
2021-08-29,AL,01101,183.8,178.6,102.9,0.0,188.0,183.8
2021-09-05,AL,01101,163.7,160.3,101.6,0.0,165.5,163.7
2021-09-12,AL,01101,149.8,143.20000000000002,99.9,0.0,151.0,149.8
2021-09-19,AL,01101,102.39999999999999,100.80000000000001,109.89999999999999,0.0,102.8,102.39999999999999
2021-09-26,AL,01101,80.4,77.69999999999999,115.7,0.0,81.1,80.4
2021-10-03,AL,01101,63.5,60.1,99.6,0.0,63.7,63.5
2021-10-10,AL,01101,52.5,48.7,105.1,0.0,52.5,52.5
2021-10-17,AL,01101,38.599999999999994,36.199999999999996,105.1,0.0,38.9,38.599999999999994
2021-10-24,AL,01101,33.6,30.8,104.5,0.0,34.3,33.6
2021-10-31,AL,01101,33.5,29.4,107.69999999999999,0.0,33.5,33.5
2021-11-07,AL,01101,21.6,19.6,111.39999999999999,0.0,21.6,21.6
2021-11-14,AL,01101,19.0,13.3,106.30000000000001,0.0,19.0,19.0
2021-11-21,AL,01101,14.5,11.6,96.7,0.0,14.5,14.5
2021-11-28,AL,01101,23.2,15.2,100.0,0.0,23.2,23.2
2021-12-05,AL,01101,26.0,21.700000000000003,106.3,0.0,26.0,26.0
2021-12-12,AL,01101,31.900000000000002,29.0,107.5,0.0,31.900000000000002,31.900000000000002
2021-12-19,AL,01101,31.4,27.1,102.1,0.0,31.7,31.4
2021-12-26,AL,01101,55.5,51.0,104.0,0.0,56.0,55.5
