collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01121,16.4,6.7,12.899999999999999,0.0,16.799999999999997,16.4
2020-08-09,AL,01121,17.6,13.2,14.3,0.0,17.6,17.6
2020-08-16,AL,01121,19.200000000000003,15.0,13.9,0.0,19.3,19.200000000000003
2020-08-23,AL,01121,15.5,12.6,12.3,0.0,15.5,15.5
2020-08-30,AL,01121,13.5,9.7,12.2,0.0,13.5,13.5
2020-09-06,AL,01121,14.6,10.3,11.7,0.0,14.6,14.6
2020-09-13,AL,01121,16.7,9.4,11.8,0.0,17.4,16.7
2020-09-20,AL,01121,10.9,9.1,8.3,0.0,10.9,10.9
2020-09-27,AL,01121,13.5,11.0,9.2,0.0,13.5,13.5
2020-10-04,AL,01121,16.3,13.6,11.7,0.0,16.3,16.3
2020-10-11,AL,01121,11.899999999999999,9.0,4.6,0.0,11.899999999999999,11.899999999999999
2020-10-18,AL,01121,10.100000000000001,4.7,11.7,0.0,10.100000000000001,10.100000000000001
2020-10-25,AL,01121,14.3,11.5,12.0,0.0,14.3,14.3
2020-11-01,AL,01121,16.5,14.5,13.9,0.0,16.5,16.5
2020-11-08,AL,01121,23.299999999999997,20.7,8.7,0.0,23.299999999999997,23.299999999999997
2020-11-15,AL,01121,20.9,18.6,14.0,0.0,20.9,20.9
2020-11-22,AL,01121,23.299999999999997,20.7,14.2,0.0,23.299999999999997,23.299999999999997
2020-11-29,AL,01121,25.0,23.799999999999997,13.3,0.0,25.0,25.0
2020-12-06,AL,01121,28.4,26.7,13.399999999999999,0.0,28.4,28.4
2020-12-13,AL,01121,23.6,21.200000000000003,13.399999999999999,0.0,23.6,23.6
2020-12-20,AL,01121,23.6,22.0,11.9,0.0,23.6,23.6
2020-12-27,AL,01121,28.5,26.2,13.0,0.0,28.5,28.5
2021-01-03,AL,01121,30.6,28.9,13.7,0.0,30.6,30.6
2021-01-10,AL,01121,25.7,24.1,13.6,0.0,25.7,25.7
2021-01-17,AL,01121,22.6,20.3,13.6,0.0,22.6,22.6
2021-01-24,AL,01121,18.700000000000003,15.5,12.6,0.0,18.700000000000003,18.700000000000003
2021-01-31,AL,01121,17.7,14.9,11.5,0.0,17.7,17.7
2021-02-07,AL,01121,17.0,14.0,11.4,0.0,17.0,17.0
2021-02-14,AL,01121,13.2,7.3,11.0,0.0,13.2,13.2
2021-02-21,AL,01121,6.9,6.1,10.3,0.0,6.9,6.9
2021-02-28,AL,01121,0,0,11.7,0.0,0,0.0
2021-03-07,AL,01121,0,0,6.1,0.0,0,0.0
2021-03-14,AL,01121,0,0.0,9.1,0.0,0,0.0
2021-03-21,AL,01121,0.0,0.0,5.7,0.0,0.0,0.0
2021-03-28,AL,01121,0,0.0,8.4,0.0,0,0.0
2021-04-04,AL,01121,0.0,0.0,12.0,0.0,0.0,0.0
2021-04-11,AL,01121,0.0,0.0,11.5,0.0,0.0,0.0
2021-04-18,AL,01121,0,0,4.7,0.0,0,0.0
2021-04-25,AL,01121,0,0,9.7,0.0,0,0.0
2021-05-02,AL,01121,0,0,12.700000000000001,0.0,0,0.0
2021-05-09,AL,01121,0,0,6.9,0.0,0,0.0
2021-05-16,AL,01121,0,0,0,0.0,0,0.0
2021-05-23,AL,01121,0,0,5.1,0.0,0,0.0
2021-05-30,AL,01121,0.0,0.0,5.7,0.0,0.0,0.0
2021-06-06,AL,01121,0.0,0.0,7.7,0.0,0.0,0.0
2021-06-13,AL,01121,0.0,0.0,8.6,0.0,0.0,0.0
2021-06-20,AL,01121,0,0,7.6,0.0,0,0.0
2021-06-27,AL,01121,0,0,6.9,0.0,0,0.0
2021-07-04,AL,01121,0.0,0.0,11.8,0.0,0.0,0.0
2021-07-11,AL,01121,0.0,0.0,4.6,0.0,0.0,0.0
2021-07-18,AL,01121,0,0,5.0,0.0,0,0.0
2021-07-25,AL,01121,8.9,8.9,12.3,0.0,8.9,8.9
2021-08-01,AL,01121,15.2,15.0,13.4,0.0,15.2,15.2
2021-08-08,AL,01121,15.600000000000001,15.4,10.399999999999999,0.0,15.600000000000001,15.600000000000001
2021-08-15,AL,01121,20.9,20.9,13.6,0.0,20.9,20.9
2021-08-22,AL,01121,25.1,25.1,15.1,0.0,25.1,25.1
2021-08-29,AL,01121,31.200000000000003,31.200000000000003,15.0,0.0,31.200000000000003,31.200000000000003
2021-09-05,AL,01121,35.7,35.7,15.2,0.0,35.7,35.7
2021-09-12,AL,01121,39.0,39.0,15.8,0.0,39.0,39.0
2021-09-19,AL,01121,26.5,26.5,15.7,0.0,26.5,26.5
2021-09-26,AL,01121,23.7,23.6,15.1,0.0,23.7,23.7
2021-10-03,AL,01121,20.3,20.3,12.8,0.0,20.3,20.3
2021-10-10,AL,01121,17.0,17.0,13.7,0.0,17.0,17.0
2021-10-17,AL,01121,6.4,6.4,7.9,0.0,6.4,6.4
2021-10-24,AL,01121,5.7,5.7,8.0,0.0,5.7,5.7
2021-10-31,AL,01121,0,0,5.0,0.0,0,0.0
2021-11-07,AL,01121,4.0,4.0,5.4,0.0,4.0,4.0
2021-11-14,AL,01121,0,0,6.6,0.0,0,0.0
2021-11-21,AL,01121,0,0,6.0,0.0,0,0.0
2021-11-28,AL,01121,0,0,7.3,0.0,0,0.0
2021-12-05,AL,01121,0,0,6.7,0.0,0,0.0
2021-12-12,AL,01121,0.0,0.0,7.1,0.0,0.0,0.0
2021-12-19,AL,01121,0,0,5.4,0.0,0,0.0
2021-12-26,AL,01121,0,0,7.1,0.0,0,0.0
