collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AL,01127,19.0,10.0,11.4,0.0,19.0,19.0
2020-08-09,AL,01127,25.3,14.0,12.0,0,25.6,25.3
2020-08-16,AL,01127,31.6,20.6,11.7,0.0,31.6,31.6
2020-08-23,AL,01127,32.7,21.7,12.0,0.0,32.7,32.7
2020-08-30,AL,01127,23.6,12.4,11.6,0.0,23.6,23.6
2020-09-06,AL,01127,22.6,13.9,11.9,0.0,22.6,22.6
2020-09-13,AL,01127,18.4,9.4,12.0,0.0,18.4,18.4
2020-09-20,AL,01127,25.5,13.0,11.3,0.0,25.5,25.5
2020-09-27,AL,01127,21.4,8.0,9.6,0.0,21.4,21.4
2020-10-04,AL,01127,17.6,9.3,11.6,0.0,17.6,17.6
2020-10-11,AL,01127,17.3,7.0,11.3,0,17.4,17.3
2020-10-18,AL,01127,18.6,8.4,12.0,0.0,18.6,18.6
2020-10-25,AL,01127,22.1,10.6,10.9,0.0,22.1,22.1
2020-11-01,AL,01127,25.4,11.7,10.6,0.0,25.4,25.4
2020-11-08,AL,01127,28.3,15.1,10.2,0.0,28.3,28.3
2020-11-15,AL,01127,28.7,21.0,11.1,0.0,28.7,28.7
2020-11-22,AL,01127,33.3,29.1,12.0,0.0,33.3,33.3
2020-11-29,AL,01127,39.9,32.7,12.0,0.0,39.9,39.9
2020-12-06,AL,01127,44.0,42.9,12.0,0.0,44.0,44.0
2020-12-13,AL,01127,50.3,49.7,12.0,0.0,50.3,50.3
2020-12-20,AL,01127,51.3,48.9,12.0,0.0,51.3,51.3
2020-12-27,AL,01127,46.3,45.3,12.0,0.0,46.3,46.3
2021-01-03,AL,01127,38.4,37.6,12.0,0.0,38.4,38.4
2021-01-10,AL,01127,37.9,36.9,12.0,0.0,37.9,37.9
2021-01-17,AL,01127,30.4,30.4,11.7,0.0,30.4,30.4
2021-01-24,AL,01127,20.6,20.6,10.7,0.0,20.6,20.6
2021-01-31,AL,01127,15.6,15.4,12.0,0,15.7,15.6
2021-02-07,AL,01127,16.7,15.7,11.9,0.0,16.7,16.7
2021-02-14,AL,01127,11.9,11.9,11.9,0.0,11.9,11.9
2021-02-21,AL,01127,10.0,9.9,10.9,0.0,10.0,10.0
2021-02-28,AL,01127,5.4,5.4,11.7,0.0,5.4,5.4
2021-03-07,AL,01127,0,0,11.3,0.0,0,0.0
2021-03-14,AL,01127,0,0,9.6,0.0,0,0.0
2021-03-21,AL,01127,0,0,10.3,0.0,0,0.0
2021-03-28,AL,01127,4.0,4.0,9.0,0.0,4.0,4.0
2021-04-04,AL,01127,0,0,10.9,0.0,0,0.0
2021-04-11,AL,01127,0,0,11.0,0.0,0,0.0
2021-04-18,AL,01127,0,0,10.9,0.0,0,0.0
2021-04-25,AL,01127,0,0,10.7,0.0,0,0.0
2021-05-02,AL,01127,0,0,10.4,0.0,0,0.0
2021-05-09,AL,01127,0,0,9.4,0.0,0,0.0
2021-05-16,AL,01127,0,0,11.4,0.0,0,0.0
2021-05-23,AL,01127,0,0,10.3,0,0,0.0
2021-05-30,AL,01127,0,0,9.3,0.0,0,0.0
2021-06-06,AL,01127,0,0,9.3,0.0,0,0.0
2021-06-13,AL,01127,0,0,11.1,0.0,0,0.0
2021-06-20,AL,01127,0,0,9.3,0.0,0,0.0
2021-06-27,AL,01127,0,0,11.1,0.0,0,0.0
2021-07-04,AL,01127,0,0,6.9,0.0,0,0.0
2021-07-11,AL,01127,0,4.0,9.3,0.0,0,0.0
2021-07-18,AL,01127,7.6,7.6,10.4,0.0,7.6,7.6
2021-07-25,AL,01127,12.3,12.3,12.0,0.0,12.3,12.3
2021-08-01,AL,01127,16.9,16.7,12.0,0.0,16.9,16.9
2021-08-08,AL,01127,24.3,24.3,11.6,0.0,24.3,24.3
2021-08-15,AL,01127,35.0,35.0,12.0,0.0,35.0,35.0
2021-08-22,AL,01127,39.9,39.9,12.0,0.0,39.9,39.9
2021-08-29,AL,01127,47.0,46.6,15.4,0.0,47.0,47.0
2021-09-05,AL,01127,43.9,43.4,14.9,0.0,43.9,43.9
2021-09-12,AL,01127,36.4,35.7,11.7,0.0,36.4,36.4
2021-09-19,AL,01127,26.3,25.9,11.7,0.0,26.3,26.3
2021-09-26,AL,01127,14.7,14.3,11.3,0.0,14.7,14.7
2021-10-03,AL,01127,9.3,9.3,11.4,0.0,9.3,9.3
2021-10-10,AL,01127,13.3,13.0,11.4,0.0,13.3,13.3
2021-10-17,AL,01127,10.9,12.6,10.9,0.0,10.9,10.9
2021-10-24,AL,01127,8.0,8.0,11.4,0.0,8.0,8.0
2021-10-31,AL,01127,4.6,4.6,11.4,0.0,4.6,4.6
2021-11-07,AL,01127,6.0,6.0,10.4,0.0,6.0,6.0
2021-11-14,AL,01127,4.1,4.1,10.0,0.0,4.1,4.1
2021-11-21,AL,01127,4.7,4.7,11.4,0.0,4.7,4.7
2021-11-28,AL,01127,7.4,7.4,11.7,0.0,7.4,7.4
2021-12-05,AL,01127,6.0,6.0,11.7,0.0,6.0,6.0
2021-12-12,AL,01127,10.1,10.0,10.6,0.0,10.1,10.1
2021-12-19,AL,01127,9.0,9.0,8.6,0.0,9.0,9.0
2021-12-26,AL,01127,13.4,13.4,10.1,0.0,13.4,13.4
