collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05001,57.0,25.6,28.9,0.0,58.0,57.0
2020-08-09,AR,05001,42.6,29.0,28.9,0.0,42.9,42.6
2020-08-16,AR,05001,36.1,32.7,32.3,0.0,36.1,36.1
2020-08-23,AR,05001,29.4,27.4,32.0,0.0,29.4,29.4
2020-08-30,AR,05001,25.9,24.1,31.7,0.0,25.9,25.9
2020-09-06,AR,05001,21.3,18.6,32.3,0.0,21.3,21.3
2020-09-13,AR,05001,22.0,21.0,34.6,0.0,22.1,22.0
2020-09-20,AR,05001,27.3,27.2,32.8,0.0,27.3,27.3
2020-09-27,AR,05001,25.3,25.3,33.0,0.0,25.3,25.3
2020-10-04,AR,05001,28.3,28.1,32.0,0.0,28.3,28.3
2020-10-11,AR,05001,44.4,44.1,34.0,0.0,44.4,44.4
2020-10-18,AR,05001,45.6,45.3,33.1,0.0,45.7,45.6
2020-10-25,AR,05001,48.0,48.0,31.1,0.0,48.0,48.0
2020-11-01,AR,05001,49.1,48.9,32.3,0.0,49.1,49.1
2020-11-08,AR,05001,54.4,54.3,30.9,0.0,54.4,54.4
2020-11-15,AR,05001,57.1,57.1,34.7,0.0,57.1,57.1
2020-11-22,AR,05001,54.1,54.0,33.0,0.0,54.3,54.1
2020-11-29,AR,05001,54.4,54.1,33.1,0.0,54.7,54.4
2020-12-06,AR,05001,56.7,55.7,32.4,0.0,56.7,56.7
2020-12-13,AR,05001,48.3,47.7,33.7,0.0,48.3,48.3
2020-12-20,AR,05001,48.1,47.9,33.6,0.0,48.1,48.1
2020-12-27,AR,05001,55.3,54.0,33.3,0.0,55.3,55.3
2021-01-03,AR,05001,57.4,56.7,34.0,0.0,57.4,57.4
2021-01-10,AR,05001,47.3,46.6,34.4,0.0,47.3,47.3
2021-01-17,AR,05001,45.3,44.9,32.1,0.0,45.3,45.3
2021-01-24,AR,05001,40.9,39.9,32.9,0.0,40.9,40.9
2021-01-31,AR,05001,27.6,27.6,33.3,0.0,27.6,27.6
2021-02-07,AR,05001,21.0,20.6,28.6,0.0,21.0,21.0
2021-02-14,AR,05001,19.6,19.6,27.7,0.0,20.0,19.6
2021-02-21,AR,05001,21.7,21.7,27.6,0.0,21.7,21.7
2021-02-28,AR,05001,14.3,14.3,31.7,0.0,14.3,14.3
2021-03-07,AR,05001,9.6,9.4,30.6,0.0,9.6,9.6
2021-03-14,AR,05001,7.3,7.1,25.1,0.0,7.3,7.3
2021-03-21,AR,05001,5.1,0.0,24.9,0.0,5.1,5.1
2021-03-28,AR,05001,7.0,6.9,25.4,0.0,7.0,7.0
2021-04-04,AR,05001,6.3,6.1,29.7,0.0,6.3,6.3
2021-04-11,AR,05001,7.6,7.3,30.1,0.0,7.6,7.6
2021-04-18,AR,05001,13.4,13.0,32.3,0.0,13.6,13.4
2021-04-25,AR,05001,8.6,7.9,29.7,0.0,8.6,8.6
2021-05-02,AR,05001,6.9,6.9,27.1,0.0,7.0,6.9
2021-05-09,AR,05001,7.0,6.9,28.0,0.0,7.0,7.0
2021-05-16,AR,05001,7.4,7.4,29.1,0.0,7.4,7.4
2021-05-23,AR,05001,12.4,12.4,28.4,0.0,12.4,12.4
2021-05-30,AR,05001,14.6,14.6,29.4,0.0,14.6,14.6
2021-06-06,AR,05001,11.4,11.3,30.3,0.0,11.4,11.4
2021-06-13,AR,05001,7.6,7.6,28.3,0.0,7.6,7.6
2021-06-20,AR,05001,7.3,7.3,29.6,0.0,7.3,7.3
2021-06-27,AR,05001,9.3,9.3,30.1,0.0,9.3,9.3
2021-07-04,AR,05001,10.4,10.3,32.7,0.0,10.4,10.4
2021-07-11,AR,05001,20.4,19.9,30.1,0.0,20.4,20.4
2021-07-18,AR,05001,35.1,34.9,32.6,0.0,35.1,35.1
2021-07-25,AR,05001,37.7,36.6,32.0,0.0,37.7,37.7
2021-08-01,AR,05001,51.5,50.5,32.4,0.0,51.5,51.5
