collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05007,18.3,16.1,31.7,0.0,22.700000000000003,18.3
2020-08-09,AR,05007,14.0,12.0,41.7,4.7,14.0,18.7
2020-08-16,AR,05007,14.3,11.9,49.0,4.9,19.200000000000003,19.200000000000003
2020-08-23,AR,05007,11.6,9.3,49.0,0.0,11.7,11.6
2020-08-30,AR,05007,8.4,7.0,47.4,0.0,8.4,8.4
2020-09-06,AR,05007,12.3,9.3,49.6,4.1,16.4,16.4
2020-09-13,AR,05007,13.6,12.0,50.1,4.0,17.6,17.6
2020-09-20,AR,05007,17.7,15.4,56.0,0.0,17.7,17.7
2020-09-27,AR,05007,22.7,19.1,56.6,7.7,30.4,30.4
2020-10-04,AR,05007,21.9,16.3,55.9,0.0,22.9,21.9
2020-10-11,AR,05007,20.4,15.7,55.9,4.9,26.299999999999997,25.299999999999997
2020-10-18,AR,05007,20.4,16.0,59.4,6.3,27.6,26.7
2020-10-25,AR,05007,23.1,18.7,56.0,7.6,30.700000000000003,30.700000000000003
2020-11-01,AR,05007,25.3,20.0,49.3,0.0,25.3,25.3
2020-11-08,AR,05007,33.1,24.6,38.7,0.0,33.1,33.1
2020-11-15,AR,05007,33.1,27.4,40.4,0.0,33.1,33.1
2020-11-22,AR,05007,44.7,36.7,40.8,0.0,44.7,44.7
2020-11-29,AR,05007,46.6,37.0,40.9,0.0,46.6,46.6
2020-12-06,AR,05007,47.1,39.4,44.199999999999996,0.0,47.1,47.1
2020-12-13,AR,05007,47.0,37.9,43.3,4.9,52.0,51.9
2020-12-20,AR,05007,37.6,29.0,39.7,7.0,45.0,44.6
2020-12-27,AR,05007,38.6,31.9,40.400000000000006,6.4,46.5,45.0
2021-01-03,AR,05007,56.7,41.6,40.7,0.0,59.5,56.7
2021-01-10,AR,05007,52.699999999999996,38.0,38.7,0.0,54.2,52.699999999999996
2021-01-17,AR,05007,51.2,35.3,35.6,0.0,51.2,51.2
2021-01-24,AR,05007,50.6,34.4,34.5,0.0,50.6,50.6
2021-01-31,AR,05007,41.4,29.3,30.3,0.0,41.4,41.4
2021-02-07,AR,05007,33.4,26.3,30.5,0.0,33.7,33.4
2021-02-14,AR,05007,31.3,23.1,33.6,0.0,31.4,31.3
2021-02-21,AR,05007,27.3,18.9,30.9,0.0,27.3,27.3
2021-02-28,AR,05007,22.9,15.0,27.4,0.0,24.0,22.9
2021-03-07,AR,05007,25.9,16.7,33.6,0.0,27.0,25.9
2021-03-14,AR,05007,21.6,13.4,31.9,0.0,22.6,21.6
2021-03-21,AR,05007,14.9,9.1,24.1,0.0,16.1,14.9
2021-03-28,AR,05007,15.3,9.1,24.6,0.0,16.6,15.3
2021-04-04,AR,05007,13.6,7.7,17.9,0.0,14.7,13.6
2021-04-11,AR,05007,14.9,8.7,22.3,0.0,15.0,14.9
2021-04-18,AR,05007,13.7,7.4,24.0,0.0,13.7,13.7
2021-04-25,AR,05007,15.9,7.7,27.1,0.0,15.9,15.9
2021-05-02,AR,05007,10.6,4.3,24.6,0.0,10.7,10.6
2021-05-09,AR,05007,13.6,6.1,26.3,0.0,13.6,13.6
2021-05-16,AR,05007,13.3,6.0,23.6,0.0,13.3,13.3
2021-05-23,AR,05007,9.9,0.0,23.7,0.0,9.9,9.9
2021-05-30,AR,05007,13.1,6.7,19.9,0.0,13.1,13.1
2021-06-06,AR,05007,16.0,8.3,25.0,0.0,16.0,16.0
2021-06-13,AR,05007,14.0,7.0,24.4,0.0,14.0,14.0
2021-06-20,AR,05007,20.9,12.6,30.1,0.0,20.9,20.9
2021-06-27,AR,05007,24.1,18.9,36.3,0.0,24.1,24.1
2021-07-04,AR,05007,22.7,16.1,30.6,0.0,22.7,22.7
2021-07-11,AR,05007,30.0,20.0,40.7,0.0,30.0,30.0
2021-07-18,AR,05007,47.7,38.0,40.6,0.0,47.7,47.7
2021-07-25,AR,05007,65.0,55.6,40.1,0.0,65.0,65.0
2021-08-01,AR,05007,74.0,65.0,36.7,0.0,74.1,74.0
2021-08-08,AR,05007,77.0,68.3,40.5,0.0,78.30000000000001,77.0
2021-08-15,AR,05007,76.0,68.39999999999999,43.0,0.0,76.19999999999999,76.0
2021-08-22,AR,05007,84.2,75.2,41.8,0.0,84.30000000000001,84.2
2021-08-29,AR,05007,77.0,66.89999999999999,42.400000000000006,0.0,77.10000000000001,77.0
2021-09-05,AR,05007,63.0,54.7,39.0,0.0,63.3,63.0
2021-09-12,AR,05007,55.2,47.300000000000004,35.7,0.0,55.5,55.2
2021-09-19,AR,05007,52.5,44.8,34.5,0.0,52.5,52.5
2021-09-26,AR,05007,44.0,34.0,39.7,0.0,45.199999999999996,44.0
2021-10-03,AR,05007,43.6,33.7,35.3,0.0,44.6,43.6
2021-10-10,AR,05007,34.3,25.4,35.9,0.0,35.6,34.3
2021-10-17,AR,05007,31.4,22.4,30.400000000000002,0.0,32.4,31.4
2021-10-24,AR,05007,30.6,20.0,28.6,0.0,31.0,30.6
2021-10-31,AR,05007,25.0,15.1,31.700000000000003,0.0,25.1,25.0
2021-11-07,AR,05007,19.9,10.4,33.9,0.0,20.1,19.9
2021-11-14,AR,05007,20.1,10.0,32.2,0.0,20.1,20.1
2021-11-21,AR,05007,25.3,15.6,35.7,0.0,25.3,25.3
2021-11-28,AR,05007,30.4,19.1,41.300000000000004,0.0,30.6,30.4
2021-12-05,AR,05007,32.0,19.9,42.9,0.0,32.1,32.0
2021-12-12,AR,05007,34.1,24.4,43.7,0.0,34.4,34.1
2021-12-19,AR,05007,36.9,24.7,34.3,0.0,36.9,36.9
2021-12-26,AR,05007,39.7,27.4,30.9,0.0,39.7,39.7
