collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05045,23.200000000000003,20.9,28.5,0.0,23.200000000000003,23.200000000000003
2020-08-09,AR,05045,23.200000000000003,19.4,28.200000000000003,0.0,23.200000000000003,23.200000000000003
2020-08-16,AR,05045,22.9,21.5,27.8,0.0,22.9,22.9
2020-08-23,AR,05045,16.9,15.5,29.7,0.0,18.9,16.9
2020-08-30,AR,05045,23.799999999999997,22.5,35.5,0.0,23.799999999999997,23.799999999999997
2020-09-06,AR,05045,20.4,18.4,35.0,0.0,20.4,20.4
2020-09-13,AR,05045,16.799999999999997,11.0,31.3,0.0,16.799999999999997,16.799999999999997
2020-09-20,AR,05045,17.200000000000003,13.1,30.0,0.0,17.200000000000003,17.200000000000003
2020-09-27,AR,05045,13.0,11.4,28.6,0.0,13.0,13.0
2020-10-04,AR,05045,17.0,17.7,32.3,0.0,19.0,17.0
2020-10-11,AR,05045,20.4,19.1,31.4,0.0,20.4,20.4
2020-10-18,AR,05045,21.4,20.1,31.200000000000003,0.0,21.4,21.4
2020-10-25,AR,05045,25.6,24.0,30.599999999999998,0.0,25.6,25.6
2020-11-01,AR,05045,28.1,26.799999999999997,29.799999999999997,0.0,28.1,28.1
2020-11-08,AR,05045,30.3,30.0,33.6,0.0,30.3,30.3
2020-11-15,AR,05045,33.0,33.0,33.4,0.0,33.0,33.0
2020-11-22,AR,05045,39.8,39.6,34.9,0.0,39.8,39.8
2020-11-29,AR,05045,46.2,46.2,34.6,0.0,46.2,46.2
2020-12-06,AR,05045,40.3,40.3,35.4,0.0,40.3,40.3
2020-12-13,AR,05045,52.2,52.0,35.0,0.0,52.2,52.2
2020-12-20,AR,05045,57.099999999999994,57.0,35.3,0.0,57.099999999999994,57.099999999999994
2020-12-27,AR,05045,57.5,57.5,35.6,0.0,57.5,57.5
2021-01-03,AR,05045,61.199999999999996,61.0,36.7,0.0,61.199999999999996,61.199999999999996
2021-01-10,AR,05045,59.1,59.1,37.9,0.0,59.300000000000004,59.1
2021-01-17,AR,05045,50.5,50.5,35.6,0.0,50.5,50.5
2021-01-24,AR,05045,40.7,40.7,34.6,0.0,40.7,40.7
2021-01-31,AR,05045,35.0,35.0,32.6,0.0,35.1,35.0
2021-02-07,AR,05045,37.2,37.0,32.4,0.0,37.3,37.2
2021-02-14,AR,05045,32.0,31.700000000000003,31.700000000000003,0.0,32.0,32.0
2021-02-21,AR,05045,26.9,26.9,30.5,0.0,26.9,26.9
2021-02-28,AR,05045,18.200000000000003,18.200000000000003,28.1,0.0,18.200000000000003,18.200000000000003
2021-03-07,AR,05045,14.1,14.1,30.400000000000002,0.0,14.1,14.1
2021-03-14,AR,05045,9.899999999999999,9.899999999999999,27.0,0.0,9.899999999999999,9.899999999999999
2021-03-21,AR,05045,0,0,26.3,0.0,0,0.0
2021-03-28,AR,05045,0,0,24.1,0.0,0,0.0
2021-04-04,AR,05045,4.3,4.3,21.9,0.0,4.3,4.3
2021-04-11,AR,05045,0,0,21.9,0.0,0,0.0
2021-04-18,AR,05045,0,0,17.0,0.0,0,0.0
2021-04-25,AR,05045,5.3,5.3,14.7,0.0,5.3,5.3
2021-05-02,AR,05045,4.4,0,20.4,0.0,4.4,4.4
2021-05-09,AR,05045,0,0,17.1,0.0,0,0.0
2021-05-16,AR,05045,0,0,22.2,0.0,0,0.0
2021-05-23,AR,05045,4.3,4.3,22.1,0.0,4.3,4.3
2021-05-30,AR,05045,0,0,23.200000000000003,0.0,0,0.0
2021-06-06,AR,05045,0,0,23.5,0.0,0,0.0
2021-06-13,AR,05045,10.2,10.2,24.6,0.0,10.2,10.2
2021-06-20,AR,05045,11.5,11.5,24.900000000000002,0.0,11.5,11.5
2021-06-27,AR,05045,18.8,18.8,24.9,0.0,18.8,18.8
2021-07-04,AR,05045,25.700000000000003,25.700000000000003,27.4,0.0,25.8,25.700000000000003
2021-07-11,AR,05045,33.7,33.7,28.0,0.0,33.7,33.7
2021-07-18,AR,05045,39.4,39.4,28.9,0.0,39.4,39.4
2021-07-25,AR,05045,46.5,46.5,30.099999999999998,0.0,46.5,46.5
2021-08-01,AR,05045,51.4,51.4,33.099999999999994,0.0,51.4,51.4
2021-08-08,AR,05045,63.0,63.0,37.900000000000006,0.0,63.0,63.0
2021-08-15,AR,05045,64.6,64.6,38.7,0.0,64.6,64.6
2021-08-22,AR,05045,64.6,64.6,41.1,0.0,64.6,64.6
2021-08-29,AR,05045,65.3,63.0,42.3,0.0,65.3,65.3
2021-09-05,AR,05045,56.8,56.8,42.599999999999994,0.0,57.0,56.8
2021-09-12,AR,05045,50.3,50.3,41.6,0.0,50.3,50.3
2021-09-19,AR,05045,36.6,36.6,36.9,0.0,36.6,36.6
2021-09-26,AR,05045,30.3,30.3,37.900000000000006,0.0,30.3,30.3
2021-10-03,AR,05045,32.8,32.8,39.900000000000006,0.0,32.8,32.8
2021-10-10,AR,05045,32.0,32.0,38.3,0.0,32.0,32.0
2021-10-17,AR,05045,25.4,25.4,30.599999999999998,0.0,25.4,25.4
2021-10-24,AR,05045,19.1,19.1,26.7,0.0,19.1,19.1
2021-10-31,AR,05045,12.600000000000001,12.600000000000001,27.5,0.0,12.600000000000001,12.600000000000001
2021-11-07,AR,05045,13.399999999999999,13.399999999999999,31.0,0.0,13.399999999999999,13.399999999999999
2021-11-14,AR,05045,10.9,10.9,29.0,0.0,10.9,10.9
2021-11-21,AR,05045,10.7,10.7,29.799999999999997,0.0,10.7,10.7
2021-11-28,AR,05045,17.6,17.6,33.400000000000006,0.0,17.6,17.6
2021-12-05,AR,05045,25.6,25.6,32.8,0.0,25.6,25.6
2021-12-12,AR,05045,28.200000000000003,27.9,31.5,0.0,28.200000000000003,28.200000000000003
2021-12-19,AR,05045,23.5,23.5,31.5,0.0,23.5,23.5
2021-12-26,AR,05045,30.799999999999997,30.799999999999997,32.7,0.0,30.799999999999997,30.799999999999997
