collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05051,34.900000000000006,31.6,41.7,0.0,34.900000000000006,34.900000000000006
2020-08-09,AR,05051,26.5,21.6,43.2,0.0,26.700000000000003,26.5
2020-08-16,AR,05051,31.5,27.9,40.3,0.0,31.5,31.5
2020-08-23,AR,05051,27.5,25.0,34.8,0.0,28.1,27.5
2020-08-30,AR,05051,24.3,22.5,40.7,0.0,24.3,24.3
2020-09-06,AR,05051,24.5,21.4,40.0,0.0,24.5,24.5
2020-09-13,AR,05051,19.4,17.4,41.7,0.0,19.4,19.4
2020-09-20,AR,05051,21.0,19.7,43.0,0.0,21.0,21.0
2020-09-27,AR,05051,24.1,21.4,42.900000000000006,0.0,24.1,24.1
2020-10-04,AR,05051,26.3,24.299999999999997,42.5,0.0,26.3,26.3
2020-10-11,AR,05051,28.0,26.7,44.5,0.0,28.3,28.0
2020-10-18,AR,05051,30.3,28.4,43.3,0.0,30.3,30.3
2020-10-25,AR,05051,25.5,24.5,44.7,0.0,25.5,25.5
2020-11-01,AR,05051,32.3,31.799999999999997,40.6,0.0,32.7,32.3
2020-11-08,AR,05051,41.3,35.7,40.400000000000006,0.0,41.3,41.3
2020-11-15,AR,05051,41.5,35.0,43.2,0.0,41.5,41.5
2020-11-22,AR,05051,51.3,47.3,41.3,0.0,51.3,51.3
2020-11-29,AR,05051,49.099999999999994,48.0,42.099999999999994,0.0,49.099999999999994,49.099999999999994
2020-12-06,AR,05051,47.6,46.0,41.7,0.0,47.6,47.6
2020-12-13,AR,05051,46.7,43.7,35.6,0.0,46.7,46.7
2020-12-20,AR,05051,54.300000000000004,52.800000000000004,37.5,0.0,54.300000000000004,54.300000000000004
2020-12-27,AR,05051,66.69999999999999,63.0,32.3,0.0,66.69999999999999,66.69999999999999
2021-01-03,AR,05051,77.0,74.30000000000001,37.0,0.0,77.0,77.0
2021-01-10,AR,05051,79.19999999999999,72.2,33.3,0.0,79.19999999999999,79.19999999999999
2021-01-17,AR,05051,61.8,59.8,37.6,0.0,61.8,61.8
2021-01-24,AR,05051,48.5,44.0,34.9,0.0,48.5,48.5
2021-01-31,AR,05051,55.0,48.6,32.3,0.0,55.0,55.0
2021-02-07,AR,05051,59.1,52.7,36.0,0.0,59.1,59.1
2021-02-14,AR,05051,55.599999999999994,48.300000000000004,36.3,0.0,55.599999999999994,55.599999999999994
2021-02-21,AR,05051,56.8,47.0,39.8,0.0,56.8,56.8
2021-02-28,AR,05051,32.6,27.4,34.9,0.0,32.6,32.6
2021-03-07,AR,05051,16.0,5.6,33.9,0.0,16.0,16.0
2021-03-14,AR,05051,12.5,4.6,32.900000000000006,0.0,12.5,12.5
2021-03-21,AR,05051,0.0,0.0,33.3,0.0,0.0,0.0
2021-03-28,AR,05051,0.0,0.0,30.0,0.0,0.0,0.0
2021-04-04,AR,05051,0.0,0.0,28.700000000000003,0.0,0.0,0.0
2021-04-11,AR,05051,0.0,0.0,31.700000000000003,0.0,0.0,0.0
2021-04-18,AR,05051,0.0,0.0,31.599999999999998,0.0,0.0,0.0
2021-04-25,AR,05051,0.0,0.0,33.099999999999994,0.0,0.0,0.0
2021-05-02,AR,05051,5.0,5.0,34.4,0.0,5.0,5.0
2021-05-09,AR,05051,0.0,0.0,31.200000000000003,0.0,0.0,0.0
2021-05-16,AR,05051,0.0,0.0,35.2,0.0,0.0,0.0
2021-05-23,AR,05051,7.4,7.4,38.599999999999994,0.0,7.4,7.4
2021-05-30,AR,05051,16.299999999999997,14.399999999999999,34.2,0.0,16.299999999999997,16.299999999999997
2021-06-06,AR,05051,10.0,9.9,39.5,0.0,10.0,10.0
2021-06-13,AR,05051,7.9,7.9,38.4,0.0,7.9,7.9
2021-06-20,AR,05051,9.4,9.4,39.0,0.0,9.4,9.4
2021-06-27,AR,05051,14.0,12.2,36.3,0.0,14.0,14.0
2021-07-04,AR,05051,21.2,17.8,32.9,0.0,21.2,21.2
2021-07-11,AR,05051,35.2,32.5,36.5,0.0,35.2,35.2
2021-07-18,AR,05051,53.7,51.3,39.4,0.0,53.7,53.7
2021-07-25,AR,05051,66.0,62.0,40.5,0.0,66.0,66.0
2021-08-01,AR,05051,91.5,85.1,40.7,0.0,91.5,91.5
2021-08-08,AR,05051,104.1,100.0,45.5,0.0,104.1,104.1
2021-08-15,AR,05051,101.0,96.9,44.400000000000006,0.0,101.0,101.0
2021-08-22,AR,05051,97.2,91.1,43.7,0.0,97.2,97.2
2021-08-29,AR,05051,79.3,72.3,46.599999999999994,0.0,79.3,79.3
2021-09-05,AR,05051,74.2,69.6,44.6,0.0,74.2,74.2
2021-09-12,AR,05051,68.1,61.9,45.400000000000006,0.0,68.1,68.1
2021-09-19,AR,05051,48.9,42.099999999999994,38.4,0.0,48.9,48.9
2021-09-26,AR,05051,45.3,40.2,41.4,0.0,45.3,45.3
2021-10-03,AR,05051,42.7,41.400000000000006,37.8,0.0,42.7,42.7
2021-10-10,AR,05051,33.8,30.299999999999997,35.7,0.0,33.8,33.8
2021-10-17,AR,05051,23.3,22.4,35.5,0.0,23.3,23.3
2021-10-24,AR,05051,26.0,21.700000000000003,32.6,0.0,26.0,26.0
2021-10-31,AR,05051,23.5,20.9,28.3,0.0,23.5,23.5
2021-11-07,AR,05051,18.200000000000003,17.200000000000003,26.9,0.0,18.200000000000003,18.200000000000003
2021-11-14,AR,05051,17.6,14.9,28.900000000000002,0.0,17.6,17.6
2021-11-21,AR,05051,20.7,16.5,23.799999999999997,0.0,20.7,20.7
2021-11-28,AR,05051,18.3,14.0,33.0,0.0,18.3,18.3
2021-12-05,AR,05051,17.0,14.3,25.2,0.0,17.0,17.0
2021-12-12,AR,05051,23.9,23.0,28.3,0.0,23.9,23.9
2021-12-19,AR,05051,25.9,25.9,22.5,0.0,25.9,25.9
2021-12-26,AR,05051,30.700000000000003,29.299999999999997,29.2,0.0,30.700000000000003,30.700000000000003
