collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05131,52.0,46.2,60.2,0.0,52.0,52.0
2020-08-09,AR,05131,52.7,47.0,59.1,0.0,52.900000000000006,52.7
2020-08-16,AR,05131,58.7,52.0,60.2,0.0,58.7,58.7
2020-08-23,AR,05131,55.599999999999994,50.8,62.5,0.0,55.599999999999994,55.599999999999994
2020-08-30,AR,05131,46.8,40.400000000000006,53.8,0.0,46.8,46.8
2020-09-06,AR,05131,41.5,37.1,44.7,0.0,41.5,41.5
2020-09-13,AR,05131,46.599999999999994,38.0,56.599999999999994,0.0,46.599999999999994,46.599999999999994
2020-09-20,AR,05131,57.3,47.1,59.9,0.0,57.3,57.3
2020-09-27,AR,05131,70.6,58.599999999999994,61.599999999999994,0.0,71.19999999999999,70.6
2020-10-04,AR,05131,81.3,67.0,60.3,0.0,81.5,81.3
2020-10-11,AR,05131,68.6,52.7,57.599999999999994,4.3,73.1,72.89999999999999
2020-10-18,AR,05131,63.8,47.8,54.3,0.0,64.1,63.8
2020-10-25,AR,05131,66.7,51.7,60.6,0.0,67.3,66.7
2020-11-01,AR,05131,61.1,48.9,57.6,0.0,61.3,61.1
2020-11-08,AR,05131,66.3,55.7,62.7,0.0,66.3,66.3
2020-11-15,AR,05131,88.0,77.6,55.1,0.0,88.0,88.0
2020-11-22,AR,05131,91.6,79.7,61.6,0.0,92.2,91.6
2020-11-29,AR,05131,88.9,77.6,63.0,0.0,89.0,88.9
2020-12-06,AR,05131,89.9,78.19999999999999,66.5,0.0,90.2,89.9
2020-12-13,AR,05131,104.30000000000001,91.5,57.400000000000006,0.0,104.30000000000001,104.30000000000001
2020-12-20,AR,05131,110.1,96.1,53.0,0.0,110.4,110.1
2020-12-27,AR,05131,121.9,104.69999999999999,48.3,0.0,122.19999999999999,121.9
2021-01-03,AR,05131,147.7,132.7,59.099999999999994,0.0,148.4,147.7
2021-01-10,AR,05131,146.7,136.8,73.0,0.0,147.39999999999998,146.7
2021-01-17,AR,05131,140.6,127.0,73.3,0.0,141.3,140.6
2021-01-24,AR,05131,122.3,107.89999999999999,70.4,0.0,122.99999999999999,122.3
2021-01-31,AR,05131,107.4,93.30000000000001,68.7,0.0,107.7,107.4
2021-02-07,AR,05131,87.3,73.3,70.7,0.0,87.5,87.3
2021-02-14,AR,05131,69.1,57.4,68.8,0.0,69.6,69.1
2021-02-21,AR,05131,63.2,47.400000000000006,74.5,0.0,63.5,63.2
2021-02-28,AR,05131,55.9,39.5,59.699999999999996,0.0,56.0,55.9
2021-03-07,AR,05131,43.0,26.3,63.8,0.0,43.400000000000006,43.0
2021-03-14,AR,05131,30.0,20.299999999999997,56.3,0.0,30.599999999999998,30.0
2021-03-21,AR,05131,18.299999999999997,10.5,51.2,0.0,18.6,18.299999999999997
2021-03-28,AR,05131,15.7,4.7,52.2,0.0,16.0,15.7
2021-04-04,AR,05131,22.5,10.899999999999999,55.8,0.0,22.9,22.5
2021-04-11,AR,05131,13.4,0.0,50.599999999999994,0.0,13.6,13.4
2021-04-18,AR,05131,11.4,5.4,50.4,0.0,11.4,11.4
2021-04-25,AR,05131,12.3,0.0,48.5,0.0,12.9,12.3
2021-05-02,AR,05131,10.1,0.0,55.300000000000004,0.0,10.6,10.1
2021-05-09,AR,05131,11.6,0.0,52.2,0.0,11.9,11.6
2021-05-16,AR,05131,16.6,4.0,56.6,0.0,16.9,16.6
2021-05-23,AR,05131,14.4,4.6,50.0,0.0,14.7,14.4
2021-05-30,AR,05131,15.1,8.399999999999999,46.9,0.0,15.1,15.1
2021-06-06,AR,05131,13.5,5.1,49.4,0.0,14.1,13.5
2021-06-13,AR,05131,19.7,14.3,49.5,0.0,19.9,19.7
2021-06-20,AR,05131,23.1,15.9,53.7,0.0,23.2,23.1
2021-06-27,AR,05131,33.0,23.700000000000003,48.4,0.0,33.2,33.0
2021-07-04,AR,05131,41.0,32.0,53.2,0.0,41.2,41.0
2021-07-11,AR,05131,57.6,46.5,49.2,0.0,58.300000000000004,57.6
2021-07-18,AR,05131,63.9,56.0,50.8,0.0,64.89999999999999,63.9
2021-07-25,AR,05131,73.8,61.4,52.400000000000006,0.0,74.3,73.8
2021-08-01,AR,05131,91.4,82.2,51.3,0.0,91.80000000000001,91.4
2021-08-08,AR,05131,114.5,103.79999999999998,56.7,0.0,115.1,114.5
2021-08-15,AR,05131,146.20000000000002,135.3,61.0,0.0,147.4,146.20000000000002
2021-08-22,AR,05131,146.20000000000002,135.60000000000002,75.69999999999999,0.0,147.70000000000002,146.20000000000002
2021-08-29,AR,05131,149.20000000000002,134.9,77.9,0.0,150.9,149.20000000000002
2021-09-05,AR,05131,145.4,132.3,80.1,0.0,147.1,145.4
2021-09-12,AR,05131,134.79999999999998,121.1,82.0,0.0,135.5,134.79999999999998
2021-09-19,AR,05131,131.3,120.1,81.9,0.0,132.4,131.3
2021-09-26,AR,05131,112.60000000000001,101.4,73.4,0.0,112.80000000000001,112.60000000000001
2021-10-03,AR,05131,100.4,90.0,68.5,0.0,100.69999999999999,100.4
