collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AR,05143,31.3,22.3,47.8,0.0,31.3,31.3
2020-08-09,AR,05143,23.099999999999998,18.0,44.300000000000004,0.0,23.299999999999997,23.099999999999998
2020-08-16,AR,05143,23.0,13.4,47.2,0.0,23.0,23.0
2020-08-23,AR,05143,25.1,11.4,56.5,0.0,25.1,25.1
2020-08-30,AR,05143,34.3,23.4,70.3,0.0,34.5,34.3
2020-09-06,AR,05143,22.7,16.200000000000003,63.5,0.0,22.9,22.7
2020-09-13,AR,05143,38.5,27.700000000000003,62.2,0.0,38.599999999999994,38.5
2020-09-20,AR,05143,37.6,26.8,64.4,0.0,38.0,37.6
2020-09-27,AR,05143,37.900000000000006,29.0,63.0,0.0,38.0,37.900000000000006
2020-10-04,AR,05143,39.7,32.2,62.599999999999994,0.0,39.7,39.7
2020-10-11,AR,05143,43.7,36.1,61.800000000000004,0.0,44.1,43.7
2020-10-18,AR,05143,43.7,35.0,64.0,0.0,45.2,43.7
2020-10-25,AR,05143,40.3,31.299999999999997,59.9,0.0,40.3,40.3
2020-11-01,AR,05143,43.3,22.6,64.2,0.0,43.6,43.3
2020-11-08,AR,05143,47.5,31.4,66.0,0.0,47.7,47.5
2020-11-15,AR,05143,52.0,38.1,63.6,0.0,52.0,52.0
2020-11-22,AR,05143,56.199999999999996,40.3,62.7,0.0,56.199999999999996,56.199999999999996
2020-11-29,AR,05143,62.3,38.3,63.1,0.0,62.599999999999994,62.3
2020-12-06,AR,05143,68.4,40.1,70.2,0.0,68.4,68.4
2020-12-13,AR,05143,65.6,44.3,70.0,0.0,65.6,65.6
2020-12-20,AR,05143,66.4,46.4,66.0,0.0,66.4,66.4
2020-12-27,AR,05143,66.4,45.0,70.5,0.0,66.4,66.4
2021-01-03,AR,05143,75.30000000000001,47.7,72.4,0.0,75.30000000000001,75.30000000000001
2021-01-10,AR,05143,80.80000000000001,48.7,76.9,0.0,80.80000000000001,80.80000000000001
2021-01-17,AR,05143,80.0,47.1,80.3,0.0,80.0,80.0
2021-01-24,AR,05143,59.3,32.6,67.9,0.0,59.3,59.3
2021-01-31,AR,05143,37.9,19.0,67.0,0.0,37.9,37.9
2021-02-07,AR,05143,34.3,17.6,71.0,0.0,34.3,34.3
2021-02-14,AR,05143,33.7,18.1,68.0,0.0,33.7,33.7
2021-02-21,AR,05143,29.0,12.6,67.4,0.0,29.0,29.0
2021-02-28,AR,05143,17.4,8.0,54.2,0.0,17.4,17.4
2021-03-07,AR,05143,6.1,6.1,49.3,0.0,6.1,6.1
2021-03-14,AR,05143,0.0,0.0,53.2,0.0,0.0,0.0
2021-03-21,AR,05143,0.0,0.0,49.3,0.0,0.0,0.0
2021-03-28,AR,05143,8.399999999999999,4.1,53.0,0.0,8.399999999999999,8.399999999999999
2021-04-04,AR,05143,10.6,5.1,53.3,0.0,10.6,10.6
2021-04-11,AR,05143,8.6,4.6,58.0,0.0,8.6,8.6
2021-04-18,AR,05143,13.3,6.3,50.599999999999994,0.0,13.3,13.3
2021-04-25,AR,05143,12.4,4.7,53.900000000000006,0.0,12.7,12.4
2021-05-02,AR,05143,8.3,0.0,59.0,0.0,8.3,8.3
2021-05-09,AR,05143,5.3,0.0,54.8,0.0,5.3,5.3
2021-05-16,AR,05143,5.7,0.0,49.0,0.0,5.7,5.7
2021-05-23,AR,05143,11.3,4.7,52.8,0.0,11.3,11.3
2021-05-30,AR,05143,0.0,0.0,49.2,0.0,0.0,0.0
2021-06-06,AR,05143,5.9,5.9,56.7,0.0,5.9,5.9
2021-06-13,AR,05143,14.9,7.9,62.0,0.0,14.9,14.9
2021-06-20,AR,05143,18.299999999999997,9.6,62.4,0.0,18.299999999999997,18.299999999999997
2021-06-27,AR,05143,20.0,12.3,57.6,0.0,20.0,20.0
2021-07-04,AR,05143,22.6,22.6,56.5,0.0,22.6,22.6
2021-07-11,AR,05143,32.0,31.5,58.6,0.0,32.0,32.0
2021-07-18,AR,05143,40.1,38.7,57.8,0.0,40.1,40.1
2021-07-25,AR,05143,63.1,58.400000000000006,65.3,0.0,63.1,63.1
2021-08-01,AR,05143,73.0,63.2,73.0,0.0,73.0,73.0
2021-08-08,AR,05143,80.1,71.8,67.9,0.0,80.1,80.1
2021-08-15,AR,05143,83.7,80.2,79.0,0.0,83.7,83.7
2021-08-22,AR,05143,76.3,76.1,76.0,0.0,76.3,76.3
2021-08-29,AR,05143,69.5,69.5,83.0,0.0,69.5,69.5
2021-09-05,AR,05143,65.8,65.8,85.4,0.0,66.3,65.8
2021-09-12,AR,05143,57.3,57.3,81.6,0.0,57.599999999999994,57.3
2021-09-19,AR,05143,47.3,47.3,80.9,0.0,47.3,47.3
2021-09-26,AR,05143,37.0,37.0,69.7,0.0,37.0,37.0
2021-10-03,AR,05143,34.7,34.7,71.5,0.0,34.7,34.7
2021-10-10,AR,05143,35.9,35.9,70.0,0.0,35.9,35.9
2021-10-17,AR,05143,28.4,28.4,67.0,0.0,28.4,28.4
2021-10-24,AR,05143,20.3,20.200000000000003,66.0,0.0,20.3,20.3
2021-10-31,AR,05143,13.399999999999999,13.399999999999999,60.6,0.0,13.399999999999999,13.399999999999999
2021-11-07,AR,05143,13.6,13.6,60.4,0.0,13.6,13.6
2021-11-14,AR,05143,19.4,19.4,61.5,0.0,19.4,19.4
2021-11-21,AR,05143,24.4,24.4,57.5,0.0,24.4,24.4
2021-11-28,AR,05143,28.2,28.0,61.599999999999994,0.0,28.2,28.2
2021-12-05,AR,05143,34.7,34.7,72.9,0.0,34.7,34.7
2021-12-12,AR,05143,42.5,41.3,70.5,0.0,42.5,42.5
2021-12-19,AR,05143,36.7,36.7,67.0,0.0,36.7,36.7
2021-12-26,AR,05143,37.2,37.2,65.1,0.0,37.2,37.2
