collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AZ,04009,4.8,9.7,4.3,0.0,4.8,4.8
2020-08-09,AZ,04009,5.2,10.0,0,0.0,5.2,5.2
2020-08-16,AZ,04009,0,0,0,0.0,0,0.0
2020-08-23,AZ,04009,0,0,0,0.0,0,0.0
2020-08-30,AZ,04009,0,0,0,0.0,0,0.0
2020-09-06,AZ,04009,0,0,0,0.0,0,0.0
2020-09-13,AZ,04009,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,AZ,04009,0.0,0.0,0,0.0,0.0,0.0
2020-09-27,AZ,04009,0,0,0,0.0,0,0.0
2020-10-04,AZ,04009,0,0,0,0.0,0,0.0
2020-10-11,AZ,04009,0,0,0,0.0,0,0.0
2020-10-18,AZ,04009,0,0,0,0.0,0,0.0
2020-10-25,AZ,04009,0,0,0,0.0,0,0.0
2020-11-01,AZ,04009,7.0,6.7,0,0.0,7.0,7.0
2020-11-08,AZ,04009,9.4,8.7,4.7,0.0,9.4,9.4
2020-11-15,AZ,04009,10.1,9.9,0,0.0,10.1,10.1
2020-11-22,AZ,04009,12.3,11.9,0,0.0,12.3,12.3
2020-11-29,AZ,04009,15.1,14.9,4.6,0.0,15.1,15.1
2020-12-06,AZ,04009,15.6,15.0,5.0,0.0,15.6,15.6
2020-12-13,AZ,04009,12.4,12.4,4.9,0.0,12.4,12.4
2020-12-20,AZ,04009,11.1,11.1,4.1,0.0,11.1,11.1
2020-12-27,AZ,04009,16.3,16.3,4.4,0.0,16.3,16.3
2021-01-03,AZ,04009,16.6,16.3,5.3,0.0,16.6,16.6
2021-01-10,AZ,04009,15.9,15.9,5.7,0.0,15.9,15.9
2021-01-17,AZ,04009,14.0,13.9,0,0.0,14.0,14.0
2021-01-24,AZ,04009,9.6,9.6,5.3,0.0,9.6,9.6
2021-01-31,AZ,04009,7.4,7.3,4.3,0.0,7.4,7.4
2021-02-07,AZ,04009,7.3,7.3,0,0.0,7.3,7.3
2021-02-14,AZ,04009,0,0,0,0.0,0,0.0
2021-02-21,AZ,04009,0,0,0,0.0,0,0.0
2021-02-28,AZ,04009,0,0,0,0.0,0,0.0
2021-03-07,AZ,04009,0,0,0,0.0,0,0.0
2021-03-14,AZ,04009,0,0,0,0.0,0,0.0
2021-03-21,AZ,04009,0,0,0,0.0,0,0.0
2021-03-28,AZ,04009,0,0,0,0.0,0,0.0
2021-04-04,AZ,04009,0,0,0,0.0,0,0.0
2021-04-11,AZ,04009,0,0,0,0.0,0,0.0
2021-04-18,AZ,04009,0,0,0,0.0,0,0.0
2021-04-25,AZ,04009,0.0,0.0,0,0.0,0.0,0.0
2021-05-02,AZ,04009,0.0,0.0,0,0.0,0.0,0.0
2021-05-09,AZ,04009,0,0,0,0.0,0,0.0
2021-05-16,AZ,04009,0,0,0,0.0,0,0.0
2021-05-23,AZ,04009,0,0,0,0.0,0,0.0
2021-05-30,AZ,04009,0,0,0,0.0,0,0.0
2021-06-06,AZ,04009,0,0,0,0.0,0,0.0
2021-06-13,AZ,04009,0,0,0,0.0,0,0.0
2021-06-20,AZ,04009,0,0,0,0.0,0,0.0
2021-06-27,AZ,04009,0,0,0,0.0,0,0.0
2021-07-04,AZ,04009,0,0,0,0.0,0,0.0
2021-07-11,AZ,04009,0,0,0,0.0,0,0.0
2021-07-18,AZ,04009,0,0,0,0.0,0,0.0
2021-07-25,AZ,04009,4.0,4.0,0,0.0,4.0,4.0
2021-08-01,AZ,04009,4.0,4.0,0,0.0,4.0,4.0
2021-08-08,AZ,04009,0,0,0,0.0,0,0.0
2021-08-15,AZ,04009,6.6,6.6,0,0.0,6.6,6.6
2021-08-22,AZ,04009,11.3,11.3,0,0.0,11.3,11.3
2021-08-29,AZ,04009,14.0,13.9,4.7,0.0,14.0,14.0
2021-09-05,AZ,04009,12.6,12.6,4.0,0.0,12.6,12.6
2021-09-12,AZ,04009,12.1,12.1,0,0.0,12.1,12.1
2021-09-19,AZ,04009,8.4,8.4,0,0.0,8.4,8.4
2021-09-26,AZ,04009,8.7,8.7,0,0.0,8.7,8.7
2021-10-03,AZ,04009,4.8,4.8,0,0.0,4.8,4.8
2021-10-10,AZ,04009,6.9,6.6,0,0.0,6.9,6.9
2021-10-17,AZ,04009,12.7,12.7,5.0,0.0,12.7,12.7
2021-10-24,AZ,04009,10.8,10.8,0,0.0,10.8,10.8
2021-10-31,AZ,04009,12.4,12.4,4.4,0.0,12.4,12.4
2021-11-07,AZ,04009,10.9,9.4,0,0.0,10.9,10.9
2021-11-14,AZ,04009,14.9,13.1,0,0.0,14.9,14.9
2021-11-21,AZ,04009,19.7,19.7,4.6,0.0,19.7,19.7
2021-11-28,AZ,04009,17.9,17.6,0,0,18.0,17.9
2021-12-05,AZ,04009,18.1,18.1,4.1,0.0,18.1,18.1
2021-12-12,AZ,04009,11.9,11.9,0,0.0,11.9,11.9
2021-12-19,AZ,04009,11.4,11.4,0,0.0,11.4,11.4
2021-12-26,AZ,04009,7.7,7.4,0,0.0,7.7,7.7
