collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AZ,04015,29.2,44.3,22.3,0.0,30.0,29.2
2020-08-09,AZ,04015,24.3,34.900000000000006,21.7,0.0,24.3,24.3
2020-08-16,AZ,04015,19.3,27.6,18.7,0.0,20.5,19.3
2020-08-23,AZ,04015,14.200000000000001,15.4,19.6,0.0,14.6,14.200000000000001
2020-08-30,AZ,04015,9.2,13.299999999999999,29.9,0.0,9.100000000000001,9.2
2020-09-06,AZ,04015,4.1,0.0,38.8,0.0,7.0,4.1
2020-09-13,AZ,04015,0,0.0,35.1,0.0,0,0.0
2020-09-20,AZ,04015,4.7,0.0,38.900000000000006,0.0,4.7,4.7
2020-09-27,AZ,04015,9.9,4.9,36.7,0.0,9.9,9.9
2020-10-04,AZ,04015,10.2,5.6,41.400000000000006,0.0,10.2,10.2
2020-10-11,AZ,04015,10.600000000000001,8.899999999999999,40.099999999999994,0.0,10.600000000000001,10.600000000000001
2020-10-18,AZ,04015,6.0,6.0,37.5,0.0,6.0,6.0
2020-10-25,AZ,04015,12.700000000000001,11.3,42.2,0.0,12.700000000000001,12.700000000000001
2020-11-01,AZ,04015,30.5,22.1,43.800000000000004,0.0,30.5,30.5
2020-11-08,AZ,04015,48.0,36.0,43.699999999999996,0.0,48.0,48.0
2020-11-15,AZ,04015,53.199999999999996,38.6,43.800000000000004,0.0,53.199999999999996,53.199999999999996
2020-11-22,AZ,04015,62.0,47.4,44.699999999999996,0.0,62.3,62.0
2020-11-29,AZ,04015,81.4,58.7,48.300000000000004,0.0,81.4,81.4
2020-12-06,AZ,04015,119.5,94.1,46.8,0.0,119.5,119.5
2020-12-13,AZ,04015,137.5,106.9,50.6,0.0,137.5,137.5
2020-12-20,AZ,04015,133.2,107.60000000000001,44.0,0.0,133.4,133.2
2020-12-27,AZ,04015,153.0,119.39999999999999,48.199999999999996,0.0,153.3,153.0
2021-01-03,AZ,04015,174.0,132.8,49.4,0.0,174.20000000000002,174.0
2021-01-10,AZ,04015,175.3,134.70000000000002,54.1,0.0,175.5,175.3
2021-01-17,AZ,04015,168.20000000000002,130.6,53.2,0.0,168.20000000000002,168.20000000000002
2021-01-24,AZ,04015,138.7,117.0,56.0,0.0,138.99999999999997,138.7
2021-01-31,AZ,04015,113.4,99.10000000000001,62.9,0.0,113.4,113.4
2021-02-07,AZ,04015,84.1,64.6,57.3,0.0,84.1,84.1
2021-02-14,AZ,04015,56.7,45.7,57.1,0.0,56.7,56.7
2021-02-21,AZ,04015,47.9,36.9,51.3,0.0,47.9,47.9
2021-02-28,AZ,04015,50.1,31.8,55.199999999999996,0.0,50.1,50.1
2021-03-07,AZ,04015,37.9,28.4,48.6,0.0,37.9,37.9
2021-03-14,AZ,04015,29.700000000000003,25.3,45.3,0.0,29.700000000000003,29.700000000000003
2021-03-21,AZ,04015,32.0,24.8,49.9,0.0,32.0,32.0
2021-03-28,AZ,04015,28.5,18.799999999999997,47.3,0.0,28.5,28.5
2021-04-04,AZ,04015,25.0,16.799999999999997,44.3,0.0,25.0,25.0
2021-04-11,AZ,04015,21.5,13.600000000000001,39.3,0.0,21.5,21.5
2021-04-18,AZ,04015,19.7,10.100000000000001,43.7,0.0,20.4,19.7
2021-04-25,AZ,04015,19.299999999999997,6.1,43.3,0.0,19.299999999999997,19.299999999999997
2021-05-02,AZ,04015,18.4,6.0,44.2,0.0,18.4,18.4
2021-05-09,AZ,04015,10.5,4.0,37.0,0.0,10.5,10.5
2021-05-16,AZ,04015,4.7,4.7,36.2,0.0,4.7,4.7
2021-05-23,AZ,04015,4.3,4.3,31.8,0.0,4.3,4.3
2021-05-30,AZ,04015,16.7,10.4,32.699999999999996,0.0,16.7,16.7
2021-06-06,AZ,04015,16.4,9.0,35.4,0.0,16.4,16.4
2021-06-13,AZ,04015,17.2,11.2,33.2,0.0,17.2,17.2
2021-06-20,AZ,04015,17.9,16.0,34.8,0.0,17.9,17.9
2021-06-27,AZ,04015,24.0,23.9,36.3,0.0,24.3,24.0
2021-07-04,AZ,04015,42.2,36.8,39.5,0.0,42.2,42.2
2021-07-11,AZ,04015,51.300000000000004,41.0,40.400000000000006,0.0,51.300000000000004,51.300000000000004
2021-07-18,AZ,04015,58.2,41.4,47.0,0.0,58.2,58.2
2021-07-25,AZ,04015,57.0,52.0,51.39999999999999,0.0,57.0,57.0
2021-08-01,AZ,04015,54.099999999999994,53.699999999999996,44.5,0.0,54.39999999999999,54.099999999999994
2021-08-08,AZ,04015,55.199999999999996,55.199999999999996,44.9,0.0,55.199999999999996,55.199999999999996
2021-08-15,AZ,04015,66.7,66.7,45.0,0.0,66.7,66.7
2021-08-22,AZ,04015,69.10000000000001,64.4,47.8,0.0,69.10000000000001,69.10000000000001
2021-08-29,AZ,04015,81.3,80.69999999999999,48.4,0.0,81.3,81.3
2021-09-05,AZ,04015,75.30000000000001,75.0,45.7,0.0,75.30000000000001,75.30000000000001
2021-09-12,AZ,04015,81.49999999999999,80.6,43.0,0.0,81.49999999999999,81.49999999999999
2021-09-19,AZ,04015,73.5,73.5,49.0,0.0,73.5,73.5
2021-09-26,AZ,04015,81.5,81.5,50.2,0.0,81.5,81.5
2021-10-03,AZ,04015,66.1,66.1,45.300000000000004,0.0,66.1,66.1
2021-10-10,AZ,04015,66.0,64.1,43.8,0.0,66.0,66.0
2021-10-17,AZ,04015,56.8,56.8,43.3,0.0,56.8,56.8
2021-10-24,AZ,04015,61.2,61.2,44.6,0.0,61.2,61.2
2021-10-31,AZ,04015,72.3,72.3,51.099999999999994,0.0,72.3,72.3
2021-11-07,AZ,04015,77.2,77.2,53.1,0.0,77.2,77.2
2021-11-14,AZ,04015,80.2,80.2,52.6,0.0,80.2,80.2
2021-11-21,AZ,04015,89.99999999999999,85.69999999999999,52.0,0.0,89.99999999999999,89.99999999999999
2021-11-28,AZ,04015,94.8,94.8,54.099999999999994,0.0,94.8,94.8
2021-12-05,AZ,04015,110.89999999999999,106.6,58.3,0.0,110.89999999999999,110.89999999999999
2021-12-12,AZ,04015,94.4,94.4,55.4,0.0,94.4,94.4
2021-12-19,AZ,04015,79.6,79.6,44.7,0.0,79.6,79.6
2021-12-26,AZ,04015,84.5,84.5,46.8,0.0,84.5,84.5
