collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AZ,04021,36.3,24.1,22.099999999999998,0.0,36.3,36.3
2020-08-09,AZ,04021,33.6,23.0,16.0,0.0,33.6,33.6
2020-08-16,AZ,04021,32.9,23.7,16.0,0.0,32.9,32.9
2020-08-23,AZ,04021,27.200000000000003,17.5,12.4,0.0,27.3,27.200000000000003
2020-08-30,AZ,04021,20.0,9.4,10.1,0.0,20.0,20.0
2020-09-06,AZ,04021,13.899999999999999,6.9,10.0,0.0,13.899999999999999,13.899999999999999
2020-09-13,AZ,04021,14.6,5.6,13.8,0.0,14.7,14.6
2020-09-20,AZ,04021,14.6,4.6,12.5,0.0,14.6,14.6
2020-09-27,AZ,04021,15.5,4.7,8.1,0.0,15.600000000000001,15.5
2020-10-04,AZ,04021,20.5,6.1,9.6,0.0,20.700000000000003,20.5
2020-10-11,AZ,04021,18.9,7.4,14.1,0.0,18.9,18.9
2020-10-18,AZ,04021,16.4,6.0,10.4,0.0,16.5,16.4
2020-10-25,AZ,04021,27.7,16.3,13.1,0.0,25.6,27.7
2020-11-01,AZ,04021,29.200000000000003,22.799999999999997,21.799999999999997,0.0,29.200000000000003,29.200000000000003
2020-11-08,AZ,04021,40.2,29.6,22.099999999999998,0.0,40.2,40.2
2020-11-15,AZ,04021,43.9,34.0,17.9,0.0,43.9,43.9
2020-11-22,AZ,04021,58.1,43.0,19.9,0.0,58.1,58.1
2020-11-29,AZ,04021,73.69999999999999,53.1,33.1,0.0,73.69999999999999,73.69999999999999
2020-12-06,AZ,04021,89.1,64.4,33.7,0.0,89.1,89.1
2020-12-13,AZ,04021,104.0,82.80000000000001,36.3,0.0,104.0,104.0
2020-12-20,AZ,04021,122.8,99.69999999999999,36.2,0.0,122.8,122.8
2020-12-27,AZ,04021,134.6,111.0,35.900000000000006,0.0,134.6,134.6
2021-01-03,AZ,04021,149.0,120.7,37.5,0.0,149.4,149.0
2021-01-10,AZ,04021,156.0,129.4,46.400000000000006,0.0,156.39999999999998,156.0
2021-01-17,AZ,04021,159.5,140.9,44.8,0.0,159.8,159.5
2021-01-24,AZ,04021,146.9,125.6,41.3,0.0,147.1,146.9
2021-01-31,AZ,04021,102.69999999999999,86.1,33.7,0.0,103.4,102.69999999999999
2021-02-07,AZ,04021,94.2,76.6,38.2,0.0,94.3,94.2
2021-02-14,AZ,04021,63.5,50.6,32.0,0.0,63.5,63.5
2021-02-21,AZ,04021,42.8,34.6,23.4,0.0,42.8,42.8
2021-02-28,AZ,04021,30.4,20.7,18.6,0.0,30.4,30.4
2021-03-07,AZ,04021,26.4,14.899999999999999,17.0,0.0,26.6,26.4
2021-03-14,AZ,04021,19.1,12.100000000000001,13.3,0.0,19.1,19.1
2021-03-21,AZ,04021,16.6,7.0,14.0,0.0,16.6,16.6
2021-03-28,AZ,04021,16.4,10.399999999999999,18.3,0.0,16.4,16.4
2021-04-04,AZ,04021,16.5,10.399999999999999,18.8,0.0,17.0,16.5
2021-04-11,AZ,04021,20.6,6.6,17.1,0.0,20.6,20.6
2021-04-18,AZ,04021,10.0,0,9.9,0.0,10.1,10.0
2021-04-25,AZ,04021,16.6,10.0,8.9,0.0,16.6,16.6
2021-05-02,AZ,04021,19.1,11.1,21.9,0.0,19.1,19.1
2021-05-09,AZ,04021,16.3,5.6,11.6,0.0,16.6,16.3
2021-05-16,AZ,04021,16.9,6.6,11.3,0.0,16.9,16.9
2021-05-23,AZ,04021,22.5,15.1,13.3,0.0,22.5,22.5
2021-05-30,AZ,04021,23.700000000000003,15.2,19.0,0.0,23.700000000000003,23.700000000000003
