collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AZ,04025,0,27.3,0.0,0,8.0,0.0
2020-08-09,AZ,04025,0,14.7,0.0,0,4.0,0.0
2020-08-16,AZ,04025,0,16.8,0.0,0,0,0.0
2020-08-23,AZ,04025,0,14.0,0.0,0,4.8,0.0
2020-08-30,AZ,04025,0,13.0,0.0,0,5.2,0.0
2020-09-06,AZ,04025,0,24.0,0.0,0,7.5,0.0
2020-09-13,AZ,04025,0,16.0,0.0,0,5.0,0.0
2020-09-20,AZ,04025,0,8.0,0.0,0,0,0.0
2020-09-27,AZ,04025,6.0,4.0,0.0,0.0,11.7,6.0
2020-10-04,AZ,04025,14.0,11.3,25.3,0.0,20.2,14.0
2020-10-11,AZ,04025,20.5,14.8,33.7,0.0,19.1,20.5
2020-10-18,AZ,04025,17.6,7.6,28.8,0.0,17.6,17.6
2020-10-25,AZ,04025,19.700000000000003,13.799999999999999,31.4,0.0,20.1,19.700000000000003
2020-11-01,AZ,04025,27.0,21.8,31.5,0.0,27.299999999999997,27.0
2020-11-08,AZ,04025,33.3,21.4,31.0,0.0,33.3,33.3
2020-11-15,AZ,04025,41.8,31.799999999999997,31.3,0.0,42.0,41.8
2020-11-22,AZ,04025,60.599999999999994,58.099999999999994,30.6,0.0,60.599999999999994,60.599999999999994
2020-11-29,AZ,04025,82.3,81.0,34.0,0.0,82.3,82.3
2020-12-06,AZ,04025,88.0,87.0,36.9,0.0,88.7,88.0
2020-12-13,AZ,04025,111.10000000000001,110.5,39.0,0.0,111.60000000000001,111.10000000000001
2020-12-20,AZ,04025,125.0,124.19999999999999,51.7,0.0,125.3,125.0
2020-12-27,AZ,04025,115.6,115.3,42.6,0.0,115.7,115.6
2021-01-03,AZ,04025,124.30000000000001,123.39999999999999,45.0,0.0,124.30000000000001,124.30000000000001
2021-01-10,AZ,04025,115.89999999999999,115.0,46.3,0.0,116.2,115.89999999999999
2021-01-17,AZ,04025,106.5,106.19999999999999,47.5,0.0,106.5,106.5
2021-01-24,AZ,04025,87.19999999999999,86.9,43.3,0.0,87.19999999999999,87.19999999999999
2021-01-31,AZ,04025,61.8,59.1,39.5,0.0,61.8,61.8
2021-02-07,AZ,04025,48.4,47.4,32.7,0.0,48.4,48.4
2021-02-14,AZ,04025,31.8,31.200000000000003,29.4,0.0,32.0,31.8
2021-02-21,AZ,04025,28.799999999999997,28.0,27.200000000000003,0.0,28.799999999999997,28.799999999999997
2021-02-28,AZ,04025,19.6,19.3,26.299999999999997,0.0,19.7,19.6
2021-03-07,AZ,04025,12.1,11.9,28.0,0.0,12.1,12.1
2021-03-14,AZ,04025,7.6,6.4,22.299999999999997,0.0,7.6,7.6
2021-03-21,AZ,04025,6.6,6.3,25.400000000000002,0.0,6.7,6.6
2021-03-28,AZ,04025,6.8,6.0,33.3,0.0,6.8,6.8
2021-04-04,AZ,04025,6.0,5.0,31.9,0.0,6.0,6.0
2021-04-11,AZ,04025,11.5,10.5,33.6,0.0,11.5,11.5
2021-04-18,AZ,04025,17.6,15.5,32.8,0.0,17.6,17.6
2021-04-25,AZ,04025,17.8,17.200000000000003,34.4,0.0,17.8,17.8
2021-05-02,AZ,04025,19.1,18.3,30.6,0.0,19.1,19.1
