collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,AZ,04027,59.7,58.0,32.7,0.0,59.7,59.7
2020-08-09,AZ,04027,55.0,53.3,31.9,0.0,55.0,55.0
2020-08-16,AZ,04027,38.4,36.0,28.1,0.0,38.4,38.4
2020-08-23,AZ,04027,27.3,25.3,25.3,0.0,27.3,27.3
2020-08-30,AZ,04027,18.7,17.4,33.5,0.0,18.7,18.7
2020-09-06,AZ,04027,15.6,11.9,26.0,0.0,20.3,15.6
2020-09-13,AZ,04027,9.6,9.6,23.3,0.0,19.1,9.6
2020-09-20,AZ,04027,8.4,8.4,19.7,5.0,17.0,13.4
2020-09-27,AZ,04027,8.3,7.6,16.7,0.0,13.3,8.3
2020-10-04,AZ,04027,16.4,15.9,18.7,0.0,16.4,16.4
2020-10-11,AZ,04027,24.3,22.9,25.9,0.0,24.3,24.3
2020-10-18,AZ,04027,29.4,28.1,29.4,0.0,29.4,29.4
2020-10-25,AZ,04027,28.1,26.6,29.0,0.0,28.1,28.1
2020-11-01,AZ,04027,34.6,33.7,33.6,0.0,34.6,34.6
2020-11-08,AZ,04027,55.3,53.1,31.1,0.0,55.3,55.3
2020-11-15,AZ,04027,75.3,73.7,28.6,0.0,75.3,75.3
2020-11-22,AZ,04027,110.9,109.6,25.7,0.0,110.9,110.9
2020-11-29,AZ,04027,122.9,119.1,24.1,0.0,122.9,122.9
2020-12-06,AZ,04027,146.6,144.7,31.4,0.0,146.6,146.6
2020-12-13,AZ,04027,163.3,161.6,32.4,0.0,163.3,163.3
2020-12-20,AZ,04027,156.3,154.0,28.1,0.0,156.3,156.3
2020-12-27,AZ,04027,137.6,135.3,30.3,0.0,137.6,137.6
2021-01-03,AZ,04027,120.1,116.7,29.0,0.0,120.1,120.1
2021-01-10,AZ,04027,123.4,120.7,37.0,0.0,123.4,123.4
2021-01-17,AZ,04027,111.9,109.9,36.0,0.0,111.9,111.9
2021-01-24,AZ,04027,100.4,98.0,42.6,0.0,100.4,100.4
2021-01-31,AZ,04027,85.6,84.0,42.7,0.0,85.6,85.6
2021-02-07,AZ,04027,66.4,64.9,38.0,0.0,66.4,66.4
2021-02-14,AZ,04027,41.7,40.0,28.7,0.0,41.7,41.7
2021-02-21,AZ,04027,36.7,35.7,27.6,0.0,36.7,36.7
