collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06001,237.4,186.99999999999997,177.1,0.0,240.2,237.4
2020-08-09,CA,06001,212.5,169.3,185.9,0.0,214.29999999999998,212.5
2020-08-16,CA,06001,255.39999999999998,204.89999999999998,194.5,4.6,260.5,260.0
2020-08-23,CA,06001,233.29999999999998,189.2,195.60000000000002,0.0,235.6,233.29999999999998
2020-08-30,CA,06001,206.6,164.99999999999997,162.0,0.0,207.5,206.6
2020-09-06,CA,06001,193.10000000000002,146.89999999999998,168.89999999999995,0.0,194.60000000000002,193.10000000000002
2020-09-13,CA,06001,141.0,100.99999999999999,155.6,0.0,144.4,141.0
2020-09-20,CA,06001,128.5,86.7,160.6,0.0,130.0,128.5
2020-09-27,CA,06001,114.2,77.80000000000001,154.70000000000002,0.0,120.79999999999998,114.2
2020-10-04,CA,06001,97.50000000000001,56.9,145.9,0.0,99.80000000000001,97.50000000000001
2020-10-11,CA,06001,91.0,42.7,128.7,0.0,92.8,91.0
2020-10-18,CA,06001,90.00000000000001,46.7,148.9,0.0,90.6,90.00000000000001
2020-10-25,CA,06001,91.6,51.8,140.5,0.0,93.1,91.6
2020-11-01,CA,06001,96.6,49.4,141.5,0.0,98.89999999999999,96.6
2020-11-08,CA,06001,101.30000000000001,61.0,146.9,0.0,104.9,101.30000000000001
2020-11-15,CA,06001,115.00000000000001,86.5,157.2,0.0,118.00000000000001,115.00000000000001
2020-11-22,CA,06001,172.8,136.6,154.99999999999997,0.0,176.29999999999995,172.8
2020-11-29,CA,06001,230.79999999999998,193.00000000000003,178.09999999999997,0.0,232.39999999999998,230.79999999999998
2020-12-06,CA,06001,291.1,252.90000000000003,191.40000000000003,0.0,294.20000000000005,291.1
2020-12-13,CA,06001,382.79999999999995,341.00000000000006,201.29999999999998,0.0,386.69999999999993,382.79999999999995
2020-12-20,CA,06001,423.59999999999997,387.79999999999995,209.70000000000002,0.0,426.3999999999999,423.59999999999997
2020-12-27,CA,06001,474.79999999999995,438.4,221.70000000000002,0.0,476.7,474.79999999999995
2021-01-03,CA,06001,480.0,430.1000000000001,218.70000000000002,0.0,482.09999999999997,480.0
2021-01-10,CA,06001,473.40000000000003,428.5000000000001,225.0,0.0,475.1000000000001,473.40000000000003
2021-01-17,CA,06001,459.7,420.6,223.4,4.9,467.3,464.59999999999997
2021-01-24,CA,06001,402.09999999999997,364.0,221.40000000000003,0.0,404.19999999999993,402.09999999999997
2021-01-31,CA,06001,336.3,299.3,212.20000000000002,4.1,340.8,340.40000000000003
2021-02-07,CA,06001,275.3,241.0,206.6,0.0,278.8,275.3
2021-02-14,CA,06001,219.0,187.6,193.69999999999996,0.0,222.0,219.0
2021-02-21,CA,06001,189.2,164.3,190.20000000000002,0.0,191.7,189.2
2021-02-28,CA,06001,161.10000000000002,131.7,151.9,0.0,162.5,161.10000000000002
2021-03-07,CA,06001,135.2,111.0,164.6,0.0,137.6,135.2
2021-03-14,CA,06001,123.60000000000001,89.49999999999999,172.5,0.0,124.60000000000001,123.60000000000001
2021-03-21,CA,06001,106.19999999999999,76.7,158.9,0.0,108.39999999999998,106.19999999999999
2021-03-28,CA,06001,104.5,73.0,161.1,0.0,105.8,104.5
2021-04-04,CA,06001,98.4,71.9,153.9,0.0,101.1,98.4
2021-04-11,CA,06001,102.10000000000001,59.49999999999999,150.0,0.0,105.50000000000001,102.10000000000001
2021-04-18,CA,06001,91.5,60.30000000000001,170.4,0.0,93.8,91.5
2021-04-25,CA,06001,108.6,78.49999999999999,160.59999999999997,0.0,110.5,108.6
2021-05-02,CA,06001,87.19999999999999,50.1,147.6,0.0,90.19999999999999,87.19999999999999
2021-05-09,CA,06001,101.30000000000001,65.4,141.2,0.0,104.6,101.30000000000001
2021-05-16,CA,06001,71.6,51.8,145.59999999999997,0.0,73.3,71.6
2021-05-23,CA,06001,56.7,33.3,142.0,0.0,58.099999999999994,56.7
2021-05-30,CA,06001,44.8,21.0,145.79999999999998,0.0,47.6,44.8
2021-06-06,CA,06001,39.0,14.200000000000001,143.10000000000002,0.0,41.0,39.0
2021-06-13,CA,06001,55.300000000000004,24.799999999999997,142.3,0.0,58.50000000000001,55.300000000000004
2021-06-20,CA,06001,60.50000000000001,34.1,135.50000000000003,0.0,61.6,60.50000000000001
2021-06-27,CA,06001,53.300000000000004,33.6,134.5,0.0,54.20000000000001,53.300000000000004
2021-07-04,CA,06001,72.69999999999999,56.8,140.4,0.0,75.6,72.69999999999999
2021-07-11,CA,06001,91.69999999999999,71.4,148.7,0.0,93.59999999999998,91.69999999999999
2021-07-18,CA,06001,131.5,105.69999999999999,139.79999999999998,0.0,134.70000000000002,131.5
2021-07-25,CA,06001,184.40000000000003,155.8,156.6,4.0,188.60000000000002,188.40000000000003
2021-08-01,CA,06001,222.79999999999998,188.8,158.8,0.0,224.99999999999997,222.79999999999998
2021-08-08,CA,06001,240.1,210.8,167.20000000000002,5.0,249.19999999999996,245.1
2021-08-15,CA,06001,232.79999999999998,209.1,178.6,8.4,241.2,241.2
2021-08-22,CA,06001,236.6,215.29999999999998,179.8,6.9,245.7,243.5
2021-08-29,CA,06001,229.6,205.1,166.8,11.0,240.70000000000002,240.6
2021-09-05,CA,06001,219.90000000000003,188.50000000000003,186.20000000000002,4.1,227.20000000000005,224.00000000000003
2021-09-12,CA,06001,186.5,153.2,170.90000000000003,0.0,189.79999999999998,186.5
2021-09-19,CA,06001,182.1,148.29999999999998,172.4,0.0,185.2,182.1
2021-09-26,CA,06001,153.0,121.59999999999998,154.7,0.0,156.3,153.0
2021-10-03,CA,06001,125.4,93.80000000000001,160.2,8.1,133.90000000000003,133.5
2021-10-10,CA,06001,112.7,80.3,158.0,6.9,120.5,119.60000000000001
2021-10-17,CA,06001,112.3,81.89999999999999,154.5,4.7,117.39999999999998,117.0
2021-10-24,CA,06001,106.1,70.5,153.1,0.0,108.69999999999999,106.1
2021-10-31,CA,06001,83.6,46.8,150.39999999999998,6.9,90.5,90.5
2021-11-07,CA,06001,67.10000000000001,34.4,139.49999999999997,0.0,69.9,67.10000000000001
2021-11-14,CA,06001,55.2,25.700000000000003,135.7,0.0,56.10000000000001,55.2
2021-11-21,CA,06001,62.00000000000001,39.199999999999996,140.1,0.0,62.699999999999996,62.00000000000001
2021-11-28,CA,06001,60.3,38.6,134.0,0.0,61.8,60.3
2021-12-05,CA,06001,72.9,42.1,159.5,0.0,73.5,72.9
2021-12-12,CA,06001,88.6,54.5,161.50000000000003,0.0,90.5,88.6
2021-12-19,CA,06001,89.8,66.2,159.20000000000002,0.0,93.0,89.8
2021-12-26,CA,06001,148.2,118.80000000000001,150.20000000000002,0.0,151.0,148.2
