collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06005,7.7,7.3,5.0,0.0,7.7,7.7
2020-08-09,CA,06005,6.8,6.0,0,0.0,6.8,6.8
2020-08-16,CA,06005,4.4,4.0,5.2,0.0,4.4,4.4
2020-08-23,CA,06005,0,0,0,0.0,0,0.0
2020-08-30,CA,06005,0,0,0,0.0,0,0.0
2020-09-06,CA,06005,0,0,0,0.0,0,0.0
2020-09-13,CA,06005,0.0,0.0,0,0.0,0.0,0.0
2020-09-20,CA,06005,0,0,0,0.0,0,0.0
2020-09-27,CA,06005,0,0,0,0.0,0,0.0
2020-10-04,CA,06005,0.0,0.0,0,0.0,0.0,0.0
2020-10-11,CA,06005,0,0,0,0.0,0,0.0
2020-10-18,CA,06005,0,0,0,0.0,0,0.0
2020-10-25,CA,06005,0,0,0,0.0,0,0.0
2020-11-01,CA,06005,0,0,0,0.0,0,0.0
2020-11-08,CA,06005,0,0,0,0.0,0,0.0
2020-11-15,CA,06005,0,0,0,0.0,0,0.0
2020-11-22,CA,06005,0,0,0,0.0,0,0.0
2020-11-29,CA,06005,4.1,0,0,0.0,4.1,4.1
2020-12-06,CA,06005,8.6,8.6,4.4,0.0,8.6,8.6
2020-12-13,CA,06005,12.9,12.9,5.6,0.0,12.9,12.9
2020-12-20,CA,06005,8.9,8.6,5.6,0.0,8.9,8.9
2020-12-27,CA,06005,9.9,9.7,5.9,0.0,9.9,9.9
2021-01-03,CA,06005,9.6,9.1,5.6,0.0,9.6,9.6
2021-01-10,CA,06005,9.9,9.7,6.3,0.0,9.9,9.9
2021-01-17,CA,06005,12.9,12.9,6.7,0.0,12.9,12.9
2021-01-24,CA,06005,11.0,10.7,6.0,0.0,11.0,11.0
2021-01-31,CA,06005,7.6,7.1,4.4,0.0,7.6,7.6
2021-02-07,CA,06005,4.7,4.6,4.4,0.0,4.7,4.7
2021-02-14,CA,06005,7.0,6.4,4.7,0.0,7.0,7.0
2021-02-21,CA,06005,4.3,0,4.4,0.0,4.3,4.3
2021-02-28,CA,06005,0,0,5.0,0.0,0,0.0
2021-03-07,CA,06005,0,0,0,0.0,0,0.0
2021-03-14,CA,06005,0,0,5.3,0.0,0,0.0
2021-03-21,CA,06005,0,0,0,0.0,0,0.0
2021-03-28,CA,06005,0,0,0,0.0,0,0.0
2021-04-04,CA,06005,0,0,0,0.0,0,0.0
2021-04-11,CA,06005,0,0.0,0,0.0,0,0.0
2021-04-18,CA,06005,0,0,0,0.0,0,0.0
2021-04-25,CA,06005,0,0,0,0.0,0,0.0
2021-05-02,CA,06005,0,0,0,0.0,0,0.0
2021-05-09,CA,06005,0,0,4.0,0.0,0,0.0
2021-05-16,CA,06005,0,0,0,0.0,0,0.0
2021-05-23,CA,06005,0,0,4.0,0.0,0,0.0
2021-05-30,CA,06005,0,0,4.4,0.0,0,0.0
2021-06-06,CA,06005,0,0,5.7,0.0,0,0.0
2021-06-13,CA,06005,0,0,4.6,0.0,0,0.0
2021-06-20,CA,06005,0,0,4.6,0.0,0,0.0
2021-06-27,CA,06005,0,0,4.4,0.0,0,0.0
2021-07-04,CA,06005,0,0,0,0.0,0,0.0
2021-07-11,CA,06005,0,0,4.6,0.0,0,0.0
2021-07-18,CA,06005,0,0,4.1,0.0,0,0.0
2021-07-25,CA,06005,4.6,0,4.6,0.0,4.6,4.6
2021-08-01,CA,06005,10.7,9.7,5.3,0.0,10.7,10.7
2021-08-08,CA,06005,14.0,13.9,5.9,0.0,14.0,14.0
2021-08-15,CA,06005,15.0,15.0,6.0,0.0,15.0,15.0
2021-08-22,CA,06005,13.3,12.9,6.0,0.0,13.3,13.3
2021-08-29,CA,06005,16.3,15.4,6.1,0.0,16.3,16.3
2021-09-05,CA,06005,11.7,11.7,7.4,0.0,11.7,11.7
2021-09-12,CA,06005,11.1,11.0,7.6,0.0,11.1,11.1
2021-09-19,CA,06005,11.6,11.0,6.1,0.0,11.6,11.6
2021-09-26,CA,06005,11.1,11.1,6.3,0.0,11.1,11.1
2021-10-03,CA,06005,9.3,9.3,5.9,0,9.4,9.3
2021-10-10,CA,06005,8.9,8.1,5.4,0.0,8.9,8.9
2021-10-17,CA,06005,6.7,6.1,5.6,0.0,6.7,6.7
2021-10-24,CA,06005,8.1,7.7,6.3,0.0,8.1,8.1
2021-10-31,CA,06005,8.3,7.1,6.0,0.0,8.3,8.3
2021-11-07,CA,06005,5.4,5.4,5.7,0.0,5.4,5.4
2021-11-14,CA,06005,5.4,5.4,6.7,0.0,5.4,5.4
2021-11-21,CA,06005,4.6,4.6,4.3,0.0,4.6,4.6
2021-11-28,CA,06005,0,0,5.4,0.0,0,0.0
2021-12-05,CA,06005,4.6,4.4,5.0,0.0,4.6,4.6
2021-12-12,CA,06005,7.1,6.4,4.3,0.0,7.1,7.1
2021-12-19,CA,06005,4.6,4.6,4.0,0.0,4.6,4.6
2021-12-26,CA,06005,5.9,5.6,4.9,0.0,5.9,5.9
