collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06013,130.3,97.89999999999999,120.69999999999999,0.0,130.6,130.3
2020-08-09,CA,06013,116.19999999999999,95.0,123.0,0.0,116.19999999999999,116.19999999999999
2020-08-16,CA,06013,113.1,92.19999999999999,119.9,0.0,113.30000000000001,113.1
2020-08-23,CA,06013,102.8,87.3,111.60000000000001,0.0,103.39999999999999,102.8
2020-08-30,CA,06013,93.1,72.9,112.50000000000001,0.0,94.30000000000001,93.1
2020-09-06,CA,06013,81.89999999999999,64.6,120.00000000000001,0.0,82.0,81.89999999999999
2020-09-13,CA,06013,77.39999999999999,54.7,114.1,0.0,77.49999999999999,77.39999999999999
2020-09-20,CA,06013,60.39999999999999,39.699999999999996,115.1,0.0,60.39999999999999,60.39999999999999
2020-09-27,CA,06013,39.900000000000006,27.5,119.39999999999999,0.0,39.900000000000006,39.900000000000006
2020-10-04,CA,06013,49.49999999999999,19.4,110.9,0.0,49.49999999999999,49.49999999999999
2020-10-11,CA,06013,29.700000000000003,9.6,120.0,0.0,29.9,29.700000000000003
2020-10-18,CA,06013,21.6,15.7,118.0,0.0,22.1,21.6
2020-10-25,CA,06013,33.6,19.1,107.9,0.0,33.8,33.6
2020-11-01,CA,06013,45.9,36.1,110.4,0.0,46.800000000000004,45.9
2020-11-08,CA,06013,52.6,44.0,119.19999999999999,0.0,52.900000000000006,52.6
2020-11-15,CA,06013,76.3,61.5,125.99999999999999,0.0,76.39999999999999,76.3
2020-11-22,CA,06013,96.6,86.69999999999999,124.49999999999999,0.0,96.99999999999999,96.6
2020-11-29,CA,06013,129.9,113.0,124.5,0.0,132.0,129.9
2020-12-06,CA,06013,156.5,144.79999999999998,123.69999999999999,0.0,158.9,156.5
2020-12-13,CA,06013,197.1,186.59999999999997,135.2,0.0,199.4,197.1
2020-12-20,CA,06013,239.8,226.4,134.0,0.0,242.4,239.8
2020-12-27,CA,06013,251.99999999999997,240.29999999999998,141.99999999999997,0.0,253.7,251.99999999999997
2021-01-03,CA,06013,276.4,264.2,158.89999999999998,0.0,277.2,276.4
2021-01-10,CA,06013,261.5,249.1,161.3,0.0,261.90000000000003,261.5
2021-01-17,CA,06013,319.9,307.90000000000003,147.9,0.0,321.1,319.9
2021-01-24,CA,06013,206.6,194.0,144.39999999999998,0.0,207.5,206.6
2021-01-31,CA,06013,177.8,162.0,133.1,0.0,179.00000000000003,177.8
2021-02-07,CA,06013,121.5,108.69999999999999,135.7,0.0,123.0,121.5
2021-02-14,CA,06013,103.3,88.4,132.2,0.0,103.89999999999999,103.3
2021-02-21,CA,06013,86.0,74.80000000000001,120.4,0.0,87.7,86.0
