collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06019,323.5,281.90000000000003,135.60000000000002,9.7,335.70000000000005,333.2
2020-08-09,CA,06019,287.4,255.60000000000002,140.20000000000002,11.6,300.79999999999995,299.0
2020-08-16,CA,06019,265.90000000000003,234.39999999999998,142.2,9.0,275.90000000000003,274.90000000000003
2020-08-23,CA,06019,243.8,215.8,137.89999999999998,7.3,252.10000000000002,251.10000000000002
2020-08-30,CA,06019,190.5,164.79999999999998,134.9,8.6,199.5,199.1
2020-09-06,CA,06019,150.8,131.3,123.0,6.3,157.3,157.10000000000002
2020-09-13,CA,06019,127.6,104.4,128.4,4.3,132.9,131.9
2020-09-20,CA,06019,101.3,80.69999999999999,129.39999999999998,0.0,102.10000000000001,101.3
2020-09-27,CA,06019,103.6,84.29999999999998,133.6,0.0,101.0,103.6
2020-10-04,CA,06019,117.7,98.8,130.10000000000002,0.0,119.0,117.7
2020-10-11,CA,06019,104.6,88.3,112.7,0.0,107.4,104.6
2020-10-18,CA,06019,115.80000000000001,99.0,126.5,0.0,117.1,115.80000000000001
2020-10-25,CA,06019,104.2,91.9,127.20000000000002,0.0,108.5,104.2
2020-11-01,CA,06019,117.30000000000001,101.9,134.0,0.0,117.9,117.30000000000001
2020-11-08,CA,06019,141.4,123.10000000000001,141.8,0.0,142.20000000000002,141.4
2020-11-15,CA,06019,189.90000000000003,169.60000000000002,133.6,4.1,198.6,194.00000000000003
2020-11-22,CA,06019,277.6,258.5,137.1,7.3,287.3,284.90000000000003
2020-11-29,CA,06019,354.3,326.2,162.6,5.3,363.6,359.6
2020-12-06,CA,06019,473.40000000000003,441.70000000000005,169.20000000000002,5.6,482.8,479.00000000000006
2020-12-13,CA,06019,552.8000000000001,518.6,178.4,7.6,563.0,560.4000000000001
2020-12-20,CA,06019,620.1,592.4,194.10000000000002,8.0,630.7,628.1
2020-12-27,CA,06019,629.4000000000001,605.5,188.8,7.7,641.4,637.1000000000001
2021-01-03,CA,06019,651.7,621.6,192.3,13.7,670.8,665.4000000000001
2021-01-10,CA,06019,631.9,603.0,197.50000000000003,14.0,651.3,645.9
2021-01-17,CA,06019,560.6,537.2,203.20000000000002,14.4,579.6999999999999,575.0
2021-01-24,CA,06019,520.0,493.4,205.40000000000003,19.7,544.9,539.7
2021-01-31,CA,06019,450.7,423.0,185.29999999999998,11.7,468.5,462.4
2021-02-07,CA,06019,351.6,331.7,174.60000000000002,14.9,372.20000000000005,366.5
2021-02-14,CA,06019,303.59999999999997,284.0,156.9,15.9,324.8,319.49999999999994
2021-02-21,CA,06019,235.7,219.99999999999997,146.9,16.3,256.09999999999997,252.0
2021-02-28,CA,06019,185.29999999999998,163.79999999999998,136.7,6.7,193.39999999999998,191.99999999999997
2021-03-07,CA,06019,204.59999999999997,183.20000000000002,143.0,0.0,206.59999999999997,204.59999999999997
2021-03-14,CA,06019,149.4,131.7,149.9,0.0,150.2,149.4
2021-03-21,CA,06019,138.3,123.5,137.39999999999998,0.0,138.6,138.3
2021-03-28,CA,06019,127.9,112.3,139.1,0.0,128.79999999999998,127.9
