collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06025,52.7,52.5,23.200000000000003,0.0,52.9,52.7
2020-08-09,CA,06025,42.7,41.8,19.4,0.0,43.3,42.7
2020-08-16,CA,06025,31.7,31.5,19.6,0.0,32.099999999999994,31.7
2020-08-23,CA,06025,32.9,32.1,19.0,0.0,33.0,32.9
2020-08-30,CA,06025,27.6,27.5,13.1,0.0,27.6,27.6
2020-09-06,CA,06025,25.4,25.200000000000003,17.3,0.0,25.4,25.4
2020-09-13,CA,06025,20.9,20.5,16.700000000000003,0.0,20.9,20.9
2020-09-20,CA,06025,25.5,25.5,16.799999999999997,0.0,25.5,25.5
2020-09-27,CA,06025,23.5,23.3,14.8,0.0,23.5,23.5
2020-10-04,CA,06025,26.9,26.9,20.4,0.0,26.9,26.9
2020-10-11,CA,06025,33.599999999999994,32.599999999999994,21.8,0.0,33.599999999999994,33.599999999999994
2020-10-18,CA,06025,42.400000000000006,42.1,22.1,0.0,42.400000000000006,42.400000000000006
2020-10-25,CA,06025,45.3,45.1,22.8,0.0,45.400000000000006,45.3
2020-11-01,CA,06025,47.5,47.5,24.8,0.0,47.5,47.5
2020-11-08,CA,06025,55.4,55.4,24.0,0.0,55.4,55.4
2020-11-15,CA,06025,63.9,61.599999999999994,25.7,0.0,64.0,63.9
2020-11-22,CA,06025,61.599999999999994,61.199999999999996,20.2,0.0,61.599999999999994,61.599999999999994
2020-11-29,CA,06025,83.8,83.4,25.799999999999997,0.0,84.0,83.8
2020-12-06,CA,06025,122.19999999999999,121.9,34.0,0.0,122.19999999999999,122.19999999999999
2020-12-13,CA,06025,167.6,167.4,37.9,0.0,167.9,167.6
2020-12-20,CA,06025,192.9,192.5,42.5,0.0,193.3,192.9
2020-12-27,CA,06025,179.8,178.4,52.9,0.0,179.8,179.8
2021-01-03,CA,06025,170.3,169.7,64.69999999999999,0.0,170.3,170.3
2021-01-10,CA,06025,144.8,143.10000000000002,84.3,0.0,144.8,144.8
2021-01-17,CA,06025,118.0,117.3,60.0,0.0,118.0,118.0
2021-01-24,CA,06025,81.30000000000001,79.7,46.6,0.0,81.30000000000001,81.30000000000001
2021-01-31,CA,06025,60.099999999999994,59.8,32.7,0.0,60.099999999999994,60.099999999999994
2021-02-07,CA,06025,36.099999999999994,34.3,28.7,0.0,36.099999999999994,36.099999999999994
2021-02-14,CA,06025,29.1,28.0,20.1,0.0,29.1,29.1
2021-02-21,CA,06025,25.9,25.6,17.6,0.0,25.9,25.9
2021-02-28,CA,06025,21.2,21.1,14.6,0.0,21.2,21.2
2021-03-07,CA,06025,13.7,13.600000000000001,16.3,0.0,13.7,13.7
2021-03-14,CA,06025,15.299999999999999,14.7,15.100000000000001,0.0,15.299999999999999,15.299999999999999
2021-03-21,CA,06025,9.7,5.6,13.100000000000001,0.0,9.7,9.7
2021-03-28,CA,06025,0,0,13.100000000000001,0.0,0,0.0
2021-04-04,CA,06025,10.600000000000001,10.100000000000001,13.399999999999999,0.0,10.7,10.600000000000001
2021-04-11,CA,06025,13.899999999999999,14.3,16.0,0.0,13.899999999999999,13.899999999999999
2021-04-18,CA,06025,16.0,15.0,17.8,0.0,16.0,16.0
2021-04-25,CA,06025,14.7,14.4,16.5,0.0,14.7,14.7
2021-05-02,CA,06025,14.4,13.7,14.5,0.0,14.4,14.4
2021-05-09,CA,06025,17.299999999999997,17.0,15.4,0.0,17.299999999999997,17.299999999999997
2021-05-16,CA,06025,10.9,10.9,12.7,0.0,10.9,10.9
2021-05-23,CA,06025,4.1,4.1,13.8,0.0,4.1,4.1
2021-05-30,CA,06025,0,0,13.4,0.0,0,0.0
2021-06-06,CA,06025,0,0,13.899999999999999,0.0,0,0.0
2021-06-13,CA,06025,0,0,13.100000000000001,0.0,0,0.0
2021-06-20,CA,06025,0,0,7.0,0.0,0,0.0
2021-06-27,CA,06025,0,0,4.7,0.0,0,0.0
2021-07-04,CA,06025,0,0,10.0,0.0,0,0.0
2021-07-11,CA,06025,5.4,5.4,14.2,0.0,5.6,5.4
2021-07-18,CA,06025,7.6,7.6,4.3,0.0,7.9,7.6
2021-07-25,CA,06025,5.2,5.2,11.899999999999999,0.0,5.2,5.2
2021-08-01,CA,06025,11.3,10.7,12.9,0.0,11.3,11.3
2021-08-08,CA,06025,18.6,18.6,14.100000000000001,0.0,18.6,18.6
2021-08-15,CA,06025,19.5,19.5,18.6,0.0,19.5,19.5
2021-08-22,CA,06025,20.4,20.4,16.0,0.0,20.4,20.4
2021-08-29,CA,06025,32.2,31.200000000000003,16.4,0.0,32.2,32.2
2021-09-05,CA,06025,27.9,27.9,14.5,0.0,27.9,27.9
2021-09-12,CA,06025,22.7,22.7,14.7,0.0,22.7,22.7
2021-09-19,CA,06025,23.799999999999997,23.799999999999997,16.3,0.0,23.799999999999997,23.799999999999997
2021-09-26,CA,06025,20.6,20.6,14.2,0.0,20.6,20.6
2021-10-03,CA,06025,17.3,17.3,12.5,0.0,17.3,17.3
2021-10-10,CA,06025,16.1,16.1,11.2,0.0,16.1,16.1
2021-10-17,CA,06025,21.2,21.2,13.399999999999999,0.0,21.2,21.2
2021-10-24,CA,06025,31.5,31.5,15.6,0.0,31.5,31.5
2021-10-31,CA,06025,33.099999999999994,33.099999999999994,16.3,0.0,33.099999999999994,33.099999999999994
2021-11-07,CA,06025,40.4,40.4,17.0,0.0,40.5,40.4
2021-11-14,CA,06025,39.6,39.6,21.5,0.0,39.7,39.6
2021-11-21,CA,06025,47.300000000000004,47.300000000000004,25.799999999999997,0.0,47.300000000000004,47.300000000000004
2021-11-28,CA,06025,61.0,61.0,26.099999999999998,0.0,61.0,61.0
2021-12-05,CA,06025,64.4,64.4,23.3,0.0,64.4,64.4
2021-12-12,CA,06025,67.19999999999999,67.19999999999999,27.1,0.0,67.19999999999999,67.19999999999999
2021-12-19,CA,06025,61.6,61.6,31.3,0.0,61.7,61.6
2021-12-26,CA,06025,59.800000000000004,59.800000000000004,31.5,0.0,60.0,59.800000000000004
