collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06029,234.59999999999997,219.7,108.1,0.0,235.2,234.59999999999997
2020-08-09,CA,06029,200.6,183.2,106.1,0.0,201.5,200.6
2020-08-16,CA,06029,167.79999999999998,155.8,106.2,0.0,168.7,167.79999999999998
2020-08-23,CA,06029,139.6,133.1,106.7,0.0,140.1,139.6
2020-08-30,CA,06029,99.69999999999999,97.89999999999999,106.5,0.0,100.29999999999998,99.69999999999999
2020-09-06,CA,06029,85.49999999999999,67.4,97.2,0.0,86.7,85.49999999999999
2020-09-13,CA,06029,67.49999999999999,62.3,91.19999999999999,0.0,72.99999999999999,67.49999999999999
2020-09-20,CA,06029,65.1,60.1,83.80000000000001,0.0,66.3,65.1
2020-09-27,CA,06029,60.699999999999996,59.9,79.5,0.0,61.199999999999996,60.699999999999996
2020-10-04,CA,06029,55.0,54.099999999999994,96.7,0.0,55.3,55.0
2020-10-11,CA,06029,53.099999999999994,52.0,93.20000000000002,0.0,53.400000000000006,53.099999999999994
2020-10-18,CA,06029,48.099999999999994,47.7,96.19999999999999,0.0,48.7,48.099999999999994
2020-10-25,CA,06029,37.4,37.1,97.30000000000001,0.0,37.5,37.4
2020-11-01,CA,06029,45.2,44.199999999999996,90.1,0.0,45.300000000000004,45.2
2020-11-08,CA,06029,56.699999999999996,56.5,89.3,0.0,57.0,56.699999999999996
2020-11-15,CA,06029,92.19999999999999,91.60000000000001,96.0,0.0,93.1,92.19999999999999
2020-11-22,CA,06029,135.1,134.8,91.60000000000001,0.0,136.3,135.1
2020-11-29,CA,06029,182.7,180.1,102.89999999999999,0.0,182.7,182.7
