collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06037,2198.0,1654.0000000000005,1603.9000000000003,21.3,2226.9,2219.3
2020-08-09,CA,06037,1945.3000000000004,1455.5000000000002,1581.4,12.3,1966.2000000000007,1957.6000000000004
2020-08-16,CA,06037,1857.4,1347.1999999999994,1595.0000000000002,14.0,1883.9000000000005,1871.4
2020-08-23,CA,06037,1612.3,1170.5000000000002,1538.0000000000002,16.3,1642.2000000000003,1628.6
2020-08-30,CA,06037,1382.2,997.1000000000004,1485.2999999999995,9.5,1404.2000000000003,1391.7
2020-09-06,CA,06037,1224.0000000000002,848.5999999999998,1453.4000000000003,7.3,1242.1999999999998,1231.3000000000002
2020-09-13,CA,06037,1069.1000000000004,727.2000000000004,1452.0999999999997,8.0,1084.9,1077.1000000000004
2020-09-20,CA,06037,1072.2999999999997,705.2999999999998,1455.2999999999997,8.1,1084.8999999999996,1080.3999999999996
2020-09-27,CA,06037,1030.1,671.4000000000002,1416.3999999999992,6.4,1043.1999999999998,1036.5
2020-10-04,CA,06037,1026.1000000000001,658.6999999999998,1433.0000000000005,4.4,1039.1,1030.5000000000002
2020-10-11,CA,06037,1051.0999999999997,677.3000000000001,1435.8999999999994,0.0,1055.4999999999998,1051.0999999999997
2020-10-18,CA,06037,1041.3999999999999,738.1999999999999,1461.6999999999994,4.6,1049.7999999999997,1045.9999999999998
2020-10-25,CA,06037,1028.3999999999999,728.8999999999996,1480.0,0.0,1031.2,1028.3999999999999
2020-11-01,CA,06037,1080.6999999999998,797.8000000000001,1500.6,14.4,1099.0,1095.1
2020-11-08,CA,06037,1252.2,937.8000000000002,1533.9,8.7,1264.3,1260.9
2020-11-15,CA,06037,1601.8999999999999,1305.7000000000007,1634.9999999999998,8.3,1617.1999999999998,1610.1999999999998
2020-11-22,CA,06037,2169.8,1856.3000000000004,1649.6999999999998,14.0,2194.3000000000006,2183.8
2020-11-29,CA,06037,2937.7,2637.3999999999996,1790.8999999999999,17.3,2975.8,2955.0
2020-12-06,CA,06037,3966.4000000000005,3629.9999999999995,1917.0,20.700000000000003,4000.600000000001,3987.1000000000004
2020-12-13,CA,06037,5421.199999999997,5101.000000000001,2062.7000000000007,34.7,5471.099999999998,5455.899999999997
2020-12-20,CA,06037,6815.800000000001,6527.099999999999,2154.9999999999995,20.4,6859.000000000002,6836.200000000001
2020-12-27,CA,06037,7784.2000000000035,7510.0,2361.7999999999997,39.4,7842.700000000003,7823.600000000003
2021-01-03,CA,06037,8250.000000000002,7956.700000000001,2521.9000000000005,48.0,8316.3,8298.000000000002
2021-01-10,CA,06037,7973.299999999997,7675.100000000002,2601.0,46.3,8032.8,8019.599999999998
2021-01-17,CA,06037,7258.9000000000015,6967.999999999999,2605.7000000000007,39.8,7318.800000000001,7298.700000000002
2021-01-24,CA,06037,6088.300000000001,5781.9000000000015,2512.5000000000005,34.1,6140.7,6122.4000000000015
2021-01-31,CA,06037,5022.000000000001,4734.199999999998,2367.3,32.0,5075.200000000002,5054.000000000001
2021-02-07,CA,06037,3941.1000000000013,3707.7999999999997,2181.999999999999,35.9,3989.600000000001,3977.0000000000014
2021-02-14,CA,06037,2799.3,2590.7000000000003,1970.4000000000003,23.7,2836.9000000000005,2823.0
2021-02-21,CA,06037,2037.5000000000002,1853.6000000000001,1817.3999999999999,17.1,2067.7000000000003,2054.6000000000004
2021-02-28,CA,06037,1466.8000000000002,1316.6,1655.5,14.0,1489.9,1480.8000000000002
2021-03-07,CA,06037,1131.4000000000003,986.0999999999999,1555.9000000000003,12.3,1149.7000000000005,1143.7000000000003
2021-03-14,CA,06037,943.7999999999996,809.3999999999999,1521.3999999999999,13.3,962.1999999999996,957.0999999999996
2021-03-21,CA,06037,793.9000000000001,674.2,1470.1999999999996,8.3,806.3000000000001,802.2
2021-03-28,CA,06037,699.3,591.2000000000002,1429.6999999999998,9.4,717.9999999999999,708.6999999999999
2021-04-04,CA,06037,588.3000000000002,489.7,1355.2999999999997,8.7,598.3000000000001,597.0000000000002
2021-04-11,CA,06037,546.4999999999999,449.00000000000006,1463.0000000000002,9.7,560.6999999999999,556.1999999999999
2021-04-18,CA,06037,508.59999999999997,413.59999999999997,1324.2,7.9,520.1999999999999,516.5
2021-04-25,CA,06037,434.3,353.6000000000001,1379.1999999999998,7.1,444.6000000000001,441.40000000000003
2021-05-02,CA,06037,410.70000000000005,320.70000000000005,1343.0000000000002,10.1,426.09999999999997,420.80000000000007
2021-05-09,CA,06037,369.9,284.09999999999997,1318.0999999999995,12.4,385.4,382.29999999999995
2021-05-16,CA,06037,340.7,254.60000000000002,1346.9,8.6,354.10000000000014,349.3
2021-05-23,CA,06037,260.29999999999995,204.89999999999998,1325.3999999999996,6.9,269.1,267.19999999999993
2021-05-30,CA,06037,226.60000000000002,169.5,1326.3,6.4,239.40000000000003,233.00000000000003
2021-06-06,CA,06037,195.8,157.39999999999998,1290.0999999999995,5.9,207.4,201.70000000000002
2021-06-13,CA,06037,187.70000000000002,140.70000000000002,1308.9999999999998,4.6,193.5,192.3
2021-06-20,CA,06037,194.10000000000002,139.39999999999998,1329.2000000000005,6.0,201.10000000000002,200.10000000000002
