collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06045,11.899999999999999,11.899999999999999,5.3,0.0,11.899999999999999,11.899999999999999
2020-08-09,CA,06045,14.0,13.9,9.4,0.0,14.0,14.0
2020-08-16,CA,06045,5.6,5.6,4.9,0.0,5.6,5.6
2020-08-23,CA,06045,0,0,5.9,0.0,0,0.0
2020-08-30,CA,06045,0.0,0.0,7.1,0.0,0.0,0.0
2020-09-06,CA,06045,0.0,0.0,5.7,0.0,0.0,0.0
2020-09-13,CA,06045,5.3,5.0,4.3,0.0,5.3,5.3
2020-09-20,CA,06045,6.9,6.9,4.9,0.0,6.9,6.9
2020-09-27,CA,06045,6.1,5.9,5.1,0.0,6.1,6.1
2020-10-04,CA,06045,0.0,0.0,5.0,0.0,0.0,0.0
2020-10-11,CA,06045,0.0,0.0,4.6,0.0,0.0,0.0
2020-10-18,CA,06045,0.0,0.0,5.4,0.0,0.0,0.0
2020-10-25,CA,06045,0.0,0.0,5.0,0.0,0.0,0.0
2020-11-01,CA,06045,0.0,0.0,6.4,0.0,0.0,0.0
2020-11-08,CA,06045,0,0,5.7,0.0,0,0.0
2020-11-15,CA,06045,0,0,5.7,0.0,0,0.0
2020-11-22,CA,06045,9.4,8.4,6.6,0.0,9.4,9.4
2020-11-29,CA,06045,8.9,8.9,5.9,0.0,8.9,8.9
2020-12-06,CA,06045,5.6,5.6,4.9,0.0,5.6,5.6
2020-12-13,CA,06045,11.3,11.3,6.4,0.0,11.3,11.3
2020-12-20,CA,06045,11.4,11.4,6.1,0.0,11.4,11.4
2020-12-27,CA,06045,9.9,9.9,5.3,0.0,9.9,9.9
2021-01-03,CA,06045,8.3,8.3,5.7,0.0,8.3,8.3
2021-01-10,CA,06045,10.6,10.6,7.4,0.0,10.6,10.6
2021-01-17,CA,06045,10.7,10.7,6.0,0.0,10.7,10.7
2021-01-24,CA,06045,10.7,10.7,5.1,0.0,10.7,10.7
2021-01-31,CA,06045,6.9,6.9,5.3,0.0,6.9,6.9
2021-02-07,CA,06045,8.6,8.6,5.9,0.0,8.6,8.6
2021-02-14,CA,06045,7.9,7.9,6.7,0.0,7.9,7.9
2021-02-21,CA,06045,4.0,4.0,7.1,0.0,4.0,4.0
2021-02-28,CA,06045,0.0,0.0,7.3,0.0,0.0,0.0
2021-03-07,CA,06045,0.0,0.0,5.7,0.0,0.0,0.0
2021-03-14,CA,06045,0.0,0.0,6.9,0.0,0.0,0.0
2021-03-21,CA,06045,0.0,0.0,7.0,0.0,0.0,0.0
2021-03-28,CA,06045,0.0,0.0,6.7,0.0,0.0,0.0
2021-04-04,CA,06045,0,0,6.0,0.0,0,0.0
