collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-23,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-29,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-06,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-13,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-17,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-24,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-31,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-21,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-04,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-11,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-18,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-06,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-13,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-20,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-27,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-04,CA,06049,0.0,0.0,0.0,0.0,0.0,0.0
