collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06053,48.4,47.4,42.7,0.0,48.4,48.4
2020-08-09,CA,06053,51.099999999999994,47.5,40.3,0.0,51.099999999999994,51.099999999999994
2020-08-16,CA,06053,53.9,52.4,37.4,0.0,54.2,53.9
2020-08-23,CA,06053,37.3,36.7,38.5,0.0,37.3,37.3
2020-08-30,CA,06053,27.5,27.0,37.3,0.0,27.5,27.5
2020-09-06,CA,06053,24.6,24.4,35.8,0.0,25.200000000000003,24.6
2020-09-13,CA,06053,26.200000000000003,25.4,20.3,0.0,26.5,26.200000000000003
2020-09-20,CA,06053,30.0,29.4,17.9,0.0,30.0,30.0
2020-09-27,CA,06053,25.8,25.8,26.299999999999997,0.0,25.8,25.8
2020-10-04,CA,06053,26.4,21.4,35.1,0.0,26.4,26.4
2020-10-11,CA,06053,22.5,22.3,34.0,0.0,22.5,22.5
2020-10-18,CA,06053,17.0,16.7,36.599999999999994,0.0,17.0,17.0
2020-10-25,CA,06053,26.799999999999997,26.4,37.4,0.0,27.0,26.799999999999997
2020-11-01,CA,06053,32.3,32.3,35.0,0.0,32.599999999999994,32.3
2020-11-08,CA,06053,40.800000000000004,40.4,37.5,0.0,40.800000000000004,40.800000000000004
2020-11-15,CA,06053,44.400000000000006,44.3,38.9,0.0,44.5,44.400000000000006
2020-11-22,CA,06053,66.4,66.2,39.4,0.0,66.5,66.4
2020-11-29,CA,06053,85.3,84.3,42.199999999999996,0.0,85.5,85.3
2020-12-06,CA,06053,114.10000000000002,112.0,43.4,0.0,114.4,114.10000000000002
2020-12-13,CA,06053,150.8,147.5,47.400000000000006,0.0,152.10000000000002,150.8
2020-12-20,CA,06053,170.0,167.89999999999998,51.199999999999996,0.0,170.1,170.0
2020-12-27,CA,06053,192.79999999999998,192.6,53.1,0.0,192.79999999999998,192.79999999999998
2021-01-03,CA,06053,204.59999999999997,202.0,58.0,0.0,204.59999999999997,204.59999999999997
2021-01-10,CA,06053,213.3,208.39999999999998,53.0,0.0,213.4,213.3
2021-01-17,CA,06053,184.7,183.0,52.7,0.0,185.4,184.7
2021-01-24,CA,06053,152.5,151.7,52.49999999999999,0.0,152.6,152.5
2021-01-31,CA,06053,115.9,114.6,46.9,0.0,115.9,115.9
2021-02-07,CA,06053,94.5,94.30000000000001,39.9,0.0,94.5,94.5
2021-02-14,CA,06053,69.9,69.8,36.1,0.0,69.9,69.9
2021-02-21,CA,06053,40.2,39.2,38.0,0.0,40.2,40.2
2021-02-28,CA,06053,38.4,37.5,41.5,0.0,38.4,38.4
2021-03-07,CA,06053,36.900000000000006,36.900000000000006,32.3,0.0,36.900000000000006,36.900000000000006
2021-03-14,CA,06053,29.9,29.9,30.0,0.0,29.9,29.9
2021-03-21,CA,06053,27.0,27.0,27.700000000000003,0.0,27.0,27.0
2021-03-28,CA,06053,18.7,18.7,29.9,0.0,18.7,18.7
2021-04-04,CA,06053,16.700000000000003,16.5,26.5,0.0,16.700000000000003,16.700000000000003
2021-04-11,CA,06053,11.0,11.0,23.6,0.0,11.0,11.0
2021-04-18,CA,06053,9.5,9.5,23.8,0.0,9.7,9.5
2021-04-25,CA,06053,9.100000000000001,9.0,26.200000000000003,0.0,9.100000000000001,9.100000000000001
2021-05-02,CA,06053,5.0,5.0,24.2,0.0,5.0,5.0
2021-05-09,CA,06053,4.6,4.6,21.599999999999998,0.0,4.6,4.6
