collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06061,93.6,58.4,60.800000000000004,0.0,95.4,93.6
2020-08-09,CA,06061,83.6,58.4,55.7,0.0,85.4,83.6
2020-08-16,CA,06061,80.9,58.7,57.099999999999994,0.0,84.0,80.9
2020-08-23,CA,06061,59.3,40.1,57.4,0.0,61.300000000000004,59.3
2020-08-30,CA,06061,58.2,39.5,53.400000000000006,0.0,60.7,58.2
2020-09-06,CA,06061,57.2,36.7,54.0,0.0,59.3,57.2
2020-09-13,CA,06061,48.0,28.7,54.39999999999999,0.0,49.3,48.0
2020-09-20,CA,06061,49.699999999999996,27.4,53.4,0.0,51.5,49.699999999999996
2020-09-27,CA,06061,42.7,20.0,52.0,0.0,44.099999999999994,42.7
2020-10-04,CA,06061,46.5,18.1,54.599999999999994,0.0,48.599999999999994,46.5
2020-10-11,CA,06061,37.7,14.9,52.1,0.0,39.6,37.7
2020-10-18,CA,06061,29.700000000000003,15.7,57.599999999999994,0.0,31.0,29.700000000000003
2020-10-25,CA,06061,36.0,20.299999999999997,53.900000000000006,0.0,36.8,36.0
2020-11-01,CA,06061,47.1,33.099999999999994,52.2,0.0,48.5,47.1
2020-11-08,CA,06061,52.0,42.9,53.699999999999996,0.0,53.8,52.0
2020-11-15,CA,06061,96.3,77.9,55.0,4.9,101.2,101.2
2020-11-22,CA,06061,123.5,109.60000000000001,56.0,5.9,129.3,129.4
2020-11-29,CA,06061,149.5,134.9,54.8,0.0,153.20000000000002,149.5
2020-12-06,CA,06061,179.7,164.49999999999997,65.0,0.0,180.7,179.7
2020-12-13,CA,06061,193.70000000000002,183.10000000000002,70.7,0.0,196.10000000000002,193.70000000000002
2020-12-20,CA,06061,198.2,185.8,65.4,0.0,200.6,198.2
2020-12-27,CA,06061,209.9,195.90000000000003,71.2,0.0,213.5,209.9
2021-01-03,CA,06061,195.9,176.9,79.19999999999999,0.0,197.6,195.9
2021-01-10,CA,06061,178.6,167.70000000000002,82.5,0.0,180.4,178.6
2021-01-17,CA,06061,145.39999999999998,135.1,75.8,0.0,147.89999999999998,145.39999999999998
2021-01-24,CA,06061,126.6,112.9,76.1,0.0,128.6,126.6
2021-01-31,CA,06061,117.1,104.4,73.6,0.0,119.89999999999999,117.1
2021-02-07,CA,06061,85.8,77.3,74.5,0.0,89.1,85.8
2021-02-14,CA,06061,75.5,63.5,69.3,0.0,78.0,75.5
