collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06073,346.5,275.9,423.70000000000005,4.7,352.79999999999995,351.2
2020-08-09,CA,06073,311.8,242.39999999999998,408.69999999999993,0.0,311.9,311.8
2020-08-16,CA,06073,288.2,216.4,428.99999999999994,0.0,287.0,288.2
2020-08-23,CA,06073,296.0,221.5,446.7,0.0,291.90000000000003,296.0
2020-08-30,CA,06073,278.2,211.5,445.1000000000001,0.0,283.9,278.2
2020-09-06,CA,06073,276.70000000000005,213.09999999999997,438.0000000000001,0.0,273.1,276.70000000000005
2020-09-13,CA,06073,265.8,210.70000000000002,425.29999999999995,0.0,259.90000000000003,265.8
2020-09-20,CA,06073,240.0,186.70000000000002,438.6,0.0,241.09999999999997,240.0
2020-09-27,CA,06073,237.5,181.20000000000002,433.99999999999994,0.0,234.29999999999998,237.5
2020-10-04,CA,06073,258.9,199.89999999999998,426.1,0.0,259.2,258.9
2020-10-11,CA,06073,223.5,174.0,427.7999999999999,0.0,221.6,223.5
2020-10-18,CA,06073,219.1,174.00000000000003,419.7,0.0,220.29999999999998,219.1
2020-10-25,CA,06073,229.1,176.9,438.6,0.0,230.0,229.1
2020-11-01,CA,06073,314.6,259.4,452.50000000000006,0.0,315.0,314.6
2020-11-08,CA,06073,347.7,298.30000000000007,472.40000000000003,0.0,348.79999999999995,347.7
2020-11-15,CA,06073,428.8,378.99999999999994,474.40000000000003,0.0,429.2,428.8
2020-11-22,CA,06073,570.9000000000001,530.3,482.8,5.0,577.6,575.9000000000001
2020-11-29,CA,06073,756.9,714.5999999999999,503.49999999999994,6.3,764.3,763.1999999999999
2020-12-06,CA,06073,939.1000000000001,885.1999999999999,525.3,6.9,948.0000000000001,946.0000000000001
2020-12-13,CA,06073,1161.6999999999998,1107.0,551.2,8.6,1172.9,1170.2999999999997
2020-12-20,CA,06073,1406.7999999999997,1353.7000000000003,563.4,12.1,1421.0,1418.8999999999996
2020-12-27,CA,06073,1528.6,1473.6999999999998,598.5999999999999,14.1,1544.2999999999997,1542.6999999999998
2021-01-03,CA,06073,1666.0,1606.0000000000002,610.9,14.4,1682.3,1680.4
2021-01-10,CA,06073,2966.9,2910.0,634.2,18.9,2988.2,2985.8
2021-01-17,CA,06073,1621.8000000000002,1563.3,644.8,16.4,1640.7,1638.2000000000003
2021-01-24,CA,06073,1410.2,1359.1999999999996,643.4000000000001,15.3,1427.4000000000003,1425.5
2021-01-31,CA,06073,1218.3000000000002,1176.0,628.1999999999999,15.4,1234.7,1233.7000000000003
2021-02-07,CA,06073,947.8,909.9,586.2,14.9,964.1,962.6999999999999
2021-02-14,CA,06073,767.5,729.6999999999999,541.0,12.3,780.6,779.8
2021-02-21,CA,06073,588.6,556.5,498.7,8.3,597.8999999999999,596.9
2021-02-28,CA,06073,445.09999999999997,416.80000000000007,464.3000000000002,6.9,452.9,451.99999999999994
2021-03-07,CA,06073,336.79999999999995,305.5,425.9999999999999,5.1,342.59999999999997,341.9
2021-03-14,CA,06073,277.4,256.4,408.4,4.6,283.6,282.0
2021-03-21,CA,06073,223.60000000000002,207.29999999999998,393.49999999999994,0.0,224.10000000000005,223.60000000000002
2021-03-28,CA,06073,187.60000000000002,171.9,403.4,4.3,192.70000000000002,191.90000000000003
2021-04-04,CA,06073,176.1,152.1,403.7,4.6,181.5,180.7
2021-04-11,CA,06073,169.5,146.7,413.70000000000005,5.0,175.1,174.5
2021-04-18,CA,06073,171.0,151.49999999999997,402.1000000000001,0.0,171.8,171.0
2021-04-25,CA,06073,144.4,131.6,406.20000000000005,5.0,150.7,149.4
2021-05-02,CA,06073,140.9,128.29999999999998,447.70000000000005,5.1,146.6,146.0
2021-05-09,CA,06073,104.19999999999997,89.79999999999998,320.30000000000007,0.0,104.49999999999997,104.19999999999997
2021-05-16,CA,06073,129.29999999999998,116.69999999999999,432.80000000000007,0.0,129.5,129.29999999999998
2021-05-23,CA,06073,105.69999999999999,93.80000000000001,396.29999999999995,0.0,106.6,105.69999999999999
2021-05-30,CA,06073,82.60000000000001,76.00000000000001,390.3999999999999,0.0,83.9,82.60000000000001
2021-06-06,CA,06073,71.9,59.1,388.69999999999993,0.0,77.0,71.9
2021-06-13,CA,06073,61.199999999999996,51.900000000000006,400.20000000000005,0.0,62.699999999999996,61.199999999999996
2021-06-20,CA,06073,44.7,31.799999999999997,395.2,0.0,46.099999999999994,44.7
2021-06-27,CA,06073,69.0,59.8,412.69999999999993,0.0,70.0,69.0
2021-07-04,CA,06073,88.50000000000001,71.3,407.9000000000001,0.0,89.50000000000001,88.50000000000001
2021-07-11,CA,06073,120.1,109.99999999999999,419.1000000000001,0.0,120.89999999999999,120.1
2021-07-18,CA,06073,199.0,182.39999999999998,420.4,0.0,199.6,199.0
2021-07-25,CA,06073,288.70000000000005,270.1,425.7000000000001,5.0,294.40000000000003,293.70000000000005
2021-08-01,CA,06073,423.6,398.20000000000005,454.5,6.9,431.6,430.5
2021-08-08,CA,06073,506.7000000000001,484.5,465.49999999999994,8.6,516.8000000000001,515.3000000000001
2021-08-15,CA,06073,597.9000000000001,573.5,475.6000000000001,9.9,608.9000000000001,607.8000000000001
2021-08-22,CA,06073,668.6,649.8000000000001,476.9000000000001,9.0,679.5,677.6
2021-08-29,CA,06073,671.5999999999999,651.6,477.80000000000007,5.9,678.5,677.4999999999999
2021-09-05,CA,06073,586.0,567.9000000000001,479.3999999999999,4.0,591.4,590.0
2021-09-12,CA,06073,496.10000000000014,476.5000000000001,469.0999999999999,7.9,504.80000000000007,504.0000000000001
2021-09-19,CA,06073,425.5999999999999,409.79999999999995,455.00000000000006,7.4,435.2999999999999,432.9999999999999
2021-09-26,CA,06073,357.59999999999997,342.5,441.8999999999999,9.4,367.99999999999994,366.99999999999994
2021-10-03,CA,06073,303.99999999999994,290.19999999999993,426.50000000000006,9.1,313.59999999999997,313.09999999999997
2021-10-10,CA,06073,269.5,251.9,429.6,6.6,278.09999999999997,276.1
2021-10-17,CA,06073,271.5,256.00000000000006,439.5,6.4,278.3,277.9
2021-10-24,CA,06073,291.40000000000003,276.1,450.3,6.4,298.5,297.8
2021-10-31,CA,06073,292.50000000000006,272.9,449.0,5.6,300.1,298.1000000000001
2021-11-07,CA,06073,255.1,243.0,437.19999999999993,6.6,263.4,261.7
2021-11-14,CA,06073,263.49999999999994,249.0,460.6,4.3,269.09999999999997,267.79999999999995
2021-11-21,CA,06073,254.2,238.89999999999998,437.70000000000005,6.0,260.7,260.2
2021-11-28,CA,06073,294.1,282.7,463.4,6.3,300.5,300.40000000000003
2021-12-05,CA,06073,321.2,303.90000000000003,474.19999999999993,6.3,328.90000000000003,327.5
2021-12-12,CA,06073,361.59999999999997,350.3,475.8,4.1,367.5,365.7
2021-12-19,CA,06073,361.00000000000006,341.2,460.00000000000006,4.6,367.9000000000001,365.6000000000001
2021-12-26,CA,06073,497.20000000000005,477.30000000000007,470.29999999999995,14.3,514.9000000000001,511.50000000000006
