collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06075,94.20000000000002,81.6,179.0,0.0,96.10000000000002,94.20000000000002
2020-08-09,CA,06075,94.6,81.7,186.49999999999997,0.0,95.49999999999999,94.6
2020-08-16,CA,06075,104.6,86.5,182.0,0.0,107.4,104.6
2020-08-23,CA,06075,91.30000000000001,79.6,176.1,0.0,96.7,91.30000000000001
2020-08-30,CA,06075,72.60000000000001,64.39999999999999,165.79999999999998,0.0,75.5,72.60000000000001
2020-09-06,CA,06075,75.69999999999999,61.5,172.9,4.0,79.69999999999999,79.69999999999999
2020-09-13,CA,06075,72.4,62.6,159.0,4.7,77.4,77.10000000000001
2020-09-20,CA,06075,66.2,59.3,178.3,0.0,67.89999999999999,66.2
2020-09-27,CA,06075,58.50000000000001,53.7,165.39999999999998,4.1,62.9,62.60000000000001
2020-10-04,CA,06075,40.7,35.7,167.4,0.0,43.7,40.7
2020-10-11,CA,06075,22.2,16.1,172.70000000000002,0.0,22.599999999999998,22.2
2020-10-18,CA,06075,21.299999999999997,19.3,183.1,0.0,22.1,21.299999999999997
2020-10-25,CA,06075,26.5,16.6,161.29999999999998,0.0,26.8,26.5
2020-11-01,CA,06075,32.9,29.5,168.19999999999996,0.0,33.6,32.9
2020-11-08,CA,06075,35.8,32.199999999999996,176.89999999999998,0.0,36.5,35.8
2020-11-15,CA,06075,44.0,35.0,181.99999999999997,0.0,45.3,44.0
2020-11-22,CA,06075,61.5,59.0,188.2,0.0,62.7,61.5
2020-11-29,CA,06075,95.00000000000001,92.19999999999999,183.4,0.0,96.7,95.00000000000001
2020-12-06,CA,06075,122.69999999999999,118.5,192.29999999999998,0.0,124.19999999999999,122.69999999999999
2020-12-13,CA,06075,150.8,146.0,190.79999999999998,0.0,152.9,150.8
2020-12-20,CA,06075,170.8,163.79999999999998,195.29999999999998,0.0,172.3,170.8
2020-12-27,CA,06075,206.29999999999998,200.9,180.8,0.0,207.2,206.29999999999998
2021-01-03,CA,06075,231.69999999999996,225.2,202.2,4.1,236.39999999999998,235.79999999999995
2021-01-10,CA,06075,248.4,242.4,211.60000000000002,8.9,257.5,257.3
2021-01-17,CA,06075,225.89999999999998,220.9,209.8,4.4,230.49999999999997,230.29999999999998
2021-01-24,CA,06075,179.0,175.29999999999998,214.0,4.9,183.9,183.9
2021-01-31,CA,06075,173.10000000000002,168.29999999999998,202.2,0.0,174.8,173.10000000000002
2021-02-07,CA,06075,133.7,131.70000000000002,194.20000000000002,0.0,135.79999999999998,133.7
2021-02-14,CA,06075,106.89999999999999,101.79999999999998,180.70000000000002,0.0,108.8,106.89999999999999
2021-02-21,CA,06075,91.9,87.0,189.6,0.0,93.80000000000001,91.9
2021-02-28,CA,06075,62.599999999999994,52.4,187.1,0.0,65.8,62.599999999999994
2021-03-07,CA,06075,37.4,31.500000000000004,186.20000000000002,0.0,39.6,37.4
2021-03-14,CA,06075,38.5,32.3,182.5,0.0,39.800000000000004,38.5
2021-03-21,CA,06075,31.0,24.200000000000003,186.4,0.0,31.5,31.0
2021-03-28,CA,06075,23.6,15.100000000000001,184.8,0.0,24.799999999999997,23.6
2021-04-04,CA,06075,22.5,15.1,177.39999999999998,0.0,23.599999999999998,22.5
2021-04-11,CA,06075,21.0,13.2,174.79999999999998,0.0,22.799999999999997,21.0
2021-04-18,CA,06075,20.7,15.0,172.29999999999998,0.0,23.700000000000003,20.7
2021-04-25,CA,06075,20.7,13.7,163.29999999999998,0.0,22.7,20.7
2021-05-02,CA,06075,21.4,13.100000000000001,166.0,0.0,22.6,21.4
2021-05-09,CA,06075,11.399999999999999,6.3,173.70000000000002,0.0,14.299999999999999,11.399999999999999
2021-05-16,CA,06075,12.0,6.9,179.8,0.0,15.4,12.0
2021-05-23,CA,06075,13.3,6.9,175.00000000000003,0.0,15.9,13.3
2021-05-30,CA,06075,9.399999999999999,4.3,169.79999999999998,0.0,10.399999999999999,9.399999999999999
2021-06-06,CA,06075,11.2,8.8,169.20000000000002,0.0,12.5,11.2
2021-06-13,CA,06075,13.5,6.9,164.39999999999998,0.0,17.0,13.5
2021-06-20,CA,06075,14.399999999999999,8.6,152.3,0.0,15.600000000000001,14.399999999999999
2021-06-27,CA,06075,14.7,7.1,153.89999999999998,0.0,16.1,14.7
2021-07-04,CA,06075,16.0,6.4,150.2,0.0,16.4,16.0
2021-07-11,CA,06075,22.4,13.8,161.7,0.0,22.8,22.4
2021-07-18,CA,06075,45.4,36.1,168.1,0.0,47.4,45.4
2021-07-25,CA,06075,77.30000000000001,71.9,171.0,0.0,80.10000000000001,77.30000000000001
2021-08-01,CA,06075,95.30000000000001,90.5,177.89999999999998,0.0,96.30000000000001,95.30000000000001
2021-08-08,CA,06075,108.0,101.9,180.29999999999998,4.6,112.6,112.6
2021-08-15,CA,06075,112.50000000000001,107.80000000000001,179.39999999999995,6.1,118.80000000000001,118.60000000000001
2021-08-22,CA,06075,107.60000000000001,102.0,185.10000000000002,5.1,112.8,112.7
2021-08-29,CA,06075,97.2,92.89999999999999,185.00000000000003,4.9,102.69999999999999,102.10000000000001
2021-09-05,CA,06075,76.69999999999999,72.5,171.79999999999998,6.4,84.7,83.1
2021-09-12,CA,06075,69.3,64.5,182.0,5.9,75.4,75.2
2021-09-19,CA,06075,64.3,61.0,179.3,4.9,69.2,69.2
2021-09-26,CA,06075,59.6,53.6,173.9,5.6,65.5,65.2
2021-10-03,CA,06075,58.6,51.1,166.2,5.0,63.6,63.6
2021-10-10,CA,06075,46.7,35.8,177.6,4.7,51.50000000000001,51.400000000000006
2021-10-17,CA,06075,47.10000000000001,37.800000000000004,180.1,0.0,50.800000000000004,47.10000000000001
2021-10-24,CA,06075,36.0,31.799999999999997,184.79999999999998,0.0,43.6,36.0
2021-10-31,CA,06075,33.4,26.6,169.5,0.0,35.599999999999994,33.4
