collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06077,277.40000000000003,237.6,141.29999999999998,0.0,280.1,277.40000000000003
2020-08-09,CA,06077,213.7,194.9,134.2,0.0,215.0,213.7
2020-08-16,CA,06077,205.40000000000003,174.20000000000002,131.1,0.0,206.90000000000003,205.40000000000003
2020-08-23,CA,06077,178.89999999999998,152.0,113.6,0.0,180.0,178.89999999999998
2020-08-30,CA,06077,137.50000000000003,115.10000000000002,101.2,0.0,138.4,137.50000000000003
2020-09-06,CA,06077,110.99999999999999,96.7,103.99999999999999,0.0,111.19999999999999,110.99999999999999
2020-09-13,CA,06077,92.8,73.19999999999999,102.89999999999999,0.0,92.8,92.8
2020-09-20,CA,06077,84.2,61.5,92.6,0.0,84.2,84.2
2020-09-27,CA,06077,62.8,46.699999999999996,95.89999999999999,0.0,63.099999999999994,62.8
2020-10-04,CA,06077,45.5,30.9,86.69999999999999,0.0,45.6,45.5
2020-10-11,CA,06077,34.6,20.700000000000003,86.1,0.0,34.9,34.6
2020-10-18,CA,06077,31.4,20.7,91.1,0.0,31.4,31.4
2020-10-25,CA,06077,37.9,23.200000000000003,96.69999999999999,0.0,38.4,37.9
2020-11-01,CA,06077,48.3,39.5,107.0,0.0,48.599999999999994,48.3
2020-11-08,CA,06077,79.4,72.5,107.80000000000001,0.0,79.7,79.4
2020-11-15,CA,06077,116.6,105.9,113.10000000000002,0.0,116.6,116.6
2020-11-22,CA,06077,155.10000000000002,139.9,121.2,0.0,155.10000000000002,155.10000000000002
2020-11-29,CA,06077,213.1,198.60000000000002,123.89999999999998,0.0,213.8,213.1
2020-12-06,CA,06077,277.79999999999995,264.3,134.4,0.0,279.29999999999995,277.79999999999995
2020-12-13,CA,06077,378.3,365.30000000000007,142.79999999999998,0.0,378.6,378.3
2020-12-20,CA,06077,408.1,390.29999999999995,148.1,0.0,408.59999999999997,408.1
2020-12-27,CA,06077,391.90000000000003,376.7,163.29999999999998,0.0,392.1,391.90000000000003
2021-01-03,CA,06077,407.8,394.8,186.0,0.0,408.09999999999997,407.8
2021-01-10,CA,06077,400.49999999999994,386.4,152.7,0.0,401.2,400.49999999999994
2021-01-17,CA,06077,376.29999999999995,361.8,147.8,0.0,380.1,376.29999999999995
2021-01-24,CA,06077,326.79999999999995,312.6,142.9,0.0,326.79999999999995,326.79999999999995
2021-01-31,CA,06077,271.0,256.29999999999995,136.3,0.0,271.9,271.0
2021-02-07,CA,06077,216.7,205.29999999999998,124.3,0.0,217.99999999999997,216.7
