collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06079,11.600000000000001,9.0,16.700000000000003,0.0,11.8,11.600000000000001
2020-08-09,CA,06079,17.1,13.5,17.9,0.0,17.1,17.1
2020-08-16,CA,06079,19.299999999999997,17.1,21.799999999999997,0.0,19.299999999999997,19.299999999999997
2020-08-23,CA,06079,13.0,10.3,25.3,0.0,13.0,13.0
2020-08-30,CA,06079,7.6,6.1,25.0,0.0,7.6,7.6
2020-09-06,CA,06079,9.3,0.0,24.9,0.0,9.3,9.3
2020-09-13,CA,06079,6.4,6.0,16.4,0.0,6.4,6.4
2020-09-20,CA,06079,0.0,0.0,16.4,0.0,0.0,0.0
2020-09-27,CA,06079,0.0,0.0,7.9,0.0,0.0,0.0
2020-10-04,CA,06079,0.0,0.0,10.7,0.0,0.0,0.0
2020-10-11,CA,06079,9.399999999999999,0.0,20.0,0.0,9.8,9.399999999999999
2020-10-18,CA,06079,0.0,0.0,13.7,0.0,8.1,0.0
2020-10-25,CA,06079,5.1,0.0,12.1,0.0,5.3,5.1
2020-11-01,CA,06079,10.2,4.3,16.4,0.0,10.7,10.2
2020-11-08,CA,06079,12.5,5.7,18.5,0.0,12.600000000000001,12.5
2020-11-15,CA,06079,8.0,7.1,12.0,0.0,8.0,8.0
2020-11-22,CA,06079,6.0,5.4,14.5,0.0,10.0,6.0
2020-11-29,CA,06079,4.1,0.0,19.5,0.0,4.1,4.1
2020-12-06,CA,06079,18.4,17.1,17.6,0.0,18.4,18.4
2020-12-13,CA,06079,35.2,34.3,23.4,0.0,35.2,35.2
2020-12-20,CA,06079,47.0,45.599999999999994,14.9,0.0,47.0,47.0
2020-12-27,CA,06079,58.49999999999999,57.3,23.299999999999997,0.0,58.49999999999999,58.49999999999999
2021-01-03,CA,06079,58.6,57.6,25.3,0.0,58.6,58.6
2021-01-10,CA,06079,52.0,51.1,19.9,0.0,52.0,52.0
2021-01-17,CA,06079,52.699999999999996,52.2,16.9,0.0,52.699999999999996,52.699999999999996
2021-01-24,CA,06079,46.4,45.599999999999994,25.8,0.0,46.4,46.4
2021-01-31,CA,06079,41.0,40.3,20.6,0.0,41.099999999999994,41.0
2021-02-07,CA,06079,31.0,29.8,21.1,0.0,31.5,31.0
2021-02-14,CA,06079,25.3,23.9,13.600000000000001,0.0,25.3,25.3
2021-02-21,CA,06079,17.799999999999997,16.9,12.6,0.0,18.4,17.799999999999997
2021-02-28,CA,06079,10.5,5.3,8.7,0.0,10.5,10.5
2021-03-07,CA,06079,9.7,9.0,13.7,0.0,9.7,9.7
2021-03-14,CA,06079,0,0,13.100000000000001,0.0,0,0.0
2021-03-21,CA,06079,0,0,13.9,0.0,0,0.0
2021-03-28,CA,06079,0,0,12.100000000000001,0.0,0,0.0
2021-04-04,CA,06079,0,0,10.8,0.0,0,0.0
2021-04-11,CA,06079,0,0,12.7,0.0,0,0.0
2021-04-18,CA,06079,0.0,0.0,8.0,0.0,0.0,0.0
2021-04-25,CA,06079,0.0,0.0,8.399999999999999,0.0,0.0,0.0
2021-05-02,CA,06079,0.0,0.0,16.6,0.0,0.0,0.0
2021-05-09,CA,06079,0.0,0.0,19.6,0.0,0.0,0.0
2021-05-16,CA,06079,0.0,0.0,9.7,0.0,0.0,0.0
2021-05-23,CA,06079,0.0,0.0,12.4,0.0,0.0,0.0
2021-05-30,CA,06079,0.0,0.0,8.6,0.0,0.0,0.0
2021-06-06,CA,06079,0.0,0.0,13.0,0.0,0.0,0.0
2021-06-13,CA,06079,0.0,0.0,16.200000000000003,0.0,0.0,0.0
2021-06-20,CA,06079,0.0,0.0,20.400000000000002,0.0,0.0,0.0
2021-06-27,CA,06079,0.0,0.0,24.8,0.0,0.0,0.0
2021-07-04,CA,06079,0.0,0.0,11.3,0.0,0.0,0.0
