collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06081,60.0,46.5,40.300000000000004,0.0,60.0,60.0
2020-08-09,CA,06081,60.3,45.4,39.6,0.0,60.3,60.3
2020-08-16,CA,06081,62.699999999999996,51.9,42.8,0.0,62.699999999999996,62.699999999999996
2020-08-23,CA,06081,59.4,49.6,50.0,0.0,59.4,59.4
2020-08-30,CA,06081,46.5,34.900000000000006,42.900000000000006,0.0,46.7,46.5
2020-09-06,CA,06081,53.1,32.5,43.900000000000006,0.0,53.1,53.1
2020-09-13,CA,06081,45.5,31.0,46.900000000000006,0.0,45.5,45.5
2020-09-20,CA,06081,37.8,23.3,45.9,0.0,37.8,37.8
2020-09-27,CA,06081,34.0,16.0,49.0,0.0,34.0,34.0
2020-10-04,CA,06081,29.4,17.6,46.5,0.0,30.9,29.4
2020-10-11,CA,06081,31.0,19.4,43.10000000000001,0.0,31.0,31.0
2020-10-18,CA,06081,22.200000000000003,13.100000000000001,52.199999999999996,0.0,22.200000000000003,22.200000000000003
2020-10-25,CA,06081,17.8,11.8,48.9,0.0,17.8,17.8
2020-11-01,CA,06081,23.9,6.1,47.4,0.0,23.9,23.9
2020-11-08,CA,06081,21.4,11.3,47.1,0.0,21.4,21.4
2020-11-15,CA,06081,29.6,22.200000000000003,49.699999999999996,0.0,29.6,29.6
2020-11-22,CA,06081,47.1,41.0,49.5,0.0,47.1,47.1
2020-11-29,CA,06081,76.2,68.1,52.900000000000006,0.0,76.2,76.2
2020-12-06,CA,06081,100.5,83.4,62.099999999999994,0.0,100.5,100.5
2020-12-13,CA,06081,132.2,120.80000000000001,60.900000000000006,0.0,132.4,132.2
2020-12-20,CA,06081,150.70000000000002,143.6,69.0,0.0,150.70000000000002,150.70000000000002
2020-12-27,CA,06081,171.6,164.6,69.80000000000001,0.0,171.6,171.6
2021-01-03,CA,06081,190.3,180.60000000000002,75.0,0.0,190.3,190.3
2021-01-10,CA,06081,199.6,191.1,69.1,0.0,199.6,199.6
2021-01-17,CA,06081,187.39999999999998,179.6,75.0,0.0,187.39999999999998,187.39999999999998
2021-01-24,CA,06081,156.79999999999998,146.2,72.7,0.0,156.79999999999998,156.79999999999998
2021-01-31,CA,06081,130.1,124.10000000000001,62.300000000000004,0.0,130.1,130.1
2021-02-07,CA,06081,107.39999999999999,94.7,63.900000000000006,0.0,107.39999999999999,107.39999999999999
2021-02-14,CA,06081,86.19999999999999,75.5,58.6,0.0,86.19999999999999,86.19999999999999
2021-02-21,CA,06081,58.89999999999999,54.0,60.49999999999999,0.0,59.0,58.89999999999999
2021-02-28,CA,06081,50.900000000000006,46.3,57.50000000000001,0.0,50.900000000000006,50.900000000000006
2021-03-07,CA,06081,41.8,35.50000000000001,55.3,0.0,41.8,41.8
2021-03-14,CA,06081,28.3,17.7,50.2,0.0,28.3,28.3
2021-03-21,CA,06081,22.700000000000003,12.100000000000001,44.6,0.0,22.700000000000003,22.700000000000003
2021-03-28,CA,06081,27.700000000000003,15.399999999999999,44.3,0.0,27.700000000000003,27.700000000000003
2021-04-04,CA,06081,17.8,8.1,34.6,0.0,17.8,17.8
2021-04-11,CA,06081,11.4,9.3,39.5,0.0,11.4,11.4
2021-04-18,CA,06081,19.200000000000003,8.7,40.6,0.0,19.200000000000003,19.200000000000003
2021-04-25,CA,06081,21.4,10.7,41.0,0.0,21.4,21.4
2021-05-02,CA,06081,19.4,16.6,37.5,0.0,19.4,19.4
2021-05-09,CA,06081,19.1,16.2,39.2,0.0,19.1,19.1
2021-05-16,CA,06081,10.4,0,42.9,0.0,10.4,10.4
2021-05-23,CA,06081,9.1,0.0,35.3,0.0,9.1,9.1
2021-05-30,CA,06081,10.899999999999999,0,31.9,0.0,10.899999999999999,10.899999999999999
2021-06-06,CA,06081,9.5,0,30.6,0.0,9.5,9.5
2021-06-13,CA,06081,5.7,0,33.4,0.0,5.7,5.7
2021-06-20,CA,06081,6.7,0,40.4,0.0,6.7,6.7
2021-06-27,CA,06081,4.5,0.0,39.800000000000004,0.0,4.5,4.5
2021-07-04,CA,06081,9.600000000000001,0.0,35.900000000000006,0.0,9.600000000000001,9.600000000000001
2021-07-11,CA,06081,14.1,4.0,45.0,0.0,14.1,14.1
2021-07-18,CA,06081,18.5,11.4,54.1,0.0,18.5,18.5
2021-07-25,CA,06081,26.9,23.6,54.4,0.0,26.9,26.9
2021-08-01,CA,06081,41.800000000000004,31.1,53.3,0.0,42.1,41.800000000000004
2021-08-08,CA,06081,50.3,36.6,47.1,0.0,50.3,50.3
2021-08-15,CA,06081,55.2,48.099999999999994,48.5,0.0,55.2,55.2
2021-08-22,CA,06081,59.9,53.0,46.099999999999994,0.0,59.9,59.9
2021-08-29,CA,06081,52.199999999999996,39.0,45.0,0.0,52.199999999999996,52.199999999999996
2021-09-05,CA,06081,58.0,52.6,44.9,0.0,58.0,58.0
2021-09-12,CA,06081,40.0,33.4,50.5,0.0,40.0,40.0
2021-09-19,CA,06081,37.6,27.799999999999997,45.699999999999996,0.0,37.6,37.6
2021-09-26,CA,06081,31.199999999999996,19.5,46.800000000000004,0.0,31.199999999999996,31.199999999999996
2021-10-03,CA,06081,22.0,13.7,37.7,0.0,22.0,22.0
2021-10-10,CA,06081,21.1,12.2,38.1,0.0,21.1,21.1
2021-10-17,CA,06081,26.2,18.6,41.0,0.0,26.2,26.2
2021-10-24,CA,06081,24.9,11.4,49.4,0.0,24.9,24.9
2021-10-31,CA,06081,29.5,12.8,42.4,0.0,29.5,29.5
2021-11-07,CA,06081,24.8,7.7,42.0,0.0,24.8,24.8
2021-11-14,CA,06081,12.2,6.4,37.4,0.0,12.2,12.2
2021-11-21,CA,06081,14.0,5.9,38.1,0.0,14.0,14.0
2021-11-28,CA,06081,21.6,5.4,40.099999999999994,0.0,21.6,21.6
2021-12-05,CA,06081,25.299999999999997,11.600000000000001,52.5,0.0,25.299999999999997,25.299999999999997
2021-12-12,CA,06081,23.1,11.9,41.5,0.0,23.1,23.1
2021-12-19,CA,06081,22.2,10.5,32.6,0.0,22.2,22.2
2021-12-26,CA,06081,28.900000000000002,19.3,41.1,0.0,28.900000000000002,28.900000000000002
