collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06083,88.0,79.3,60.400000000000006,0.0,88.39999999999999,88.0
2020-08-09,CA,06083,73.7,70.0,58.400000000000006,0.0,74.0,73.7
2020-08-16,CA,06083,60.099999999999994,55.5,51.4,0.0,60.400000000000006,60.099999999999994
2020-08-23,CA,06083,47.3,43.5,53.5,0.0,47.599999999999994,47.3
2020-08-30,CA,06083,44.699999999999996,37.7,50.7,0.0,45.1,44.699999999999996
2020-09-06,CA,06083,35.8,34.2,45.8,0.0,36.0,35.8
2020-09-13,CA,06083,25.700000000000003,24.5,42.7,0.0,25.799999999999997,25.700000000000003
2020-09-20,CA,06083,25.599999999999998,19.4,47.6,0.0,26.900000000000002,25.599999999999998
2020-09-27,CA,06083,17.1,16.9,58.8,0.0,17.1,17.1
2020-10-04,CA,06083,19.4,19.4,49.9,0.0,19.4,19.4
2020-10-11,CA,06083,17.6,13.6,43.2,0.0,17.7,17.6
2020-10-18,CA,06083,11.0,10.9,43.3,0.0,11.0,11.0
2020-10-25,CA,06083,8.1,7.9,42.5,0.0,8.3,8.1
2020-11-01,CA,06083,8.0,7.4,47.99999999999999,0.0,8.0,8.0
2020-11-08,CA,06083,9.0,8.9,46.5,0.0,9.4,9.0
2020-11-15,CA,06083,18.9,12.7,45.6,0.0,20.1,18.9
2020-11-22,CA,06083,29.099999999999998,28.099999999999998,55.6,0.0,29.8,29.099999999999998
2020-11-29,CA,06083,49.7,48.6,51.7,0.0,49.7,49.7
2020-12-06,CA,06083,71.0,69.2,53.10000000000001,0.0,71.0,71.0
2020-12-13,CA,06083,99.7,96.5,52.7,0.0,99.9,99.7
2020-12-20,CA,06083,123.5,118.00000000000001,50.2,0.0,124.89999999999999,123.5
2020-12-27,CA,06083,143.0,135.4,60.9,0.0,143.0,143.0
2021-01-03,CA,06083,177.70000000000002,172.6,87.1,0.0,178.3,177.70000000000002
2021-01-10,CA,06083,202.60000000000002,196.3,79.19999999999999,0.0,203.9,202.60000000000002
2021-01-17,CA,06083,204.9,196.29999999999998,70.3,0.0,206.29999999999998,204.9
