collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06089,6.1,6.1,36.6,0.0,6.1,6.1
2020-08-09,CA,06089,5.0,4.7,39.0,0.0,5.0,5.0
2020-08-16,CA,06089,5.4,5.4,38.7,0.0,5.4,5.4
2020-08-23,CA,06089,4.3,4.3,37.9,0.0,4.3,4.3
2020-08-30,CA,06089,0.0,0.0,39.4,0.0,0.0,0.0
2020-09-06,CA,06089,0.0,0.0,42.7,0.0,0.0,0.0
2020-09-13,CA,06089,0.0,0.0,39.400000000000006,0.0,0.0,0.0
2020-09-20,CA,06089,4.4,4.0,38.7,0.0,4.4,4.4
2020-09-27,CA,06089,7.3,5.6,40.5,0.0,7.3,7.3
2020-10-04,CA,06089,5.6,4.9,42.400000000000006,0.0,5.6,5.6
2020-10-11,CA,06089,6.7,4.7,42.900000000000006,0.0,6.7,6.7
2020-10-18,CA,06089,9.3,8.4,44.599999999999994,0.0,9.3,9.3
2020-10-25,CA,06089,10.6,9.4,43.7,0.0,10.6,10.6
2020-11-01,CA,06089,12.7,12.4,43.400000000000006,0.0,12.7,12.7
2020-11-08,CA,06089,26.4,22.4,42.3,0.0,26.4,26.4
2020-11-15,CA,06089,33.1,32.0,41.5,0.0,33.1,33.1
2020-11-22,CA,06089,52.7,52.7,40.0,0.0,52.9,52.7
2020-11-29,CA,06089,49.8,49.8,42.0,0.0,49.8,49.8
2020-12-06,CA,06089,50.900000000000006,50.4,37.5,0.0,50.900000000000006,50.900000000000006
2020-12-13,CA,06089,66.7,65.5,43.3,0.0,66.7,66.7
2020-12-20,CA,06089,52.8,51.699999999999996,37.5,0.0,53.699999999999996,52.8
2020-12-27,CA,06089,38.9,38.3,37.2,0.0,39.2,38.9
2021-01-03,CA,06089,44.7,44.6,40.2,0.0,45.3,44.7
2021-01-10,CA,06089,50.300000000000004,49.300000000000004,39.5,0.0,50.5,50.300000000000004
2021-01-17,CA,06089,43.9,43.9,40.0,0.0,44.4,43.9
2021-01-24,CA,06089,35.300000000000004,35.300000000000004,40.8,0.0,35.300000000000004,35.300000000000004
2021-01-31,CA,06089,18.1,18.1,37.5,0.0,18.2,18.1
2021-02-07,CA,06089,14.7,14.7,33.7,0.0,14.7,14.7
2021-02-14,CA,06089,13.7,13.7,33.3,0.0,13.7,13.7
2021-02-21,CA,06089,17.3,16.7,35.8,0.0,17.3,17.3
2021-02-28,CA,06089,13.9,13.9,34.599999999999994,0.0,14.0,13.9
2021-03-07,CA,06089,9.1,9.1,34.5,0.0,9.3,9.1
2021-03-14,CA,06089,7.1,7.0,38.7,0.0,7.1,7.1
2021-03-21,CA,06089,4.1,4.0,40.6,0.0,4.1,4.1
2021-03-28,CA,06089,8.3,8.3,34.7,0.0,8.3,8.3
2021-04-04,CA,06089,6.4,6.3,33.8,0.0,6.4,6.4
2021-04-11,CA,06089,6.3,6.3,38.7,0.0,6.3,6.3
2021-04-18,CA,06089,8.6,8.6,40.0,0.0,8.6,8.6
2021-04-25,CA,06089,8.7,8.6,37.4,0.0,8.7,8.7
2021-05-02,CA,06089,10.0,10.0,37.5,0.0,10.0,10.0
2021-05-09,CA,06089,9.1,9.0,35.3,0.0,9.1,9.1
2021-05-16,CA,06089,11.3,11.1,33.5,0.0,11.3,11.3
2021-05-23,CA,06089,9.4,9.4,31.7,0.0,9.7,9.4
2021-05-30,CA,06089,11.6,11.4,36.400000000000006,0.0,11.6,11.6
2021-06-06,CA,06089,16.2,16.1,32.0,0.0,16.2,16.2
2021-06-13,CA,06089,16.1,16.1,32.5,0.0,16.1,16.1
2021-06-20,CA,06089,8.9,8.9,30.0,0.0,8.9,8.9
2021-06-27,CA,06089,5.0,5.0,33.4,0.0,5.0,5.0
2021-07-04,CA,06089,0.0,0.0,26.5,0.0,0.0,0.0
2021-07-11,CA,06089,8.6,8.6,32.0,0.0,8.7,8.6
2021-07-18,CA,06089,7.7,7.7,32.400000000000006,0.0,7.9,7.7
2021-07-25,CA,06089,11.7,11.7,33.3,0.0,11.7,11.7
2021-08-01,CA,06089,23.7,23.7,33.7,0.0,24.0,23.7
2021-08-08,CA,06089,45.7,45.7,34.8,0.0,45.7,45.7
2021-08-15,CA,06089,71.4,71.3,38.9,0.0,71.4,71.4
2021-08-22,CA,06089,82.2,82.2,41.3,0.0,83.7,82.2
2021-08-29,CA,06089,84.3,84.3,42.400000000000006,0.0,84.9,84.3
2021-09-05,CA,06089,95.6,95.19999999999999,44.7,0.0,95.6,95.6
2021-09-12,CA,06089,83.8,83.7,45.400000000000006,0.0,84.3,83.8
2021-09-19,CA,06089,83.4,83.2,45.900000000000006,0.0,83.7,83.4
2021-09-26,CA,06089,92.0,91.9,44.8,0.0,92.19999999999999,92.0
2021-10-03,CA,06089,73.2,73.2,48.2,0.0,73.2,73.2
2021-10-10,CA,06089,54.6,54.6,40.9,0.0,54.6,54.6
2021-10-17,CA,06089,64.7,64.4,46.8,0.0,64.7,64.7
2021-10-24,CA,06089,84.3,80.0,48.800000000000004,0.0,84.5,84.3
2021-10-31,CA,06089,64.7,64.2,48.4,0.0,64.7,64.7
2021-11-07,CA,06089,52.7,52.4,46.6,0.0,53.0,52.7
2021-11-14,CA,06089,59.599999999999994,59.599999999999994,46.7,0.0,59.599999999999994,59.599999999999994
2021-11-21,CA,06089,55.4,51.6,39.7,0.0,55.4,55.4
2021-11-28,CA,06089,39.4,39.4,44.0,0.0,39.6,39.4
2021-12-05,CA,06089,29.099999999999998,29.099999999999998,46.0,0.0,29.4,29.099999999999998
2021-12-12,CA,06089,25.700000000000003,25.700000000000003,48.2,0.0,26.0,25.700000000000003
2021-12-19,CA,06089,33.4,33.3,43.900000000000006,0.0,33.4,33.4
2021-12-26,CA,06089,41.0,40.8,42.7,0.0,41.2,41.0
