collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06095,55.400000000000006,42.599999999999994,42.1,0.0,55.400000000000006,55.400000000000006
2020-08-09,CA,06095,52.300000000000004,42.599999999999994,42.8,0.0,52.300000000000004,52.300000000000004
2020-08-16,CA,06095,46.50000000000001,41.300000000000004,46.0,0.0,46.50000000000001,46.50000000000001
2020-08-23,CA,06095,35.6,34.0,40.6,0.0,35.6,35.6
2020-08-30,CA,06095,40.6,32.7,43.300000000000004,0.0,40.6,40.6
2020-09-06,CA,06095,37.099999999999994,28.5,42.1,0.0,37.099999999999994,37.099999999999994
2020-09-13,CA,06095,39.1,30.8,45.7,0.0,39.2,39.1
2020-09-20,CA,06095,40.1,18.4,40.7,0.0,40.1,40.1
2020-09-27,CA,06095,28.0,9.0,43.5,0.0,28.0,28.0
2020-10-04,CA,06095,34.3,15.0,47.3,0.0,34.3,34.3
2020-10-11,CA,06095,38.9,21.4,43.800000000000004,0.0,38.9,38.9
2020-10-18,CA,06095,33.1,16.3,50.3,0.0,33.1,33.1
2020-10-25,CA,06095,34.4,24.200000000000003,47.6,0.0,34.4,34.4
2020-11-01,CA,06095,31.1,17.3,44.0,0.0,31.1,31.1
2020-11-08,CA,06095,45.5,33.800000000000004,50.5,0.0,45.5,45.5
2020-11-15,CA,06095,60.1,50.8,53.2,0.0,60.2,60.1
2020-11-22,CA,06095,74.10000000000001,62.800000000000004,51.2,0.0,74.10000000000001,74.10000000000001
2020-11-29,CA,06095,79.5,66.69999999999999,52.0,0.0,79.5,79.5
2020-12-06,CA,06095,92.69999999999999,80.7,57.0,0.0,92.69999999999999,92.69999999999999
2020-12-13,CA,06095,124.0,109.2,69.4,0.0,124.1,124.0
2020-12-20,CA,06095,142.29999999999998,129.3,66.5,0.0,142.29999999999998,142.29999999999998
2020-12-27,CA,06095,155.3,143.6,68.4,0.0,155.3,155.3
2021-01-03,CA,06095,185.20000000000002,172.10000000000002,65.7,0.0,185.5,185.20000000000002
2021-01-10,CA,06095,187.10000000000002,172.7,69.3,0.0,187.50000000000003,187.10000000000002
2021-01-17,CA,06095,175.49999999999997,165.4,61.0,0.0,175.49999999999997,175.49999999999997
2021-01-24,CA,06095,161.29999999999998,150.50000000000003,68.7,0.0,161.29999999999998,161.29999999999998
2021-01-31,CA,06095,129.2,120.9,61.699999999999996,0.0,129.6,129.2
2021-02-07,CA,06095,105.5,95.0,58.2,0.0,105.6,105.5
2021-02-14,CA,06095,95.6,83.49999999999999,56.9,0.0,95.69999999999999,95.6
2021-02-21,CA,06095,65.0,46.7,53.9,0.0,65.0,65.0
2021-02-28,CA,06095,48.7,40.50000000000001,54.9,0.0,48.7,48.7
2021-03-07,CA,06095,30.300000000000004,24.7,48.5,0.0,30.300000000000004,30.300000000000004
2021-03-14,CA,06095,32.8,25.9,50.3,0.0,32.8,32.8
2021-03-21,CA,06095,29.799999999999997,23.6,53.3,0.0,30.1,29.799999999999997
2021-03-28,CA,06095,30.4,21.5,55.3,0.0,31.099999999999998,30.4
2021-04-04,CA,06095,27.5,18.6,51.1,0.0,28.4,27.5
2021-04-11,CA,06095,38.0,29.099999999999998,51.9,0.0,39.0,38.0
2021-04-18,CA,06095,42.699999999999996,35.7,48.0,0.0,43.699999999999996,42.699999999999996
2021-04-25,CA,06095,37.199999999999996,29.600000000000005,40.9,0.0,37.9,37.199999999999996
2021-05-02,CA,06095,33.4,25.6,40.4,0.0,33.4,33.4
2021-05-09,CA,06095,28.4,21.2,40.6,0.0,28.4,28.4
2021-05-16,CA,06095,31.200000000000003,22.200000000000003,44.5,0.0,31.200000000000003,31.200000000000003
2021-05-23,CA,06095,25.6,15.600000000000001,40.6,0.0,25.6,25.6
