collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06103,0,0,4.3,0.0,0,0.0
2020-08-09,CA,06103,0,0,5.6,0.0,0,0.0
2020-08-16,CA,06103,0,0,4.0,0.0,0,0.0
2020-08-23,CA,06103,0,0,5.9,0.0,0,0.0
2020-08-30,CA,06103,0,0,4.4,0.0,0,0.0
2020-09-06,CA,06103,0,0,4.3,0.0,0,0.0
2020-09-13,CA,06103,0,0,4.1,0.0,0,0.0
2020-09-20,CA,06103,0,0,6.0,0.0,0,0.0
2020-09-27,CA,06103,5.1,5.1,7.0,0.0,5.1,5.1
2020-10-04,CA,06103,4.1,4.1,7.6,0.0,4.1,4.1
2020-10-11,CA,06103,0,0,5.7,0.0,0,0.0
2020-10-18,CA,06103,6.4,6.0,6.1,0.0,6.4,6.4
2020-10-25,CA,06103,5.9,5.7,6.9,0.0,5.9,5.9
2020-11-01,CA,06103,0,0,5.9,0.0,0,0.0
2020-11-08,CA,06103,5.7,5.7,6.1,0.0,5.7,5.7
2020-11-15,CA,06103,9.4,9.4,6.6,0.0,9.4,9.4
2020-11-22,CA,06103,10.6,10.6,7.4,0.0,10.6,10.6
2020-11-29,CA,06103,10.6,10.6,7.4,0.0,10.6,10.6
2020-12-06,CA,06103,12.6,12.6,5.9,0.0,12.6,12.6
2020-12-13,CA,06103,10.4,10.4,6.4,0.0,10.4,10.4
2020-12-20,CA,06103,14.0,14.0,6.9,0.0,14.0,14.0
2020-12-27,CA,06103,22.6,22.6,7.9,0.0,22.6,22.6
2021-01-03,CA,06103,16.6,16.6,7.1,0.0,16.6,16.6
2021-01-10,CA,06103,13.1,13.1,7.6,0.0,13.1,13.1
2021-01-17,CA,06103,15.6,15.6,7.1,0.0,15.6,15.6
2021-01-24,CA,06103,10.7,10.7,6.4,0.0,10.7,10.7
2021-01-31,CA,06103,10.6,10.6,7.4,0.0,10.6,10.6
2021-02-07,CA,06103,9.9,9.9,6.7,0.0,9.9,9.9
2021-02-14,CA,06103,4.6,4.6,6.9,0.0,4.6,4.6
2021-02-21,CA,06103,0,0,4.6,0.0,0,0.0
2021-02-28,CA,06103,0,0,4.9,0.0,0,0.0
2021-03-07,CA,06103,4.4,4.4,4.7,0,4.6,4.4
2021-03-14,CA,06103,4.7,4.7,5.7,0.0,4.7,4.7
2021-03-21,CA,06103,4.7,4.7,6.0,0.0,4.7,4.7
2021-03-28,CA,06103,0,0,6.3,0.0,0,0.0
2021-04-04,CA,06103,4.0,4.0,6.3,0.0,4.0,4.0
2021-04-11,CA,06103,0,0,0,0.0,0,0.0
2021-04-18,CA,06103,0,0,0,0.0,0,0.0
2021-04-25,CA,06103,0,0,4.6,0.0,0,0.0
2021-05-02,CA,06103,0,0,6.3,0.0,0,0.0
2021-05-09,CA,06103,0,0,4.7,0.0,0,0.0
2021-05-16,CA,06103,0,0,4.0,0.0,0,0.0
2021-05-23,CA,06103,0,0,0,0.0,0,0.0
2021-05-30,CA,06103,4.4,4.4,5.7,0.0,4.4,4.4
2021-06-06,CA,06103,4.1,4.1,5.3,0.0,4.1,4.1
2021-06-13,CA,06103,0,0,4.6,0.0,0,0.0
2021-06-20,CA,06103,0,0,5.0,0.0,0,0.0
2021-06-27,CA,06103,0.0,0.0,5.4,0.0,0.0,0.0
2021-07-04,CA,06103,0,0,5.3,0.0,0,0.0
2021-07-11,CA,06103,0,0,0,0.0,0,0.0
2021-07-18,CA,06103,0,0,6.3,0.0,0,0.0
2021-07-25,CA,06103,0,0,4.6,0.0,0,0.0
2021-08-01,CA,06103,0,0,0,0.0,0,0.0
2021-08-08,CA,06103,5.6,5.6,6.7,0.0,5.6,5.6
2021-08-15,CA,06103,11.9,11.9,7.1,0.0,11.9,11.9
2021-08-22,CA,06103,15.6,15.6,6.7,0.0,15.6,15.6
2021-08-29,CA,06103,19.3,19.3,7.4,0.0,19.3,19.3
2021-09-05,CA,06103,26.6,26.6,7.3,0.0,26.6,26.6
2021-09-12,CA,06103,28.0,28.0,8.0,0.0,28.0,28.0
2021-09-19,CA,06103,30.9,30.9,7.7,0.0,30.9,30.9
2021-09-26,CA,06103,31.4,31.4,7.1,0.0,31.4,31.4
2021-10-03,CA,06103,24.6,24.6,6.4,0.0,24.6,24.6
2021-10-10,CA,06103,22.4,22.4,6.4,0.0,22.4,22.4
2021-10-17,CA,06103,16.9,16.9,7.1,0.0,16.9,16.9
2021-10-24,CA,06103,21.1,21.1,6.7,0.0,21.1,21.1
2021-10-31,CA,06103,17.0,17.0,6.9,0.0,17.0,17.0
2021-11-07,CA,06103,9.9,9.9,6.3,0.0,9.9,9.9
2021-11-14,CA,06103,7.3,7.3,7.3,0.0,7.3,7.3
2021-11-21,CA,06103,4.7,4.7,4.1,0.0,4.7,4.7
2021-11-28,CA,06103,8.0,8.0,0,0.0,8.0,8.0
2021-12-05,CA,06103,9.4,9.4,5.9,0.0,9.4,9.4
2021-12-12,CA,06103,6.7,6.6,4.6,0.0,6.7,6.7
2021-12-19,CA,06103,9.1,9.1,6.4,0.0,9.1,9.1
2021-12-26,CA,06103,6.1,6.1,7.7,0.0,6.1,6.1
