collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06107,99.6,96.5,37.4,0.0,99.9,99.6
2020-08-09,CA,06107,85.0,81.1,34.9,0.0,86.7,85.0
2020-08-16,CA,06107,63.8,61.0,34.5,0.0,64.1,63.8
2020-08-23,CA,06107,55.5,51.2,37.9,0.0,56.0,55.5
2020-08-30,CA,06107,51.8,49.0,36.4,0.0,51.9,51.8
2020-09-06,CA,06107,56.7,52.3,32.0,0.0,57.300000000000004,56.7
2020-09-13,CA,06107,46.099999999999994,38.1,26.6,0.0,47.0,46.099999999999994
2020-09-20,CA,06107,46.4,36.3,33.4,0.0,47.5,46.4
2020-09-27,CA,06107,44.0,36.1,31.6,0.0,44.0,44.0
2020-10-04,CA,06107,40.4,33.2,27.0,0.0,40.5,40.4
2020-10-11,CA,06107,34.5,28.5,24.3,0.0,34.6,34.5
2020-10-18,CA,06107,32.2,27.4,24.7,0.0,32.8,32.2
2020-10-25,CA,06107,41.9,36.3,32.1,0.0,42.5,41.9
2020-11-01,CA,06107,45.7,38.3,31.900000000000002,0.0,46.3,45.7
2020-11-08,CA,06107,50.2,43.0,31.5,0.0,50.2,50.2
2020-11-15,CA,06107,62.599999999999994,56.3,29.5,0.0,62.699999999999996,62.599999999999994
2020-11-22,CA,06107,79.6,71.6,29.0,0.0,79.6,79.6
2020-11-29,CA,06107,108.39999999999999,101.9,37.3,0.0,109.0,108.39999999999999
2020-12-06,CA,06107,149.3,141.5,42.2,0.0,150.10000000000002,149.3
2020-12-13,CA,06107,183.3,177.6,40.1,0.0,183.3,183.3
2020-12-20,CA,06107,205.8,199.6,41.400000000000006,0.0,206.6,205.8
2020-12-27,CA,06107,228.9,220.7,39.0,0.0,229.1,228.9
2021-01-03,CA,06107,223.0,218.2,44.0,0.0,223.7,223.0
2021-01-10,CA,06107,214.1,206.0,50.099999999999994,0.0,214.1,214.1
2021-01-17,CA,06107,193.6,183.2,41.2,0.0,193.6,193.6
2021-01-24,CA,06107,157.5,151.1,40.7,0.0,157.5,157.5
2021-01-31,CA,06107,145.39999999999998,137.60000000000002,44.8,0.0,145.39999999999998,145.39999999999998
