collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CA,06113,4.2,4.0,10.3,0.0,4.2,4.2
2020-08-09,CA,06113,0,0,5.6,0.0,0,0.0
2020-08-16,CA,06113,6.0,6.0,6.7,0.0,6.0,6.0
2020-08-23,CA,06113,4.9,4.9,0,0.0,4.9,4.9
2020-08-30,CA,06113,0,0,9.1,0.0,0,0.0
2020-09-06,CA,06113,5.0,4.9,11.100000000000001,0.0,5.0,5.0
2020-09-13,CA,06113,0,0,10.2,0.0,0,0.0
2020-09-20,CA,06113,0,0,5.0,0.0,0,0.0
2020-09-27,CA,06113,0,0,9.3,0.0,0,0.0
2020-10-04,CA,06113,0,0,0,0.0,0,0.0
2020-10-11,CA,06113,0,0,7.1,0.0,0,0.0
2020-10-18,CA,06113,5.1,5.1,7.4,0.0,5.1,5.1
2020-10-25,CA,06113,6.9,6.9,11.5,0.0,6.9,6.9
2020-11-01,CA,06113,0,0,5.4,0.0,0,0.0
2020-11-08,CA,06113,4.7,4.7,6.3,0.0,4.7,4.7
2020-11-15,CA,06113,14.0,13.8,12.899999999999999,0.0,14.0,14.0
2020-11-22,CA,06113,16.6,16.6,12.5,0.0,16.6,16.6
2020-11-29,CA,06113,19.200000000000003,19.200000000000003,15.0,0.0,19.200000000000003,19.200000000000003
2020-12-06,CA,06113,23.3,23.3,15.4,0.0,23.3,23.3
2020-12-13,CA,06113,24.4,24.3,18.0,0.0,24.4,24.4
2020-12-20,CA,06113,33.4,26.4,15.1,0.0,36.0,33.4
2020-12-27,CA,06113,24.700000000000003,24.700000000000003,12.9,0.0,24.700000000000003,24.700000000000003
2021-01-03,CA,06113,30.1,30.0,14.8,0.0,30.299999999999997,30.1
2021-01-10,CA,06113,29.099999999999998,29.099999999999998,14.3,0.0,29.099999999999998,29.099999999999998
2021-01-17,CA,06113,30.7,30.7,17.8,0.0,30.7,30.7
2021-01-24,CA,06113,22.9,22.6,17.3,0.0,22.9,22.9
2021-01-31,CA,06113,8.6,8.6,9.3,0.0,8.6,8.6
2021-02-07,CA,06113,7.6,7.6,12.5,0.0,7.6,7.6
2021-02-14,CA,06113,7.3,7.3,13.6,0.0,7.3,7.3
2021-02-21,CA,06113,8.6,8.6,13.2,0.0,8.6,8.6
2021-02-28,CA,06113,6.7,6.7,13.9,0.0,6.7,6.7
2021-03-07,CA,06113,0,0,12.6,0.0,0,0.0
2021-03-14,CA,06113,0,0,12.0,0.0,0,0.0
2021-03-21,CA,06113,0,0,10.0,0.0,0,0.0
2021-03-28,CA,06113,0,0,11.9,0.0,0,0.0
2021-04-04,CA,06113,0,0,5.1,0.0,0,0.0
2021-04-11,CA,06113,0,0,10.0,0.0,0,0.0
2021-04-18,CA,06113,0,0,9.8,0.0,0,0.0
2021-04-25,CA,06113,0,0,4.3,0.0,0,0.0
2021-05-02,CA,06113,0,0,9.0,0.0,0,0.0
2021-05-09,CA,06113,0,0,10.100000000000001,0.0,0,0.0
2021-05-16,CA,06113,0,0,5.6,0.0,0,0.0
2021-05-23,CA,06113,0,0,10.4,0.0,0,0.0
2021-05-30,CA,06113,0,0,6.7,0.0,0,0.0
2021-06-06,CA,06113,0.0,0.0,5.6,0.0,0.0,0.0
