collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08005,25.7,14.299999999999999,79.4,0.0,25.7,25.7
2020-08-09,CO,08005,27.7,14.5,81.8,0.0,27.7,27.7
2020-08-16,CO,08005,24.0,12.0,79.6,0.0,24.3,24.0
2020-08-23,CO,08005,16.4,5.1,83.30000000000001,0.0,16.4,16.4
2020-08-30,CO,08005,17.0,4.4,91.39999999999999,0.0,17.0,17.0
2020-09-06,CO,08005,18.0,9.899999999999999,103.4,0.0,18.0,18.0
2020-09-13,CO,08005,24.5,5.1,97.6,0.0,24.700000000000003,24.5
2020-09-20,CO,08005,25.1,5.6,102.7,0.0,25.300000000000004,25.1
2020-09-27,CO,08005,22.900000000000002,11.0,107.60000000000001,0.0,22.900000000000002,22.900000000000002
2020-10-04,CO,08005,28.4,16.4,112.1,0.0,28.9,28.4
2020-10-11,CO,08005,37.7,26.500000000000004,111.5,0.0,38.099999999999994,37.7
2020-10-18,CO,08005,47.5,38.0,111.6,0.0,47.5,47.5
2020-10-25,CO,08005,64.4,52.3,104.5,0.0,64.5,64.4
2020-11-01,CO,08005,89.8,82.0,117.0,0.0,89.8,89.8
2020-11-08,CO,08005,119.1,108.19999999999999,120.6,0.0,120.4,119.1
2020-11-15,CO,08005,148.3,134.6,126.6,0.0,149.0,148.3
2020-11-22,CO,08005,160.29999999999998,149.6,122.7,0.0,160.29999999999998,160.29999999999998
2020-11-29,CO,08005,172.5,159.9,124.89999999999999,0.0,172.5,172.5
2020-12-06,CO,08005,159.10000000000002,150.2,122.9,0.0,159.10000000000002,159.10000000000002
2020-12-13,CO,08005,153.5,144.29999999999998,127.4,0.0,153.70000000000002,153.5
2020-12-20,CO,08005,117.69999999999999,113.19999999999999,113.6,0.0,118.0,117.69999999999999
2020-12-27,CO,08005,107.69999999999999,102.5,116.0,0.0,108.1,107.69999999999999
2021-01-03,CO,08005,90.0,83.3,107.9,0.0,90.0,90.0
2021-01-10,CO,08005,93.4,86.3,107.3,0.0,93.60000000000001,93.4
2021-01-17,CO,08005,92.4,87.5,104.2,0.0,92.4,92.4
2021-01-24,CO,08005,75.1,71.0,107.6,0.0,75.1,75.1
2021-01-31,CO,08005,65.6,60.5,105.4,0.0,65.89999999999999,65.6
2021-02-07,CO,08005,56.4,52.800000000000004,101.7,0.0,57.0,56.4
2021-02-14,CO,08005,56.599999999999994,50.7,106.0,0.0,57.599999999999994,56.599999999999994
2021-02-21,CO,08005,51.00000000000001,47.300000000000004,107.8,0.0,52.00000000000001,51.00000000000001
2021-02-28,CO,08005,37.5,35.599999999999994,100.6,0.0,38.5,37.5
2021-03-07,CO,08005,38.2,35.6,101.2,0.0,38.2,38.2
2021-03-14,CO,08005,31.0,28.2,96.6,0.0,31.0,31.0
2021-03-21,CO,08005,27.9,22.6,98.7,0.0,27.9,27.9
2021-03-28,CO,08005,36.8,32.6,95.5,0.0,36.8,36.8
2021-04-04,CO,08005,38.1,34.599999999999994,103.39999999999999,0.0,38.4,38.1
2021-04-11,CO,08005,52.4,50.0,111.2,0.0,52.6,52.4
2021-04-18,CO,08005,52.300000000000004,49.89999999999999,113.0,0.0,52.300000000000004,52.300000000000004
2021-04-25,CO,08005,59.89999999999999,58.1,113.8,0.0,59.99999999999999,59.89999999999999
2021-05-02,CO,08005,56.2,54.0,117.2,0.0,56.9,56.2
2021-05-09,CO,08005,55.8,51.9,116.8,0.0,56.3,55.8
2021-05-16,CO,08005,51.4,49.6,100.5,0.0,52.6,51.4
2021-05-23,CO,08005,44.0,42.1,104.0,0.0,45.1,44.0
2021-05-30,CO,08005,36.0,35.3,103.2,0.0,36.0,36.0
2021-06-06,CO,08005,28.299999999999997,26.4,97.0,0.0,28.299999999999997,28.299999999999997
2021-06-13,CO,08005,24.1,22.9,98.7,0.0,24.1,24.1
2021-06-20,CO,08005,19.7,18.3,93.8,0.0,19.7,19.7
2021-06-27,CO,08005,26.700000000000003,25.0,98.2,0.0,26.700000000000003,26.700000000000003
2021-07-04,CO,08005,28.400000000000002,27.7,98.5,0.0,28.700000000000003,28.400000000000002
2021-07-11,CO,08005,26.099999999999998,25.200000000000003,104.2,0.0,26.099999999999998,26.099999999999998
2021-07-18,CO,08005,26.3,24.5,100.6,0.0,26.3,26.3
2021-07-25,CO,08005,30.500000000000004,28.700000000000003,97.7,0.0,30.500000000000004,30.500000000000004
2021-08-01,CO,08005,35.6,32.4,102.3,0.0,35.699999999999996,35.6
2021-08-08,CO,08005,46.6,45.2,104.9,0.0,46.6,46.6
2021-08-15,CO,08005,58.300000000000004,57.1,105.6,0.0,58.300000000000004,58.300000000000004
2021-08-22,CO,08005,63.5,62.1,104.3,0.0,63.5,63.5
2021-08-29,CO,08005,77.10000000000001,76.1,104.2,0.0,78.0,77.10000000000001
2021-09-05,CO,08005,88.0,86.29999999999998,109.9,0.0,88.5,88.0
2021-09-12,CO,08005,85.50000000000001,84.0,115.6,0.0,85.50000000000001,85.50000000000001
2021-09-19,CO,08005,92.39999999999999,89.7,113.9,0.0,92.39999999999999,92.39999999999999
