collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08013,12.2,9.2,19.4,0.0,12.2,12.2
2020-08-09,CO,08013,12.4,8.2,19.6,0.0,12.4,12.4
2020-08-16,CO,08013,8.0,4.3,18.3,0.0,8.3,8.0
2020-08-23,CO,08013,8.0,5.2,19.1,0.0,8.0,8.0
2020-08-30,CO,08013,10.5,7.3,30.3,0.0,10.5,10.5
2020-09-06,CO,08013,10.2,4.8,28.099999999999998,0.0,10.2,10.2
2020-09-13,CO,08013,9.8,6.3,32.099999999999994,0.0,10.0,9.8
2020-09-20,CO,08013,16.1,13.0,47.1,0.0,16.6,16.1
2020-09-27,CO,08013,16.9,9.3,45.199999999999996,0.0,17.0,16.9
2020-10-04,CO,08013,30.0,16.8,51.7,0.0,30.199999999999996,30.0
2020-10-11,CO,08013,43.5,27.700000000000003,48.900000000000006,0.0,43.5,43.5
2020-10-18,CO,08013,47.199999999999996,29.1,48.3,0.0,48.199999999999996,47.199999999999996
2020-10-25,CO,08013,67.8,52.099999999999994,52.0,0.0,68.39999999999999,67.8
2020-11-01,CO,08013,82.0,67.6,54.4,0.0,82.4,82.0
2020-11-08,CO,08013,99.89999999999999,81.39999999999998,55.4,0.0,100.3,99.89999999999999
2020-11-15,CO,08013,107.6,92.3,56.7,0.0,108.4,107.6
2020-11-22,CO,08013,126.7,117.79999999999998,63.6,0.0,127.2,126.7
2020-11-29,CO,08013,115.0,106.60000000000001,62.69999999999999,0.0,115.0,115.0
2020-12-06,CO,08013,83.69999999999999,77.10000000000001,59.6,0.0,83.69999999999999,83.69999999999999
2020-12-13,CO,08013,89.5,83.0,56.7,0.0,90.0,89.5
2020-12-20,CO,08013,81.8,74.5,53.9,0.0,82.0,81.8
2020-12-27,CO,08013,75.8,64.4,47.2,0.0,76.1,75.8
2021-01-03,CO,08013,58.300000000000004,51.900000000000006,44.5,0.0,58.300000000000004,58.300000000000004
2021-01-10,CO,08013,39.8,37.5,44.4,0.0,39.8,39.8
2021-01-17,CO,08013,36.7,34.1,40.2,0.0,36.7,36.7
2021-01-24,CO,08013,25.0,23.7,50.9,0.0,25.0,25.0
2021-01-31,CO,08013,24.200000000000003,20.4,53.0,0.0,24.200000000000003,24.200000000000003
2021-02-07,CO,08013,28.7,25.7,46.9,0.0,29.0,28.7
