collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08041,38.6,32.5,43.7,5.2,45.400000000000006,43.800000000000004
2020-08-09,CO,08041,26.5,22.0,41.4,9.0,35.5,35.5
2020-08-16,CO,08041,23.4,19.5,42.3,0.0,24.799999999999997,23.4
2020-08-23,CO,08041,21.0,14.3,44.3,4.4,25.400000000000002,25.4
2020-08-30,CO,08041,20.7,14.399999999999999,75.2,4.7,25.4,25.4
2020-09-06,CO,08041,18.4,13.7,74.3,0.0,18.4,18.4
2020-09-13,CO,08041,21.8,16.200000000000003,71.3,4.9,26.700000000000003,26.700000000000003
2020-09-20,CO,08041,22.7,15.6,87.19999999999999,0.0,22.7,22.7
2020-09-27,CO,08041,22.5,17.700000000000003,88.5,0.0,22.5,22.5
2020-10-04,CO,08041,35.4,25.5,77.0,6.6,42.2,42.0
2020-10-11,CO,08041,49.1,38.1,78.3,4.6,53.7,53.7
2020-10-18,CO,08041,53.4,45.1,81.2,4.3,57.7,57.699999999999996
2020-10-25,CO,08041,76.0,66.9,80.0,5.3,81.5,81.3
2020-11-01,CO,08041,92.6,84.7,114.0,4.6,97.2,97.19999999999999
2020-11-08,CO,08041,132.1,115.5,119.3,0.0,132.5,132.1
2020-11-15,CO,08041,186.6,169.1,99.2,6.1,193.39999999999998,192.7
2020-11-22,CO,08041,234.5,221.89999999999998,129.1,0.0,234.5,234.5
2020-11-29,CO,08041,288.79999999999995,264.3,134.2,4.0,293.5,292.79999999999995
2020-12-06,CO,08041,265.4,245.10000000000002,134.0,6.9,272.7,272.29999999999995
2020-12-13,CO,08041,231.4,208.9,121.0,4.9,237.5,236.3
2020-12-20,CO,08041,213.0,192.8,108.6,4.4,218.5,217.4
2020-12-27,CO,08041,182.0,154.39999999999998,108.5,5.1,188.1,187.1
2021-01-03,CO,08041,153.0,135.9,93.80000000000001,4.6,158.9,157.6
2021-01-10,CO,08041,125.19999999999999,112.39999999999999,90.1,4.0,130.2,129.2
2021-01-17,CO,08041,97.19999999999999,88.5,89.69999999999999,4.1,101.3,101.29999999999998
2021-01-24,CO,08041,89.69999999999999,83.0,87.4,5.3,95.0,94.99999999999999
2021-01-31,CO,08041,78.80000000000001,71.0,84.0,0.0,79.0,78.80000000000001
2021-02-07,CO,08041,70.8,65.0,97.89999999999999,0.0,71.0,70.8
2021-02-14,CO,08041,68.1,60.099999999999994,95.1,0.0,68.4,68.1
2021-02-21,CO,08041,74.4,64.80000000000001,100.6,4.7,80.0,79.10000000000001
2021-02-28,CO,08041,48.4,39.6,91.5,4.0,53.4,52.4
2021-03-07,CO,08041,49.2,39.2,97.5,0.0,49.900000000000006,49.2
2021-03-14,CO,08041,64.2,54.599999999999994,96.19999999999999,4.9,69.1,69.10000000000001
2021-03-21,CO,08041,60.2,55.0,95.1,0.0,60.2,60.2
2021-03-28,CO,08041,58.599999999999994,53.900000000000006,94.0,4.9,63.5,63.49999999999999
2021-04-04,CO,08041,67.1,63.400000000000006,104.80000000000001,6.1,73.2,73.19999999999999
2021-04-11,CO,08041,70.80000000000001,66.1,96.80000000000001,4.3,75.1,75.10000000000001
2021-04-18,CO,08041,102.4,93.19999999999999,107.6,4.4,107.2,106.80000000000001
2021-04-25,CO,08041,120.69999999999999,110.30000000000001,117.5,5.1,126.60000000000001,125.79999999999998
2021-05-02,CO,08041,126.6,117.6,113.5,7.1,135.0,133.7
2021-05-09,CO,08041,120.7,111.0,112.8,0.0,121.6,120.7
2021-05-16,CO,08041,58.1,54.9,90.1,0.0,58.1,58.1
2021-05-23,CO,08041,57.6,53.0,88.1,0.0,57.6,57.6
2021-05-30,CO,08041,44.0,40.7,82.7,4.3,48.3,48.3
2021-06-06,CO,08041,38.9,34.7,86.5,6.4,45.3,45.3
2021-06-13,CO,08041,42.7,38.0,89.0,0.0,42.7,42.7
2021-06-20,CO,08041,36.4,33.3,76.5,4.7,41.1,41.1
2021-06-27,CO,08041,30.1,27.6,80.7,0.0,30.1,30.1
2021-07-04,CO,08041,33.4,30.0,85.6,0.0,33.4,33.4
2021-07-11,CO,08041,34.4,28.7,85.5,5.3,39.699999999999996,39.699999999999996
2021-07-18,CO,08041,33.9,30.7,78.5,4.0,37.9,37.9
2021-07-25,CO,08041,33.0,31.0,80.6,5.0,38.0,38.0
2021-08-01,CO,08041,54.800000000000004,44.7,93.30000000000001,4.0,58.800000000000004,58.800000000000004
2021-08-08,CO,08041,60.699999999999996,57.0,93.3,4.1,64.8,64.8
2021-08-15,CO,08041,64.39999999999999,60.3,92.0,6.0,70.69999999999999,70.39999999999999
2021-08-22,CO,08041,66.7,61.9,94.89999999999999,6.0,73.1,72.7
2021-08-29,CO,08041,86.0,80.3,99.0,7.3,93.3,93.3
2021-09-05,CO,08041,103.4,98.0,105.69999999999999,11.1,115.8,114.5
2021-09-12,CO,08041,159.3,151.6,122.1,7.6,167.89999999999998,166.9
2021-09-19,CO,08041,157.5,148.7,118.6,10.0,168.6,167.5
2021-09-26,CO,08041,169.0,160.0,130.4,7.6,177.79999999999998,176.6
2021-10-03,CO,08041,174.20000000000002,163.29999999999998,139.6,9.9,185.70000000000002,184.10000000000002
2021-10-10,CO,08041,189.7,172.4,140.3,8.4,199.70000000000002,198.1
2021-10-17,CO,08041,211.0,197.5,140.7,6.6,219.0,217.6
2021-10-24,CO,08041,210.29999999999998,200.79999999999998,142.6,10.1,221.09999999999997,220.39999999999998
2021-10-31,CO,08041,201.79999999999998,192.6,136.2,11.4,214.4,213.2
2021-11-07,CO,08041,224.09999999999997,216.7,115.1,10.1,235.39999999999998,234.19999999999996
2021-11-14,CO,08041,234.29999999999998,226.00000000000003,101.30000000000001,9.7,245.7,243.99999999999997
2021-11-21,CO,08041,215.70000000000002,210.50000000000003,97.80000000000001,8.4,225.3,224.10000000000002
2021-11-28,CO,08041,217.1,208.8,100.6,10.1,228.39999999999998,227.2
2021-12-05,CO,08041,225.89999999999998,214.1,100.3,11.7,240.3,237.59999999999997
2021-12-12,CO,08041,203.6,194.89999999999998,102.9,8.6,214.0,212.2
2021-12-19,CO,08041,181.2,174.2,95.30000000000001,7.6,189.8,188.79999999999998
2021-12-26,CO,08041,174.3,166.8,101.3,7.0,182.4,181.3
