collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08059,19.3,10.5,24.4,0.0,19.9,19.3
2020-08-09,CO,08059,18.6,8.0,23.0,0.0,20.4,18.6
2020-08-16,CO,08059,22.0,10.0,26.3,0.0,22.3,22.0
2020-08-23,CO,08059,19.9,13.5,30.6,0.0,20.1,19.9
2020-08-30,CO,08059,16.5,9.7,56.5,0.0,16.8,16.5
2020-09-06,CO,08059,13.8,0.0,74.6,0.0,14.2,13.8
2020-09-13,CO,08059,23.0,5.3,71.9,0.0,23.3,23.0
2020-09-20,CO,08059,23.5,12.100000000000001,65.7,0.0,23.5,23.5
2020-09-27,CO,08059,24.299999999999997,14.0,74.0,0.0,24.7,24.299999999999997
2020-10-04,CO,08059,36.8,20.0,70.4,0.0,37.0,36.8
2020-10-11,CO,08059,37.400000000000006,25.0,72.7,0.0,37.7,37.400000000000006
2020-10-18,CO,08059,46.6,30.6,69.80000000000001,0.0,47.4,46.6
2020-10-25,CO,08059,69.9,47.6,85.1,0.0,72.0,69.9
2020-11-01,CO,08059,88.9,70.9,89.5,0.0,89.6,88.9
2020-11-08,CO,08059,108.1,87.80000000000001,90.7,0.0,108.4,108.1
2020-11-15,CO,08059,127.2,108.3,89.7,0.0,128.3,127.2
2020-11-22,CO,08059,131.1,116.0,85.30000000000001,0.0,132.0,131.1
2020-11-29,CO,08059,129.3,112.5,82.9,0.0,129.5,129.3
2020-12-06,CO,08059,110.6,95.4,84.1,0.0,111.0,110.6
2020-12-13,CO,08059,103.7,82.69999999999999,81.7,0.0,104.2,103.7
2020-12-20,CO,08059,90.8,70.69999999999999,78.9,0.0,91.3,90.8
2020-12-27,CO,08059,72.7,53.900000000000006,75.0,0.0,72.9,72.7
2021-01-03,CO,08059,55.3,41.900000000000006,82.3,0.0,55.3,55.3
2021-01-10,CO,08059,56.6,46.099999999999994,77.9,0.0,56.7,56.6
2021-01-17,CO,08059,50.4,43.5,69.0,0.0,51.0,50.4
2021-01-24,CO,08059,34.7,26.4,58.4,0.0,34.7,34.7
2021-01-31,CO,08059,35.5,29.299999999999997,61.3,0.0,35.7,35.5
2021-02-07,CO,08059,35.7,29.7,67.3,0.0,36.0,35.7
2021-02-14,CO,08059,37.8,34.3,57.4,0.0,38.099999999999994,37.8
2021-02-21,CO,08059,46.300000000000004,38.0,77.6,0.0,46.400000000000006,46.300000000000004
2021-02-28,CO,08059,32.2,26.799999999999997,59.900000000000006,0.0,32.400000000000006,32.2
2021-03-07,CO,08059,24.4,19.299999999999997,69.0,0.0,24.4,24.4
2021-03-14,CO,08059,31.6,22.0,78.30000000000001,0.0,31.6,31.6
2021-03-21,CO,08059,26.5,20.7,69.2,0.0,26.8,26.5
2021-03-28,CO,08059,26.3,20.200000000000003,64.6,0.0,26.3,26.3
2021-04-04,CO,08059,27.8,22.5,63.0,0.0,28.099999999999998,27.8
2021-04-11,CO,08059,41.8,37.0,73.6,0.0,41.8,41.8
2021-04-18,CO,08059,48.6,42.1,74.0,0.0,48.900000000000006,48.6
2021-04-25,CO,08059,52.599999999999994,47.0,86.19999999999999,0.0,52.9,52.599999999999994
2021-05-02,CO,08059,63.7,57.7,87.6,0.0,64.1,63.7
2021-05-09,CO,08059,55.9,50.6,83.6,0.0,56.2,55.9
2021-05-16,CO,08059,37.8,35.400000000000006,53.3,0.0,37.9,37.8
2021-05-23,CO,08059,26.7,25.200000000000003,48.599999999999994,0.0,26.7,26.7
2021-05-30,CO,08059,28.4,25.7,39.2,0.0,28.4,28.4
2021-06-06,CO,08059,19.0,16.200000000000003,38.8,0.0,19.200000000000003,19.0
2021-06-13,CO,08059,15.9,14.6,38.0,0.0,15.9,15.9
2021-06-20,CO,08059,14.0,12.3,37.2,0.0,14.0,14.0
2021-06-27,CO,08059,12.399999999999999,6.9,38.2,0.0,12.5,12.399999999999999
