collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08077,15.6,13.6,17.2,0.0,15.6,15.6
2020-08-09,CO,08077,9.0,7.2,16.0,0.0,9.0,9.0
2020-08-16,CO,08077,7.3,6.3,20.3,0.0,7.3,7.3
2020-08-23,CO,08077,4.6,4.6,17.8,0.0,4.8,4.6
2020-08-30,CO,08077,4.8,0.0,13.3,0.0,4.8,4.8
2020-09-06,CO,08077,6.2,4.8,18.2,0.0,6.2,6.2
2020-09-13,CO,08077,0.0,0.0,19.0,0.0,0.0,0.0
2020-09-20,CO,08077,0.0,0.0,16.3,0.0,4.0,0.0
2020-09-27,CO,08077,0,0,15.4,0.0,4.0,0.0
2020-10-04,CO,08077,0,0,14.5,0.0,0,0.0
2020-10-11,CO,08077,10.2,9.2,18.9,0.0,10.399999999999999,10.2
2020-10-18,CO,08077,14.7,12.7,18.7,0.0,15.0,14.7
2020-10-25,CO,08077,19.8,16.0,17.9,0.0,19.9,19.8
2020-11-01,CO,08077,22.1,20.7,18.9,0.0,23.1,22.1
2020-11-08,CO,08077,33.2,32.0,21.3,0.0,34.3,33.2
2020-11-15,CO,08077,46.8,45.3,23.9,0.0,47.4,46.8
2020-11-22,CO,08077,47.7,46.1,22.4,0.0,48.0,47.7
2020-11-29,CO,08077,51.0,50.599999999999994,18.3,0.0,51.3,51.0
2020-12-06,CO,08077,51.0,49.6,20.3,0.0,51.0,51.0
2020-12-13,CO,08077,53.3,52.6,25.7,0.0,53.599999999999994,53.3
2020-12-20,CO,08077,41.900000000000006,41.400000000000006,25.7,0.0,42.400000000000006,41.900000000000006
2020-12-27,CO,08077,46.8,44.900000000000006,22.3,0.0,47.099999999999994,46.8
2021-01-03,CO,08077,39.4,37.199999999999996,19.7,0.0,39.9,39.4
2021-01-10,CO,08077,36.9,35.6,19.4,0.0,37.1,36.9
2021-01-17,CO,08077,37.300000000000004,36.3,22.4,0.0,37.300000000000004,37.300000000000004
2021-01-24,CO,08077,24.5,23.700000000000003,21.4,0.0,25.0,24.5
2021-01-31,CO,08077,30.0,29.6,17.6,0.0,30.0,30.0
2021-02-07,CO,08077,25.6,24.1,19.1,0.0,25.6,25.6
2021-02-14,CO,08077,17.4,16.9,20.6,0.0,17.9,17.4
2021-02-21,CO,08077,17.7,15.6,21.0,0.0,18.1,17.7
2021-02-28,CO,08077,17.0,16.3,21.7,0.0,17.3,17.0
2021-03-07,CO,08077,14.0,14.0,20.3,0.0,15.0,14.0
2021-03-14,CO,08077,9.0,7.7,18.4,0.0,10.0,9.0
2021-03-21,CO,08077,11.6,9.1,16.1,0.0,12.7,11.6
2021-03-28,CO,08077,4.1,0.0,23.1,0.0,5.1,4.1
2021-04-04,CO,08077,0,0,24.1,0.0,4.4,0.0
2021-04-11,CO,08077,7.4,5.4,24.3,0.0,8.4,7.4
2021-04-18,CO,08077,11.3,10.4,21.0,0.0,12.3,11.3
2021-04-25,CO,08077,15.3,13.7,23.4,0.0,16.4,15.3
2021-05-02,CO,08077,23.2,22.2,22.1,0.0,24.0,23.2
2021-05-09,CO,08077,16.9,16.0,25.3,0.0,17.9,16.9
2021-05-16,CO,08077,19.0,18.5,26.0,0.0,19.700000000000003,19.0
2021-05-23,CO,08077,30.2,29.400000000000002,26.7,0.0,30.2,30.2
2021-05-30,CO,08077,34.0,33.5,32.1,0.0,34.0,34.0
2021-06-06,CO,08077,43.300000000000004,42.9,27.9,0.0,43.6,43.300000000000004
2021-06-13,CO,08077,46.8,45.9,33.3,0.0,47.1,46.8
2021-06-20,CO,08077,38.9,37.9,27.1,0.0,38.9,38.9
2021-06-27,CO,08077,34.3,34.0,26.6,0.0,34.3,34.3
2021-07-04,CO,08077,40.400000000000006,40.3,29.0,0.0,40.7,40.400000000000006
2021-07-11,CO,08077,32.3,32.1,23.7,0.0,33.1,32.3
2021-07-18,CO,08077,24.200000000000003,23.299999999999997,21.3,0.0,25.299999999999997,24.200000000000003
