collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08101,0.0,0.0,0,0.0,0,0.0
2020-08-09,CO,08101,0.0,0.0,0,0.0,4.8,0.0
2020-08-16,CO,08101,4.2,4.2,0,0,4.4,4.2
2020-08-23,CO,08101,4.8,4.8,0,0.0,4.8,4.8
2020-08-30,CO,08101,6.3,6.3,0,0.0,6.3,6.3
2020-09-06,CO,08101,7.8,7.8,37.0,0.0,7.8,7.8
2020-09-13,CO,08101,6.2,6.2,45.4,0.0,6.2,6.2
2020-09-20,CO,08101,6.4,6.4,40.4,0.0,6.4,6.4
2020-09-27,CO,08101,10.6,10.6,44.5,0.0,10.6,10.6
2020-10-04,CO,08101,9.0,8.8,40.0,0.0,9.7,9.0
2020-10-11,CO,08101,12.3,12.1,49.9,0.0,12.6,12.3
2020-10-18,CO,08101,20.4,20.4,44.5,0.0,20.4,20.4
2020-10-25,CO,08101,32.7,32.6,39.1,0.0,32.7,32.7
2020-11-01,CO,08101,56.5,55.5,46.5,0.0,56.5,56.5
2020-11-08,CO,08101,76.2,75.0,48.7,0.0,76.2,76.2
2020-11-15,CO,08101,116.9,114.9,48.5,0.0,116.9,116.9
2020-11-22,CO,08101,137.0,136.8,50.1,0.0,137.0,137.0
2020-11-29,CO,08101,149.20000000000002,146.0,51.0,0.0,149.20000000000002,149.20000000000002
2020-12-06,CO,08101,138.1,135.7,46.5,0.0,138.1,138.1
2020-12-13,CO,08101,129.4,127.5,42.3,0.0,129.4,129.4
2020-12-20,CO,08101,107.19999999999999,103.7,50.0,0.0,107.19999999999999,107.19999999999999
2020-12-27,CO,08101,82.4,79.0,49.4,0.0,82.4,82.4
2021-01-03,CO,08101,60.5,56.6,47.4,0.0,60.5,60.5
2021-01-10,CO,08101,50.5,48.7,48.5,0.0,50.5,50.5
2021-01-17,CO,08101,40.0,37.6,44.7,0.0,40.0,40.0
2021-01-24,CO,08101,29.0,28.9,43.3,0.0,29.0,29.0
2021-01-31,CO,08101,20.3,19.0,36.6,0.0,20.3,20.3
2021-02-07,CO,08101,9.9,9.3,37.7,0.0,10.1,9.9
2021-02-14,CO,08101,7.6,7.4,42.6,0.0,7.6,7.6
2021-02-21,CO,08101,6.9,6.9,46.7,0.0,6.9,6.9
2021-02-28,CO,08101,7.1,7.1,41.300000000000004,0.0,7.1,7.1
2021-03-07,CO,08101,0,0,33.3,0.0,0,0.0
2021-03-14,CO,08101,6.3,5.9,31.9,0.0,6.3,6.3
2021-03-21,CO,08101,10.3,9.4,34.6,0.0,10.9,10.3
2021-03-28,CO,08101,21.1,21.1,37.6,0.0,21.3,21.1
2021-04-04,CO,08101,24.7,24.7,44.6,0.0,25.0,24.7
2021-04-11,CO,08101,28.1,28.1,44.800000000000004,0.0,28.7,28.1
2021-04-18,CO,08101,33.0,33.0,43.1,0.0,33.1,33.0
2021-04-25,CO,08101,39.9,39.1,43.2,0.0,40.0,39.9
2021-05-02,CO,08101,39.3,38.6,38.9,0.0,39.3,39.3
2021-05-09,CO,08101,35.0,35.0,39.6,0.0,35.1,35.0
2021-05-16,CO,08101,47.2,45.4,66.7,0.0,47.2,47.2
2021-05-23,CO,08101,40.3,38.3,63.800000000000004,0.0,40.3,40.3
2021-05-30,CO,08101,38.5,35.1,61.3,0.0,38.5,38.5
2021-06-06,CO,08101,29.599999999999998,28.0,63.800000000000004,0.0,29.599999999999998,29.599999999999998
2021-06-13,CO,08101,29.700000000000003,28.6,60.7,0.0,29.799999999999997,29.700000000000003
2021-06-20,CO,08101,29.1,27.9,61.6,0.0,29.4,29.1
2021-06-27,CO,08101,28.5,25.8,63.9,0.0,28.7,28.5
2021-07-04,CO,08101,26.3,23.0,58.7,0.0,26.4,26.3
2021-07-11,CO,08101,18.8,13.1,59.5,0.0,19.0,18.8
2021-07-18,CO,08101,17.3,16.4,60.699999999999996,0.0,17.3,17.3
2021-07-25,CO,08101,16.7,15.6,63.3,0.0,17.0,16.7
2021-08-01,CO,08101,20.8,20.1,62.3,0.0,20.8,20.8
2021-08-08,CO,08101,34.3,32.4,63.7,0.0,34.3,34.3
2021-08-15,CO,08101,44.3,41.4,65.3,0.0,44.7,44.3
2021-08-22,CO,08101,49.2,46.0,66.3,0.0,49.7,49.2
2021-08-29,CO,08101,50.9,49.0,62.400000000000006,0.0,51.5,50.9
2021-09-05,CO,08101,53.9,53.0,51.7,0.0,54.6,53.9
2021-09-12,CO,08101,45.599999999999994,44.9,44.599999999999994,0.0,46.199999999999996,45.599999999999994
2021-09-19,CO,08101,48.400000000000006,43.300000000000004,47.0,0.0,48.400000000000006,48.400000000000006
2021-09-26,CO,08101,50.7,49.800000000000004,45.8,0.0,51.1,50.7
2021-10-03,CO,08101,56.9,56.599999999999994,46.7,0.0,56.9,56.9
2021-10-10,CO,08101,70.3,70.3,48.900000000000006,0.0,70.3,70.3
2021-10-17,CO,08101,71.7,71.3,48.5,0.0,71.7,71.7
2021-10-24,CO,08101,75.6,74.1,47.4,0.0,75.6,75.6
2021-10-31,CO,08101,91.3,89.69999999999999,49.2,0.0,91.3,91.3
2021-11-07,CO,08101,110.5,110.0,50.4,0.0,110.5,110.5
2021-11-14,CO,08101,123.4,122.4,51.7,0.0,123.5,123.4
2021-11-21,CO,08101,120.0,119.6,52.7,0.0,120.0,120.0
2021-11-28,CO,08101,108.7,108.6,54.2,0.0,109.0,108.7
2021-12-05,CO,08101,96.5,96.0,53.4,0.0,97.60000000000001,96.5
2021-12-12,CO,08101,77.1,76.7,48.3,0.0,77.6,77.1
2021-12-19,CO,08101,64.0,61.5,43.4,0.0,64.4,64.0
2021-12-26,CO,08101,58.3,57.4,46.7,0.0,59.3,58.3
