collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-16,CO,08117,0,0.0,0.0,0.0,0,0.0
2020-08-23,CO,08117,0,0.0,0.0,0.0,0,0.0
2020-08-30,CO,08117,0,0.0,0.0,0.0,0,0.0
2020-09-06,CO,08117,0,0.0,0.0,0.0,0,0.0
2020-09-13,CO,08117,0,0,0.0,0.0,0,0.0
2020-09-20,CO,08117,0,0,0.0,0.0,0,0.0
2020-09-27,CO,08117,0,0,0.0,0.0,0,0.0
2020-10-04,CO,08117,0,0,0.0,0.0,0,0.0
2020-10-11,CO,08117,0,0.0,0.0,0.0,0,0.0
2020-10-18,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,CO,08117,0,0,0.0,0.0,0,0.0
2020-11-01,CO,08117,0,0,0.0,0.0,0,0.0
2020-11-08,CO,08117,0,0,0.0,0.0,0,0.0
2020-11-15,CO,08117,0,0,0.0,0.0,0,0.0
2020-11-22,CO,08117,0,0,0.0,0.0,0,0.0
2020-11-29,CO,08117,0,0,0.0,0.0,0,0.0
2020-12-06,CO,08117,0,0,0.0,0.0,0,0.0
2020-12-13,CO,08117,0,0,0.0,0.0,0,0.0
2020-12-20,CO,08117,0,0,0.0,0.0,0,0.0
2020-12-27,CO,08117,0,0,0.0,0,0,0.0
2021-01-03,CO,08117,0,0,0.0,0.0,0,0.0
2021-01-10,CO,08117,0,0,0.0,0.0,0,0.0
2021-01-17,CO,08117,0,0,0.0,0.0,0,0.0
2021-01-24,CO,08117,0,0,0.0,0.0,0,0.0
2021-01-31,CO,08117,0,0,0.0,0,0,0.0
2021-02-07,CO,08117,0,0,0.0,0.0,0,0.0
2021-02-14,CO,08117,0,0,0.0,0.0,0,0.0
2021-02-21,CO,08117,0,0,0.0,0.0,0,0.0
2021-02-28,CO,08117,0,0.0,0.0,0.0,0,0.0
2021-03-07,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,CO,08117,0,0,0.0,0.0,0,0.0
2021-03-21,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,CO,08117,0,0,0.0,0.0,0,0.0
2021-04-04,CO,08117,0,0,0.0,0.0,0,0.0
2021-04-11,CO,08117,0,0.0,0.0,0.0,0,0.0
2021-04-18,CO,08117,0,0,0.0,0.0,0,0.0
2021-04-25,CO,08117,0,0.0,0.0,0.0,0,0.0
2021-05-02,CO,08117,0,0.0,0.0,0.0,0,0.0
2021-05-09,CO,08117,0,0,0.0,0.0,0,0.0
2021-05-16,CO,08117,19.3,16.6,43.9,0.0,19.3,19.3
2021-05-23,CO,08117,18.1,13.4,47.0,0.0,18.1,18.1
2021-05-30,CO,08117,23.4,16.9,46.0,0.0,23.4,23.4
2021-06-06,CO,08117,16.4,10.9,49.4,0.0,16.4,16.4
2021-06-13,CO,08117,11.9,7.0,51.1,0.0,11.9,11.9
2021-06-20,CO,08117,8.4,5.0,44.1,0.0,8.4,8.4
2021-06-27,CO,08117,11.0,7.0,49.7,0.0,11.0,11.0
2021-07-04,CO,08117,14.6,8.9,54.1,0.0,14.6,14.6
2021-07-11,CO,08117,10.1,6.1,53.0,0.0,10.1,10.1
2021-07-18,CO,08117,10.3,5.9,49.0,0.0,10.3,10.3
2021-07-25,CO,08117,14.1,10.4,51.9,0.0,14.1,14.1
2021-08-01,CO,08117,16.0,12.3,49.6,0.0,16.0,16.0
2021-08-08,CO,08117,16.1,12.9,53.7,0.0,16.1,16.1
2021-08-15,CO,08117,17.9,15.9,52.0,0.0,17.9,17.9
2021-08-22,CO,08117,16.1,13.9,53.4,0.0,16.1,16.1
2021-08-29,CO,08117,20.3,14.3,53.0,0.0,20.3,20.3
2021-09-05,CO,08117,10.1,6.4,23.0,0.0,10.1,10.1
2021-09-12,CO,08117,0,0,0.0,0.0,0,0.0
2021-09-19,CO,08117,0,0,0.0,0.0,0,0.0
2021-09-26,CO,08117,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-03,CO,08117,0,0,0.0,0.0,0,0.0
2021-10-10,CO,08117,0,0,0.0,0.0,0,0.0
2021-10-17,CO,08117,0,0,0.0,0.0,0,0.0
2021-10-24,CO,08117,0,0,0.0,0.0,0,0.0
2021-10-31,CO,08117,0,0,0.0,0.0,0,0.0
2021-11-07,CO,08117,0,0,0.0,0.0,0,0.0
2021-11-14,CO,08117,0,0,0.0,0.0,0,0.0
2021-11-21,CO,08117,0,0,0.0,0.0,0,0.0
2021-11-28,CO,08117,0,0,0.0,0.0,0,0.0
2021-12-05,CO,08117,0,0,0.0,0.0,0,0.0
2021-12-12,CO,08117,0,0,0.0,0.0,0,0.0
2021-12-19,CO,08117,0,0,0.0,0.0,0,0.0
2021-12-26,CO,08117,0,0,0.0,0.0,0,0.0
