collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09007,13.6,5.6,20.4,0.0,13.6,13.6
2020-08-09,CT,09007,17.0,7.2,17.4,0.0,17.0,17.0
2020-08-16,CT,09007,13.3,4.7,17.5,0.0,13.3,13.3
2020-08-23,CT,09007,13.4,0,19.7,0.0,13.4,13.4
2020-08-30,CT,09007,11.1,4.4,18.7,0.0,11.1,11.1
2020-09-06,CT,09007,6.6,0,18.0,0.0,6.6,6.6
2020-09-13,CT,09007,10.6,0,18.6,0.0,10.6,10.6
2020-09-20,CT,09007,9.1,0,20.7,0.0,9.1,9.1
2020-09-27,CT,09007,12.6,4.3,19.6,0.0,12.6,12.6
2020-10-04,CT,09007,16.6,5.4,16.9,0.0,16.6,16.6
2020-10-11,CT,09007,14.6,6.3,21.0,0.0,14.6,14.6
2020-10-18,CT,09007,15.1,0,20.7,0.0,15.1,15.1
2020-10-25,CT,09007,14.6,4.3,21.3,0.0,14.6,14.6
2020-11-01,CT,09007,13.6,6.6,21.3,0.0,13.6,13.6
2020-11-08,CT,09007,23.1,12.0,21.4,0.0,23.1,23.1
2020-11-15,CT,09007,36.6,20.6,20.7,0.0,36.6,36.6
2020-11-22,CT,09007,55.6,24.1,22.0,0.0,55.6,55.6
2020-11-29,CT,09007,50.6,27.6,21.0,0.0,50.6,50.6
2020-12-06,CT,09007,49.4,28.3,20.0,0.0,49.4,49.4
2020-12-13,CT,09007,69.9,42.4,22.4,0.0,69.9,69.9
2020-12-20,CT,09007,71.3,53.4,22.3,0.0,71.3,71.3
2020-12-27,CT,09007,77.9,58.7,22.7,0.0,77.9,77.9
2021-01-03,CT,09007,76.1,56.6,21.9,0.0,76.1,76.1
2021-01-10,CT,09007,70.1,52.3,21.9,0.0,70.1,70.1
2021-01-17,CT,09007,51.3,38.0,21.3,0.0,51.3,51.3
2021-01-24,CT,09007,42.4,29.4,19.1,0.0,42.4,42.4
2021-01-31,CT,09007,36.1,23.1,14.7,0.0,36.1,36.1
2021-02-07,CT,09007,27.6,14.9,20.7,0.0,27.6,27.6
2021-02-14,CT,09007,24.6,13.7,21.7,0.0,24.6,24.6
2021-02-21,CT,09007,24.3,13.7,21.9,0.0,24.3,24.3
2021-02-28,CT,09007,23.6,12.6,23.0,0.0,23.6,23.6
2021-03-07,CT,09007,18.3,9.4,21.7,0.0,18.3,18.3
2021-03-14,CT,09007,25.0,14.7,22.0,0.0,25.0,25.0
2021-03-21,CT,09007,19.9,13.1,22.9,0.0,19.9,19.9
2021-03-28,CT,09007,16.4,11.3,22.9,0.0,16.4,16.4
2021-04-04,CT,09007,21.7,16.7,22.4,0.0,21.7,21.7
2021-04-11,CT,09007,16.7,13.6,22.6,0.0,16.7,16.7
2021-04-18,CT,09007,14.7,10.6,21.4,0.0,14.7,14.7
2021-04-25,CT,09007,15.0,10.4,20.7,0.0,15.0,15.0
2021-05-02,CT,09007,10.6,7.1,18.9,0.0,10.6,10.6
2021-05-09,CT,09007,8.9,4.7,21.3,0.0,8.9,8.9
2021-05-16,CT,09007,6.9,0,19.9,0.0,6.9,6.9
2021-05-23,CT,09007,5.6,0,19.0,0.0,5.6,5.6
2021-05-30,CT,09007,0,0,19.7,0.0,0,0.0
2021-06-06,CT,09007,0,0,18.6,0.0,0,0.0
2021-06-13,CT,09007,4.6,0,21.1,0.0,4.6,4.6
2021-06-20,CT,09007,0,0,18.0,0.0,0,0.0
2021-06-27,CT,09007,0,0,16.9,0.0,0,0.0
2021-07-04,CT,09007,0,0,21.4,0.0,0,0.0
2021-07-11,CT,09007,0,0,20.1,0.0,0,0.0
2021-07-18,CT,09007,0,0,20.1,0.0,0,0.0
2021-07-25,CT,09007,0,0,20.7,0.0,0,0.0
2021-08-01,CT,09007,7.7,4.3,21.7,0.0,7.7,7.7
2021-08-08,CT,09007,14.1,11.1,20.7,0.0,14.1,14.1
2021-08-15,CT,09007,16.9,14.1,20.4,0.0,16.9,16.9
2021-08-22,CT,09007,12.7,9.0,20.7,0.0,12.7,12.7
2021-08-29,CT,09007,13.6,11.1,20.9,0.0,13.6,13.6
2021-09-05,CT,09007,18.3,15.9,22.7,0.0,18.3,18.3
2021-09-12,CT,09007,19.6,18.0,22.9,0.0,19.6,19.6
2021-09-19,CT,09007,15.4,14.3,22.4,0.0,15.4,15.4
2021-09-26,CT,09007,9.4,7.1,20.0,0.0,9.4,9.4
2021-10-03,CT,09007,11.0,8.7,20.1,0.0,11.0,11.0
2021-10-10,CT,09007,12.1,9.4,22.7,0,12.6,12.1
