collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09009,43.9,18.5,180.7,0.0,47.50000000000001,43.9
2020-08-09,CT,09009,24.9,8.8,170.79999999999998,0.0,26.299999999999997,24.9
2020-08-16,CT,09009,31.0,15.5,173.9,0.0,33.0,31.0
2020-08-23,CT,09009,30.4,15.4,173.09999999999997,0.0,31.799999999999997,30.4
2020-08-30,CT,09009,33.699999999999996,11.9,179.5,0.0,35.0,33.699999999999996
2020-09-06,CT,09009,27.700000000000003,8.7,181.8,0.0,29.200000000000003,27.700000000000003
2020-09-13,CT,09009,39.9,12.4,191.2,0.0,40.9,39.9
2020-09-20,CT,09009,28.3,7.7,192.0,0.0,31.3,28.3
2020-09-27,CT,09009,41.1,12.1,196.8,0.0,42.300000000000004,41.1
2020-10-04,CT,09009,53.800000000000004,26.799999999999997,186.89999999999998,0.0,55.800000000000004,53.800000000000004
2020-10-11,CT,09009,77.3,39.2,187.29999999999998,4.6,81.9,81.89999999999999
2020-10-18,CT,09009,79.6,52.3,188.6,5.1,84.7,84.69999999999999
2020-10-25,CT,09009,116.9,90.10000000000001,188.4,6.7,123.60000000000001,123.60000000000001
2020-11-01,CT,09009,161.70000000000002,127.30000000000001,200.3,0.0,165.0,161.70000000000002
2020-11-08,CT,09009,260.3,231.9,201.10000000000002,5.1,265.5,265.40000000000003
2020-11-15,CT,09009,331.5,304.8,208.39999999999998,4.1,335.6,335.6
2020-11-22,CT,09009,363.3,342.4,218.59999999999997,4.3,367.6,367.6
2020-11-29,CT,09009,410.90000000000003,383.90000000000003,220.6,4.0,414.90000000000003,414.90000000000003
2020-12-06,CT,09009,435.1,406.0,251.4,0.0,438.8,435.1
2020-12-13,CT,09009,392.40000000000003,376.90000000000003,248.79999999999998,0.0,395.90000000000003,392.40000000000003
2020-12-20,CT,09009,362.5,347.40000000000003,254.70000000000002,0.0,365.3,362.5
2020-12-27,CT,09009,348.0,330.5,252.9,0.0,350.90000000000003,348.0
2021-01-03,CT,09009,326.99999999999994,306.1,245.90000000000003,0.0,329.09999999999997,326.99999999999994
2021-01-10,CT,09009,312.6,298.2,242.8,5.1,317.7,317.70000000000005
2021-01-17,CT,09009,338.3,324.3,254.39999999999998,4.4,342.90000000000003,342.7
2021-01-24,CT,09009,298.5,286.5,251.40000000000003,0.0,301.4,298.5
2021-01-31,CT,09009,283.9,271.3,252.5,0.0,286.2,283.9
2021-02-07,CT,09009,255.40000000000003,240.89999999999998,251.4,0.0,259.2,255.40000000000003
2021-02-14,CT,09009,199.89999999999998,189.9,237.0,0.0,202.1,199.89999999999998
2021-02-21,CT,09009,171.29999999999998,159.1,227.79999999999998,0.0,172.89999999999998,171.29999999999998
2021-02-28,CT,09009,166.9,154.49999999999997,233.2,5.3,172.20000000000002,172.20000000000002
2021-03-07,CT,09009,181.70000000000002,169.10000000000002,232.4,4.4,186.10000000000002,186.10000000000002
2021-03-14,CT,09009,177.3,165.5,227.7,0.0,180.9,177.3
2021-03-21,CT,09009,208.1,200.79999999999998,236.3,0.0,210.8,208.1
2021-03-28,CT,09009,227.5,215.6,232.09999999999997,6.1,233.7,233.6
2021-04-04,CT,09009,213.29999999999998,200.5,236.1,0.0,216.29999999999998,213.29999999999998
2021-04-11,CT,09009,210.1,197.59999999999997,233.7,0.0,213.0,210.1
2021-04-18,CT,09009,189.60000000000002,178.2,243.2,0.0,193.20000000000002,189.60000000000002
2021-04-25,CT,09009,150.5,138.7,229.60000000000002,0.0,154.0,150.5
2021-05-02,CT,09009,119.00000000000001,110.99999999999999,224.9,4.6,123.7,123.60000000000001
2021-05-09,CT,09009,83.9,68.9,217.60000000000002,4.4,88.3,88.30000000000001
2021-05-16,CT,09009,46.0,40.0,201.7,0.0,48.2,46.0
2021-05-23,CT,09009,31.4,23.6,182.7,0.0,34.4,31.4
2021-05-30,CT,09009,22.9,17.3,196.2,0.0,25.6,22.9
2021-06-06,CT,09009,21.9,13.9,229.9,0.0,23.7,21.9
2021-06-13,CT,09009,15.3,7.9,199.9,0.0,16.3,15.3
2021-06-20,CT,09009,17.0,5.9,192.39999999999998,0.0,17.9,17.0
2021-06-27,CT,09009,13.9,5.7,199.5,0.0,15.3,13.9
2021-07-04,CT,09009,15.9,7.7,209.39999999999998,0.0,17.6,15.9
2021-07-11,CT,09009,16.0,8.6,202.5,0.0,17.3,16.0
2021-07-18,CT,09009,23.799999999999997,16.6,211.1,0.0,24.799999999999997,23.799999999999997
2021-07-25,CT,09009,34.1,25.0,200.5,0.0,36.1,34.1
2021-08-01,CT,09009,67.9,55.3,196.2,0.0,70.0,67.9
2021-08-08,CT,09009,86.9,75.7,198.1,0.0,89.1,86.9
2021-08-15,CT,09009,106.8,97.30000000000001,200.4,0.0,108.69999999999999,106.8
2021-08-22,CT,09009,103.19999999999999,95.49999999999999,206.8,0.0,105.8,103.19999999999999
2021-08-29,CT,09009,120.3,110.3,210.7,0.0,122.3,120.3
2021-09-05,CT,09009,107.5,98.39999999999999,206.6,0.0,109.19999999999999,107.5
2021-09-12,CT,09009,86.19999999999999,75.0,217.89999999999998,0.0,87.89999999999999,86.19999999999999
2021-09-19,CT,09009,71.4,63.6,211.0,0.0,72.9,71.4
2021-09-26,CT,09009,60.4,53.2,205.00000000000003,0.0,62.599999999999994,60.4
2021-10-03,CT,09009,62.6,54.6,206.6,0.0,65.4,62.6
