collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09011,8.2,0,22.200000000000003,0.0,8.2,8.2
2020-08-09,CT,09011,11.2,0,24.6,0.0,11.2,11.2
2020-08-16,CT,09011,7.0,0,25.4,0.0,7.0,7.0
2020-08-23,CT,09011,7.9,0,23.700000000000003,0.0,8.0,7.9
2020-08-30,CT,09011,16.1,4.1,24.1,0.0,16.1,16.1
2020-09-06,CT,09011,13.4,4.0,26.0,0.0,13.4,13.4
2020-09-13,CT,09011,9.0,0,23.4,0.0,9.1,9.0
2020-09-20,CT,09011,18.4,5.9,23.700000000000003,0.0,18.5,18.4
2020-09-27,CT,09011,25.299999999999997,17.4,26.5,0.0,25.5,25.299999999999997
2020-10-04,CT,09011,36.0,26.299999999999997,24.1,0.0,36.0,36.0
2020-10-11,CT,09011,31.0,22.4,23.0,0.0,31.0,31.0
2020-10-18,CT,09011,30.200000000000003,23.0,24.6,0.0,30.200000000000003,30.200000000000003
2020-10-25,CT,09011,32.8,20.4,23.3,0.0,32.8,32.8
2020-11-01,CT,09011,31.299999999999997,21.6,26.799999999999997,0.0,31.299999999999997,31.299999999999997
2020-11-08,CT,09011,40.099999999999994,31.5,25.6,0.0,40.4,40.099999999999994
2020-11-15,CT,09011,48.3,41.6,24.799999999999997,0.0,48.5,48.3
2020-11-22,CT,09011,60.3,50.1,27.299999999999997,0.0,60.3,60.3
2020-11-29,CT,09011,65.1,55.9,28.200000000000003,0.0,65.3,65.1
2020-12-06,CT,09011,72.4,61.0,27.900000000000002,0.0,72.4,72.4
2020-12-13,CT,09011,87.9,77.7,30.9,0.0,88.19999999999999,87.9
2020-12-20,CT,09011,81.1,71.7,26.7,0.0,81.1,81.1
2020-12-27,CT,09011,93.5,83.80000000000001,28.1,0.0,93.5,93.5
2021-01-03,CT,09011,97.9,90.4,32.900000000000006,0.0,98.30000000000001,97.9
2021-01-10,CT,09011,101.3,92.0,31.599999999999998,0.0,101.3,101.3
2021-01-17,CT,09011,98.0,89.3,32.1,0.0,98.19999999999999,98.0
2021-01-24,CT,09011,87.6,81.6,32.0,0.0,87.6,87.6
2021-01-31,CT,09011,65.5,61.3,30.3,0.0,65.5,65.5
2021-02-07,CT,09011,48.0,43.0,30.299999999999997,0.0,48.0,48.0
2021-02-14,CT,09011,34.9,30.6,27.099999999999998,0.0,35.0,34.9
2021-02-21,CT,09011,33.0,27.6,26.9,0.0,34.0,33.0
2021-02-28,CT,09011,26.5,21.799999999999997,25.5,0.0,26.8,26.5
2021-03-07,CT,09011,14.0,11.600000000000001,27.0,0.0,14.0,14.0
2021-03-14,CT,09011,16.9,15.6,28.7,0.0,16.9,16.9
2021-03-21,CT,09011,16.0,14.5,28.0,0.0,16.1,16.0
2021-03-28,CT,09011,16.0,14.4,25.6,0.0,16.1,16.0
2021-04-04,CT,09011,19.6,18.799999999999997,29.5,0.0,19.7,19.6
2021-04-11,CT,09011,17.0,15.6,28.0,0.0,17.1,17.0
2021-04-18,CT,09011,25.799999999999997,22.4,27.200000000000003,0.0,26.6,25.799999999999997
2021-04-25,CT,09011,22.5,21.2,27.200000000000003,0.0,22.700000000000003,22.5
2021-05-02,CT,09011,24.6,22.2,27.700000000000003,0.0,25.0,24.6
2021-05-09,CT,09011,21.700000000000003,19.1,26.8,0.0,22.0,21.700000000000003
2021-05-16,CT,09011,15.3,10.3,26.5,0.0,15.7,15.3
2021-05-23,CT,09011,11.8,4.7,25.3,0.0,11.8,11.8
2021-05-30,CT,09011,0,0,23.5,0.0,0,0.0
2021-06-06,CT,09011,0,0,25.1,0.0,0,0.0
2021-06-13,CT,09011,0,0,28.1,0.0,0,0.0
2021-06-20,CT,09011,0,0.0,26.6,0.0,0,0.0
2021-06-27,CT,09011,0,0.0,24.9,0.0,0,0.0
2021-07-04,CT,09011,0,0.0,23.200000000000003,0.0,0,0.0
2021-07-11,CT,09011,0,0.0,26.3,0.0,0,0.0
2021-07-18,CT,09011,9.2,0,26.6,0.0,9.2,9.2
2021-07-25,CT,09011,13.4,8.0,28.700000000000003,0.0,13.7,13.4
2021-08-01,CT,09011,16.200000000000003,15.600000000000001,23.8,0.0,16.200000000000003,16.200000000000003
2021-08-08,CT,09011,15.6,14.0,27.200000000000003,0.0,15.6,15.6
2021-08-15,CT,09011,21.6,19.799999999999997,28.200000000000003,0.0,21.7,21.6
2021-08-22,CT,09011,31.5,30.400000000000002,30.5,0.0,31.5,31.5
2021-08-29,CT,09011,28.6,27.1,29.200000000000003,0.0,28.6,28.6
2021-09-05,CT,09011,30.599999999999998,29.5,29.400000000000002,0.0,30.799999999999997,30.599999999999998
2021-09-12,CT,09011,26.0,25.200000000000003,30.5,0.0,26.1,26.0
2021-09-19,CT,09011,25.0,23.6,28.3,0.0,25.3,25.0
2021-09-26,CT,09011,27.3,25.200000000000003,28.5,0.0,27.6,27.3
2021-10-03,CT,09011,29.9,27.299999999999997,28.0,0.0,30.0,29.9
2021-10-10,CT,09011,30.0,28.7,28.5,0.0,30.1,30.0
2021-10-17,CT,09011,22.1,20.9,28.7,0.0,22.1,22.1
2021-10-24,CT,09011,23.0,21.4,28.0,0.0,23.0,23.0
2021-10-31,CT,09011,22.7,21.8,26.5,0.0,22.7,22.7
2021-11-07,CT,09011,24.1,23.0,28.3,0.0,24.299999999999997,24.1
2021-11-14,CT,09011,34.8,33.1,28.5,0.0,34.8,34.8
2021-11-21,CT,09011,38.3,37.599999999999994,29.099999999999998,0.0,38.5,38.3
2021-11-28,CT,09011,38.2,37.099999999999994,29.0,0.0,38.2,38.2
2021-12-05,CT,09011,44.0,43.0,30.200000000000003,0.0,44.3,44.0
2021-12-12,CT,09011,53.599999999999994,52.4,32.7,0.0,53.8,53.599999999999994
2021-12-19,CT,09011,65.0,63.400000000000006,32.3,0.0,65.0,65.0
2021-12-26,CT,09011,74.2,73.3,31.8,0.0,74.6,74.2
