collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-09,CT,09013,0.0,0.0,4.4,0.0,0.0,0.0
2020-08-16,CT,09013,0.0,0.0,4.3,0.0,0.0,0.0
2020-08-23,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-30,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-06,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-13,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-20,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-27,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-04,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-11,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-18,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-25,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-08,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-15,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-22,CT,09013,6.0,4.1,4.9,0.0,6.0,6.0
2020-11-29,CT,09013,5.1,0.0,4.1,0.0,5.1,5.1
2020-12-06,CT,09013,5.9,5.0,0.0,0.0,5.9,5.9
2020-12-13,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-20,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-27,CT,09013,5.6,5.0,6.0,0.0,5.6,5.6
2021-01-03,CT,09013,6.7,6.3,5.3,0.0,6.7,6.7
2021-01-10,CT,09013,7.0,6.7,4.4,0.0,7.0,7.0
2021-01-17,CT,09013,6.6,5.4,4.6,0.0,6.6,6.6
2021-01-24,CT,09013,11.6,10.9,4.9,0.0,11.7,11.6
2021-01-31,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-07,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-14,CT,09013,0.0,0.0,4.0,0.0,0.0,0.0
2021-02-21,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-07,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-14,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-21,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-28,CT,09013,0.0,0.0,5.4,0.0,0.0,0.0
2021-04-04,CT,09013,0.0,0.0,5.9,0.0,0.0,0.0
2021-04-11,CT,09013,0.0,0.0,5.0,0.0,0.0,0.0
2021-04-18,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-25,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-02,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-09,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-16,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-23,CT,09013,0.0,0.0,0.0,0.0,0.0,0.0
