collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-08-09,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-08-16,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-08-23,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-08-30,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-09-06,CT,09015,0,0.0,0.0,0.0,0,0.0
2020-09-13,CT,09015,0,0,4.3,0.0,0,0.0
2020-09-20,CT,09015,0,0,0.0,0.0,0,0.0
2020-09-27,CT,09015,0,0,0.0,0.0,0,0.0
2020-10-04,CT,09015,4.6,0,0.0,0.0,4.6,4.6
2020-10-11,CT,09015,10.7,0,0.0,0.0,10.7,10.7
2020-10-18,CT,09015,4.3,0,0.0,0.0,4.3,4.3
2020-10-25,CT,09015,5.3,0,0.0,0.0,5.3,5.3
2020-11-01,CT,09015,10.9,7.9,0.0,0.0,10.9,10.9
2020-11-08,CT,09015,9.0,5.4,0.0,0.0,9.0,9.0
2020-11-15,CT,09015,7.3,5.4,0.0,0.0,7.3,7.3
2020-11-22,CT,09015,8.4,6.4,4.9,0.0,8.4,8.4
2020-11-29,CT,09015,18.8,15.3,0.0,0.0,18.8,18.8
2020-12-06,CT,09015,18.200000000000003,15.8,0.0,0.0,18.200000000000003,18.200000000000003
2020-12-13,CT,09015,21.1,18.200000000000003,4.0,0.0,21.1,21.1
2020-12-20,CT,09015,25.700000000000003,23.5,5.1,0.0,25.700000000000003,25.700000000000003
2020-12-27,CT,09015,27.0,24.0,5.6,0.0,27.0,27.0
2021-01-03,CT,09015,35.8,31.799999999999997,5.0,0.0,35.8,35.8
