collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,DC,11001,124.1,85.89999999999999,228.8,12.6,137.39999999999998,136.7
2020-08-09,DC,11001,136.89999999999998,102.6,232.89999999999998,12.7,150.79999999999998,149.59999999999997
2020-08-16,DC,11001,118.5,84.9,230.79999999999995,13.7,132.89999999999998,132.2
2020-08-23,DC,11001,117.30000000000001,87.2,239.4,11.0,128.4,128.3
2020-08-30,DC,11001,110.3,70.69999999999999,234.8,11.1,122.1,121.39999999999999
2020-09-06,DC,11001,121.8,85.89999999999999,243.29999999999998,10.9,133.7,132.7
2020-09-13,DC,11001,123.10000000000001,81.2,243.2,14.6,138.20000000000002,137.70000000000002
2020-09-20,DC,11001,126.2,88.80000000000001,252.1,14.1,140.6,140.3
2020-09-27,DC,11001,134.3,84.5,262.9,13.3,148.50000000000003,147.60000000000002
2020-10-04,DC,11001,131.89999999999998,92.0,244.0,14.3,149.39999999999998,146.2
2020-10-11,DC,11001,111.10000000000001,78.4,250.0,12.4,126.30000000000001,123.50000000000001
2020-10-18,DC,11001,127.70000000000002,87.5,257.6,9.9,140.8,137.60000000000002
2020-10-25,DC,11001,151.4,101.19999999999999,264.0,13.7,168.29999999999998,165.1
2020-11-01,DC,11001,128.1,84.9,263.7,12.9,143.9,141.0
2020-11-08,DC,11001,166.39999999999998,117.4,277.5,17.0,185.7,183.39999999999998
2020-11-15,DC,11001,192.0,129.0,275.1,20.3,212.6,212.3
2020-11-22,DC,11001,211.3,144.6,263.3,18.799999999999997,231.5,230.10000000000002
2020-11-29,DC,11001,208.70000000000002,171.3,269.8,18.6,231.2,227.3
2020-12-06,DC,11001,232.0,196.39999999999998,280.8,22.6,259.40000000000003,254.6
2020-12-13,DC,11001,276.4,235.20000000000002,287.2,25.2,303.2,301.59999999999997
2020-12-20,DC,11001,268.5,227.1,260.7,28.299999999999997,299.6,296.8
2020-12-27,DC,11001,263.6,220.8,260.40000000000003,26.1,294.59999999999997,289.70000000000005
2021-01-03,DC,11001,298.5,255.7,265.0,27.2,329.50000000000006,325.7
2021-01-10,DC,11001,318.8,279.7,276.90000000000003,27.5,350.20000000000005,346.3
2021-01-17,DC,11001,311.3,260.59999999999997,266.9,34.4,351.3,345.7
2021-01-24,DC,11001,299.8,244.9,268.1,28.5,332.4,328.3
2021-01-31,DC,11001,292.3,238.60000000000002,268.8,20.299999999999997,316.5,312.6
2021-02-07,DC,11001,266.0,223.20000000000002,265.5,18.7,292.1,284.7
2021-02-14,DC,11001,243.2,203.89999999999998,271.4,11.7,259.5,254.89999999999998
2021-02-21,DC,11001,220.2,183.0,283.8,21.1,245.9,241.29999999999998
2021-02-28,DC,11001,196.3,155.7,272.70000000000005,18.7,219.9,215.0
2021-03-07,DC,11001,190.2,151.8,269.0,16.7,211.1,206.89999999999998
2021-03-14,DC,11001,178.2,137.8,264.29999999999995,25.099999999999998,203.3,203.29999999999998
2021-03-21,DC,11001,154.5,122.3,263.4,25.8,183.6,180.3
2021-03-28,DC,11001,154.5,118.39999999999999,254.8,24.0,181.1,178.5
2021-04-04,DC,11001,157.79999999999998,122.19999999999999,257.9,23.0,181.5,180.79999999999998
2021-04-11,DC,11001,159.0,123.4,264.5,21.0,180.2,180.0
2021-04-18,DC,11001,164.5,130.3,240.7,25.0,190.0,189.5
2021-04-25,DC,11001,142.3,108.4,264.1,21.6,164.0,163.9
2021-05-02,DC,11001,135.5,103.0,259.0,22.0,158.2,157.5
2021-05-09,DC,11001,120.1,88.6,258.6,27.0,148.6,147.1
2021-05-16,DC,11001,100.9,68.4,261.4,20.8,122.8,121.7
2021-05-23,DC,11001,97.0,58.4,258.1,21.2,118.6,118.2
2021-05-30,DC,11001,83.4,52.4,261.29999999999995,24.1,108.5,107.5
2021-06-06,DC,11001,57.8,38.599999999999994,262.2,20.0,78.5,77.8
2021-06-13,DC,11001,59.400000000000006,34.8,256.5,16.0,78.80000000000001,75.4
2021-06-20,DC,11001,44.5,25.3,255.8,8.3,53.7,52.8
2021-06-27,DC,11001,41.5,24.200000000000003,251.1,0.0,45.4,41.5
2021-07-04,DC,11001,36.199999999999996,13.899999999999999,248.40000000000003,0.0,38.699999999999996,36.199999999999996
2021-07-11,DC,11001,38.599999999999994,11.6,256.7,0.0,39.9,38.599999999999994
2021-07-18,DC,11001,45.099999999999994,19.0,248.39999999999998,0.0,47.0,45.099999999999994
2021-07-25,DC,11001,44.9,21.5,256.5,0.0,46.8,44.9
2021-08-01,DC,11001,47.0,27.299999999999997,259.8,5.4,53.7,52.4
2021-08-08,DC,11001,73.0,50.6,272.1,9.1,88.0,82.1
2021-08-15,DC,11001,95.5,75.19999999999999,261.8,14.3,112.0,109.8
2021-08-22,DC,11001,124.30000000000001,100.30000000000001,261.5,15.9,143.9,140.20000000000002
2021-08-29,DC,11001,111.1,86.2,264.5,11.9,125.9,123.0
2021-09-05,DC,11001,112.7,90.80000000000001,264.0,21.0,136.20000000000002,133.7
2021-09-12,DC,11001,117.20000000000002,97.3,256.6,20.4,140.3,137.60000000000002
2021-09-19,DC,11001,118.8,95.2,259.4,19.6,139.8,138.4
2021-09-26,DC,11001,117.7,87.9,252.0,12.7,134.39999999999998,130.4
2021-10-03,DC,11001,107.4,77.6,249.90000000000003,22.9,130.29999999999998,130.3
2021-10-10,DC,11001,84.80000000000001,57.7,253.39999999999998,11.3,101.30000000000001,96.10000000000001
2021-10-17,DC,11001,76.3,56.5,254.7,7.3,87.5,83.6
2021-10-24,DC,11001,65.8,44.4,246.9,6.0,73.89999999999999,71.8
2021-10-31,DC,11001,53.400000000000006,33.3,243.3,5.4,60.099999999999994,58.800000000000004
2021-11-07,DC,11001,52.3,36.0,246.10000000000002,4.0,58.2,56.3
2021-11-14,DC,11001,61.3,38.5,249.39999999999998,5.9,70.8,67.2
2021-11-21,DC,11001,71.8,45.7,236.5,6.9,82.0,78.7
2021-11-28,DC,11001,80.2,56.6,242.10000000000002,8.9,91.80000000000001,89.10000000000001
2021-12-05,DC,11001,107.69999999999999,80.39999999999999,251.6,15.6,127.69999999999999,123.29999999999998
2021-12-12,DC,11001,135.0,103.69999999999999,254.7,16.7,157.2,151.7
2021-12-19,DC,11001,200.79999999999998,164.79999999999998,239.0,23.0,228.7,223.79999999999998
2021-12-26,DC,11001,444.6,390.40000000000003,248.7,63.4,508.1,508.0
