collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,DE,10001,18.6,11.1,26.7,0.0,18.6,18.6
2020-08-09,DE,10001,16.3,9.6,26.5,0.0,16.3,16.3
2020-08-16,DE,10001,19.6,8.1,25.2,0.0,19.6,19.6
2020-08-23,DE,10001,11.1,7.9,24.3,0.0,11.1,11.1
2020-08-30,DE,10001,9.1,6.3,26.3,0.0,9.1,9.1
2020-09-06,DE,10001,6.3,4.9,26.0,0,6.6,6.3
2020-09-13,DE,10001,9.9,7.1,27.3,0,10.0,9.9
2020-09-20,DE,10001,20.5,11.7,25.8,0,21.0,20.5
2020-09-27,DE,10001,14.0,8.7,25.5,0,14.3,14.0
2020-10-04,DE,10001,16.6,11.6,24.7,0,16.9,16.6
2020-10-11,DE,10001,11.1,8.1,26.3,0.0,11.1,11.1
2020-10-18,DE,10001,13.9,9.0,24.4,0.0,13.9,13.9
2020-10-25,DE,10001,8.0,6.1,24.9,0.0,8.0,8.0
2020-11-01,DE,10001,8.4,5.7,21.9,0.0,8.4,8.4
2020-11-08,DE,10001,19.9,17.1,25.1,0.0,19.9,19.9
2020-11-15,DE,10001,26.4,25.9,28.4,0.0,26.4,26.4
2020-11-22,DE,10001,32.0,30.0,28.1,0.0,32.0,32.0
2020-11-29,DE,10001,63.7,61.9,27.7,0.0,63.7,63.7
2020-12-06,DE,10001,71.9,71.4,28.9,0.0,71.9,71.9
2020-12-13,DE,10001,84.1,83.7,28.9,0.0,84.1,84.1
2020-12-20,DE,10001,93.3,88.1,28.1,0.0,93.3,93.3
2020-12-27,DE,10001,98.0,92.4,28.3,0.0,98.0,98.0
2021-01-03,DE,10001,105.3,102.3,28.6,0.0,105.3,105.3
2021-01-10,DE,10001,106.4,104.0,28.1,0.0,106.4,106.4
2021-01-17,DE,10001,95.6,92.7,28.4,0.0,95.6,95.6
