collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,DE,10003,38.7,29.9,69.7,0.0,39.0,38.7
2020-08-09,DE,10003,34.7,29.3,69.6,0.0,35.3,34.7
2020-08-16,DE,10003,38.6,31.6,67.6,0.0,38.6,38.6
2020-08-23,DE,10003,55.1,46.3,77.0,0.0,55.7,55.1
2020-08-30,DE,10003,68.9,57.9,76.6,0.0,68.9,68.9
2020-09-06,DE,10003,76.0,62.6,78.30000000000001,0.0,100.10000000000001,76.0
2020-09-13,DE,10003,71.60000000000001,60.3,77.39999999999999,0.0,89.80000000000001,71.60000000000001
2020-09-20,DE,10003,70.10000000000001,61.400000000000006,78.5,0.0,70.3,70.10000000000001
2020-09-27,DE,10003,86.2,72.7,76.10000000000001,0.0,86.4,86.2
2020-10-04,DE,10003,102.80000000000001,89.10000000000001,80.5,0.0,103.10000000000001,102.80000000000001
2020-10-11,DE,10003,102.39999999999999,88.0,78.3,0.0,102.69999999999999,102.39999999999999
2020-10-18,DE,10003,83.4,73.30000000000001,78.7,0.0,84.4,83.4
2020-10-25,DE,10003,79.0,71.0,79.6,0.0,80.10000000000001,79.0
2020-11-01,DE,10003,87.60000000000001,80.9,79.2,0.0,89.0,87.60000000000001
2020-11-08,DE,10003,101.2,90.0,87.0,0.0,102.0,101.2
2020-11-15,DE,10003,131.2,115.1,87.39999999999999,0.0,131.70000000000002,131.2
2020-11-22,DE,10003,150.1,137.7,88.89999999999999,0.0,151.0,150.1
2020-11-29,DE,10003,199.4,177.4,86.60000000000001,4.4,204.9,203.8
2020-12-06,DE,10003,256.7,232.20000000000002,90.5,4.1,261.7,260.8
2020-12-13,DE,10003,277.3,262.2,100.0,4.9,282.3,282.2
2020-12-20,DE,10003,293.3,278.0,98.4,5.1,299.50000000000006,298.40000000000003
2020-12-27,DE,10003,272.0,260.7,96.60000000000001,0.0,272.40000000000003,272.0
2021-01-03,DE,10003,252.29999999999998,238.7,104.10000000000001,7.6,260.7,259.9
2021-01-10,DE,10003,246.0,231.9,101.2,6.3,253.3,252.3
2021-01-17,DE,10003,230.1,216.39999999999998,100.19999999999999,0.0,231.1,230.1
2021-01-24,DE,10003,186.1,175.6,101.60000000000001,0.0,186.4,186.1
2021-01-31,DE,10003,171.4,166.0,92.2,4.7,176.2,176.1
2021-02-07,DE,10003,149.1,142.70000000000002,94.2,6.0,155.1,155.1
2021-02-14,DE,10003,115.69999999999999,111.19999999999999,95.5,0.0,115.69999999999999,115.69999999999999
2021-02-21,DE,10003,101.0,95.19999999999999,97.6,0.0,101.19999999999999,101.0
2021-02-28,DE,10003,74.39999999999999,69.7,103.2,0.0,75.1,74.39999999999999
2021-03-07,DE,10003,60.300000000000004,56.300000000000004,101.0,0.0,60.400000000000006,60.300000000000004
2021-03-14,DE,10003,74.7,67.4,93.8,4.7,80.4,79.4
2021-03-21,DE,10003,79.4,70.9,97.80000000000001,0.0,80.6,79.4
2021-03-28,DE,10003,90.6,84.3,95.3,4.4,96.30000000000001,95.0
2021-04-04,DE,10003,96.1,85.4,99.3,0.0,96.4,96.1
2021-04-11,DE,10003,103.10000000000001,94.10000000000001,92.80000000000001,5.6,108.89999999999999,108.7
2021-04-18,DE,10003,112.80000000000001,101.9,98.9,0.0,113.0,112.80000000000001
2021-04-25,DE,10003,107.8,97.1,92.0,0.0,109.39999999999999,107.8
2021-05-02,DE,10003,75.7,69.0,87.0,4.4,80.30000000000001,80.10000000000001
2021-05-09,DE,10003,61.3,55.7,81.9,0.0,61.7,61.3
2021-05-16,DE,10003,49.6,43.0,92.9,0.0,49.6,49.6
2021-05-23,DE,10003,48.9,43.0,88.1,0.0,49.4,48.9
2021-05-30,DE,10003,28.6,26.3,84.60000000000001,0.0,30.4,28.6
2021-06-06,DE,10003,15.4,12.4,88.0,0.0,17.9,15.4
2021-06-13,DE,10003,9.1,6.1,80.3,0.0,10.6,9.1
2021-06-20,DE,10003,11.7,8.4,88.7,0.0,12.7,11.7
2021-06-27,DE,10003,11.0,7.1,83.89999999999999,0.0,12.0,11.0
2021-07-04,DE,10003,17.9,7.0,87.6,0.0,19.0,17.9
2021-07-11,DE,10003,23.0,6.6,87.0,0.0,23.0,23.0
2021-07-18,DE,10003,14.4,12.0,87.9,0.0,15.1,14.4
2021-07-25,DE,10003,16.1,13.7,80.80000000000001,0.0,17.6,16.1
2021-08-01,DE,10003,31.4,24.6,83.6,0.0,32.3,31.4
2021-08-08,DE,10003,54.3,47.4,81.60000000000001,0.0,55.9,54.3
2021-08-15,DE,10003,88.1,80.4,83.6,5.3,94.3,93.39999999999999
2021-08-22,DE,10003,107.80000000000001,99.5,89.69999999999999,8.0,116.30000000000001,115.80000000000001
2021-08-29,DE,10003,111.1,99.6,95.7,9.7,121.8,120.8
2021-09-05,DE,10003,108.6,100.0,100.1,6.4,118.7,115.0
2021-09-12,DE,10003,115.5,105.39999999999999,104.6,5.7,125.1,121.2
2021-09-19,DE,10003,110.7,100.9,100.3,12.5,123.19999999999999,123.2
2021-09-26,DE,10003,110.6,101.39999999999999,101.0,6.4,120.60000000000001,117.0
2021-10-03,DE,10003,114.9,109.30000000000001,100.4,6.7,124.9,121.60000000000001
2021-10-10,DE,10003,110.2,104.3,102.7,0.0,112.7,110.2
2021-10-17,DE,10003,93.8,88.39999999999999,102.7,0.0,95.5,93.8
