collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,DE,10005,4.4,0,0,0.0,11.4,4.4
2020-08-09,DE,10005,4.7,0,0,0.0,10.4,4.7
2020-08-16,DE,10005,6.3,0,0,0.0,10.399999999999999,6.3
2020-08-23,DE,10005,8.9,0,0,0.0,8.9,8.9
2020-08-30,DE,10005,7.9,0,0,0.0,7.9,7.9
2020-09-06,DE,10005,7.4,0,6.4,0.0,7.4,7.4
2020-09-13,DE,10005,6.6,4.1,0,0.0,6.6,6.6
2020-09-20,DE,10005,5.1,0,0,0.0,5.1,5.1
2020-09-27,DE,10005,11.899999999999999,5.0,22.2,0.0,11.3,11.899999999999999
2020-10-04,DE,10005,31.2,16.3,28.200000000000003,0.0,31.3,31.2
2020-10-11,DE,10005,43.1,29.1,29.1,0.0,44.1,43.1
2020-10-18,DE,10005,55.099999999999994,45.9,32.7,0.0,55.5,55.099999999999994
2020-10-25,DE,10005,53.5,50.7,29.9,0.0,53.5,53.5
2020-11-01,DE,10005,55.4,52.6,34.0,0.0,55.6,55.4
2020-11-08,DE,10005,50.3,48.7,27.0,0.0,50.5,50.3
2020-11-15,DE,10005,46.400000000000006,44.7,27.6,0.0,46.400000000000006,46.400000000000006
2020-11-22,DE,10005,50.2,47.199999999999996,31.6,0.0,50.2,50.2
2020-11-29,DE,10005,62.099999999999994,60.099999999999994,32.4,0.0,62.3,62.099999999999994
2020-12-06,DE,10005,69.4,65.8,32.5,0.0,70.19999999999999,69.4
2020-12-13,DE,10005,74.0,72.4,27.9,0.0,74.0,74.0
2020-12-20,DE,10005,84.1,81.0,28.4,0.0,84.1,84.1
2020-12-27,DE,10005,89.7,84.6,30.6,0.0,89.8,89.7
2021-01-03,DE,10005,103.10000000000001,97.30000000000001,34.7,0.0,103.4,103.10000000000001
2021-01-10,DE,10005,116.2,103.6,33.6,0.0,116.5,116.2
2021-01-17,DE,10005,110.30000000000001,108.4,32.5,0.0,110.30000000000001,110.30000000000001
2021-01-24,DE,10005,87.4,83.4,35.4,0.0,87.4,87.4
