collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12019,76.0,72.5,40.0,0,77.8,76.0
2020-08-09,FL,12019,61.3,59.3,40.2,0.0,61.8,61.3
2020-08-16,FL,12019,61.0,59.3,38.2,0.0,61.1,61.0
2020-08-23,FL,12019,50.1,47.9,40.8,0.0,51.3,50.1
2020-08-30,FL,12019,36.9,35.4,40.4,0.0,37.1,36.9
2020-09-06,FL,12019,36.7,33.8,45.1,0.0,36.9,36.7
2020-09-13,FL,12019,37.3,34.5,49.3,0.0,37.8,37.3
2020-09-20,FL,12019,34.7,30.3,47.7,0.0,35.0,34.7
2020-09-27,FL,12019,31.700000000000003,29.700000000000003,45.4,0.0,31.799999999999997,31.700000000000003
2020-10-04,FL,12019,31.5,29.700000000000003,41.2,0.0,32.5,31.5
2020-10-11,FL,12019,37.0,34.0,43.5,0.0,37.1,37.0
2020-10-18,FL,12019,38.0,36.099999999999994,45.0,0.0,38.099999999999994,38.0
2020-10-25,FL,12019,27.9,26.5,40.7,0.0,28.200000000000003,27.9
2020-11-01,FL,12019,30.2,27.9,40.599999999999994,0.0,30.6,30.2
2020-11-08,FL,12019,36.7,35.0,42.1,0.0,37.0,36.7
2020-11-15,FL,12019,37.2,36.2,36.9,0.0,37.3,37.2
2020-11-22,FL,12019,54.900000000000006,51.300000000000004,41.0,0.0,55.5,54.900000000000006
2020-11-29,FL,12019,51.6,48.6,44.8,0.0,51.6,51.6
2020-12-06,FL,12019,63.400000000000006,59.0,45.3,0.0,64.7,63.400000000000006
2020-12-13,FL,12019,66.4,63.699999999999996,44.9,0.0,67.3,66.4
2020-12-20,FL,12019,86.6,85.0,45.4,0.0,87.7,86.6
2020-12-27,FL,12019,107.69999999999999,104.2,43.8,0.0,107.80000000000001,107.69999999999999
2021-01-03,FL,12019,124.80000000000001,123.4,48.2,0.0,125.19999999999999,124.80000000000001
2021-01-10,FL,12019,127.10000000000001,125.7,47.5,0.0,127.4,127.10000000000001
2021-01-17,FL,12019,106.89999999999999,104.80000000000001,48.9,0.0,107.39999999999999,106.89999999999999
2021-01-24,FL,12019,81.1,79.30000000000001,53.099999999999994,0.0,81.9,81.1
2021-01-31,FL,12019,69.0,65.3,51.099999999999994,0.0,69.5,69.0
2021-02-07,FL,12019,65.7,60.0,47.7,0.0,66.0,65.7
2021-02-14,FL,12019,49.9,48.7,42.8,0.0,50.0,49.9
2021-02-21,FL,12019,34.2,33.1,44.900000000000006,0.0,34.7,34.2
2021-02-28,FL,12019,26.0,24.1,48.3,0.0,26.4,26.0
2021-03-07,FL,12019,20.5,19.4,39.5,0.0,21.1,20.5
2021-03-14,FL,12019,18.3,16.6,33.7,0.0,19.4,18.3
2021-03-21,FL,12019,19.5,16.8,38.0,0.0,20.0,19.5
2021-03-28,FL,12019,22.700000000000003,20.9,36.8,0.0,23.200000000000003,22.700000000000003
2021-04-04,FL,12019,28.0,25.6,38.5,0.0,28.099999999999998,28.0
2021-04-11,FL,12019,26.700000000000003,25.0,39.099999999999994,0.0,26.799999999999997,26.700000000000003
2021-04-18,FL,12019,35.099999999999994,34.7,41.6,0.0,35.3,35.099999999999994
2021-04-25,FL,12019,39.7,38.1,40.5,0.0,40.1,39.7
2021-05-02,FL,12019,33.1,32.1,35.9,0.0,33.4,33.1
2021-05-09,FL,12019,33.0,30.799999999999997,40.900000000000006,0.0,33.8,33.0
2021-05-16,FL,12019,30.7,30.0,38.3,0.0,31.3,30.7
2021-05-23,FL,12019,25.2,23.7,42.599999999999994,0.0,25.6,25.2
2021-05-30,FL,12019,23.4,21.7,45.099999999999994,0.0,23.6,23.4
2021-06-06,FL,12019,23.7,22.799999999999997,40.0,0.0,24.0,23.7
2021-06-13,FL,12019,36.0,33.9,39.1,0.0,36.7,36.0
2021-06-20,FL,12019,34.4,33.0,40.400000000000006,0.0,34.7,34.4
2021-06-27,FL,12019,44.0,42.400000000000006,38.5,0.0,44.2,44.0
2021-07-04,FL,12019,57.4,56.3,38.6,0.0,57.4,57.4
2021-07-11,FL,12019,89.9,88.3,46.0,0.0,90.0,89.9
2021-07-18,FL,12019,139.8,137.7,49.8,0.0,140.0,139.8
2021-07-25,FL,12019,208.8,207.4,55.900000000000006,0.0,209.0,208.8
2021-08-01,FL,12019,243.4,242.5,61.0,0.0,243.4,243.4
2021-08-08,FL,12019,239.7,239.3,71.80000000000001,0.0,240.1,239.7
2021-08-15,FL,12019,224.60000000000002,223.8,71.3,0.0,225.60000000000002,224.60000000000002
2021-08-22,FL,12019,202.6,201.7,77.80000000000001,0.0,203.6,202.6
2021-08-29,FL,12019,160.0,158.5,81.7,0.0,161.0,160.0
2021-09-05,FL,12019,135.9,134.9,78.5,0.0,136.5,135.9
2021-09-12,FL,12019,120.4,119.4,79.1,0.0,120.4,120.4
2021-09-19,FL,12019,95.8,95.0,78.6,0.0,95.8,95.8
2021-09-26,FL,12019,62.0,60.9,67.1,0.0,62.0,62.0
2021-10-03,FL,12019,44.3,43.0,60.199999999999996,0.0,44.3,44.3
2021-10-10,FL,12019,40.400000000000006,38.400000000000006,45.9,0.0,40.400000000000006,40.400000000000006
2021-10-17,FL,12019,27.299999999999997,26.4,50.1,0.0,27.299999999999997,27.299999999999997
2021-10-24,FL,12019,16.3,15.9,49.3,0.0,16.3,16.3
2021-10-31,FL,12019,6.9,4.6,40.4,0.0,6.9,6.9
2021-11-07,FL,12019,6.0,4.7,36.3,0.0,6.0,6.0
2021-11-14,FL,12019,5.7,4.1,36.0,0.0,5.7,5.7
2021-11-21,FL,12019,7.7,6.4,35.3,0.0,7.7,7.7
2021-11-28,FL,12019,0.0,0.0,38.7,0.0,0.0,0.0
2021-12-05,FL,12019,4.4,0.0,46.4,0.0,4.4,4.4
2021-12-12,FL,12019,7.1,5.6,45.699999999999996,0.0,7.1,7.1
2021-12-19,FL,12019,10.4,9.3,41.1,0.0,10.4,10.4
2021-12-26,FL,12019,22.299999999999997,21.6,40.2,0.0,22.299999999999997,22.299999999999997
