collection_week,state,fips_code,total_adult_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,total_adult_patients_hospitalized_confirmed_covid_7_day_avg,staffed_adult_icu_bed_occupancy_7_day_avg,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid_7_day_avg,inpatient_beds_used_covid_7_day_avg,total_adult_and_pediatric_covid_patients
2020-08-02,FL,12033,202.00000000000003,187.39999999999998,131.3,0.0,205.8,202.00000000000003
2020-08-09,FL,12033,200.0,175.3,129.2,0.0,203.8,200.0
2020-08-16,FL,12033,148.7,143.6,125.19999999999999,0.0,153.2,148.7
2020-08-23,FL,12033,126.19999999999999,124.19999999999999,124.69999999999999,0.0,129.6,126.19999999999999
2020-08-30,FL,12033,100.80000000000001,98.1,115.7,0.0,103.6,100.80000000000001
2020-09-06,FL,12033,90.2,82.1,119.1,0.0,92.2,90.2
2020-09-13,FL,12033,70.30000000000001,63.6,110.9,0.0,71.2,70.30000000000001
2020-09-20,FL,12033,50.4,45.199999999999996,121.5,0.0,51.699999999999996,50.4
2020-09-27,FL,12033,53.4,46.7,120.30000000000001,0.0,54.800000000000004,53.4
2020-10-04,FL,12033,54.400000000000006,45.7,118.30000000000001,0.0,55.400000000000006,54.400000000000006
2020-10-11,FL,12033,44.9,39.3,120.0,0.0,45.3,44.9
2020-10-18,FL,12033,46.900000000000006,39.3,114.9,0.0,48.1,46.900000000000006
2020-10-25,FL,12033,53.6,43.7,106.8,0.0,54.300000000000004,53.6
2020-11-01,FL,12033,66.3,56.8,110.6,0.0,66.8,66.3
2020-11-08,FL,12033,85.6,70.5,116.5,0.0,85.80000000000001,85.6
2020-11-15,FL,12033,88.2,77.0,106.5,0.0,89.2,88.2
2020-11-22,FL,12033,97.6,81.4,115.7,0.0,97.9,97.6
2020-11-29,FL,12033,107.4,91.30000000000001,117.5,0.0,108.8,107.4
2020-12-06,FL,12033,128.9,115.3,129.3,0.0,130.3,128.9
2020-12-13,FL,12033,132.2,121.19999999999999,126.80000000000001,0.0,132.9,132.2
2020-12-20,FL,12033,146.0,130.7,126.4,0.0,146.4,146.0
2020-12-27,FL,12033,177.1,162.6,130.4,0.0,177.6,177.1
2021-01-03,FL,12033,225.4,212.3,132.2,0.0,227.2,225.4
2021-01-10,FL,12033,237.90000000000003,226.70000000000002,130.2,0.0,240.4,237.90000000000003
2021-01-17,FL,12033,223.6,218.6,129.4,0.0,225.70000000000002,223.6
2021-01-24,FL,12033,182.5,172.0,129.1,0.0,184.7,182.5
2021-01-31,FL,12033,152.0,143.6,126.5,0.0,153.5,152.0
2021-02-07,FL,12033,124.9,116.19999999999999,126.8,0.0,125.3,124.9
2021-02-14,FL,12033,104.19999999999999,97.0,124.5,0.0,104.69999999999999,104.19999999999999
2021-02-21,FL,12033,94.4,82.4,115.8,0.0,96.9,94.4
2021-02-28,FL,12033,74.5,64.5,100.2,0.0,76.0,74.5
2021-03-07,FL,12033,53.0,44.900000000000006,98.6,0.0,54.099999999999994,53.0
2021-03-14,FL,12033,32.8,26.799999999999997,95.19999999999999,0.0,34.8,32.8
2021-03-21,FL,12033,33.0,26.299999999999997,84.9,0.0,34.0,33.0
2021-03-28,FL,12033,28.199999999999996,22.0,89.9,0.0,28.299999999999997,28.199999999999996
2021-04-04,FL,12033,26.5,22.799999999999997,103.30000000000001,0.0,26.799999999999997,26.5
2021-04-11,FL,12033,27.6,22.799999999999997,110.0,0.0,28.0,27.6
2021-04-18,FL,12033,31.799999999999997,28.1,110.1,0.0,31.799999999999997,31.799999999999997
2021-04-25,FL,12033,33.2,28.6,109.4,0.0,33.6,33.2
2021-05-02,FL,12033,32.0,28.0,96.5,0.0,33.0,32.0
2021-05-09,FL,12033,33.0,31.1,109.8,0.0,33.6,33.0
2021-05-16,FL,12033,36.4,33.0,96.4,0.0,37.2,36.4
2021-05-23,FL,12033,31.7,29.0,105.0,0.0,33.1,31.7
2021-05-30,FL,12033,18.5,13.1,104.69999999999999,0.0,19.7,18.5
2021-06-06,FL,12033,12.0,9.4,100.6,0.0,12.3,12.0
2021-06-13,FL,12033,20.2,16.2,106.30000000000001,0.0,20.799999999999997,20.2
2021-06-20,FL,12033,18.700000000000003,13.899999999999999,94.5,0.0,18.8,18.700000000000003
2021-06-27,FL,12033,29.1,21.0,99.2,0.0,29.9,29.1
